Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
wipers,0.2184,0.28045,0.29721,0.35518,0.0,0.01614,0.30562,0.40217,0.21276,0.2731,0.44555,0.68315,0.1777,0.13953,0.53858,0.96136,0.18215,0.15833,0.54704,1.0,0.19673,0.18602,0.25597,0.28064,0.24854,0.26901,0.29216,0.31632,0.34888,0.32186,0.30734,0.4192,0.1637,0.2159,0.38898,0.54968,0.15144,0.17776,0.46805,0.7626,0.1855,0.17513,0.32365,0.45134,0.18167,0.1833,0.28063,0.3452,0.03794,0.06126,0.29199,0.36127,0.20273,0.19646,0.24078,0.22988,0.1584,0.18366,0.29875,0.2341,0.23172,0.29843,0.45399,0.61587,0.18435,0.17386,0.32365,0.4512,0.18227,0.18384,0.28064,0.34506
wipers,0.21379,0.22988,0.29224,0.3542,0.0,0.01625,0.30143,0.39873,0.19498,0.23758,0.43313,0.661,0.17725,0.1473,0.53711,0.97196,0.1937,0.16663,0.5493,1.0,0.20638,0.20478,0.26196,0.28023,0.23714,0.23819,0.27738,0.27796,0.35867,0.35306,0.31175,0.42204,0.15701,0.20862,0.38559,0.51818,0.16683,0.18413,0.46688,0.75159,0.19022,0.18509,0.36046,0.49946,0.18846,0.19401,0.26036,0.2829,0.04007,0.06393,0.29036,0.34449,0.21424,0.20897,0.25111,0.23211,0.15741,0.18308,0.30361,0.23338,0.24417,0.32122,0.44759,0.5869,0.1891,0.18395,0.36047,0.49951,0.18905,0.19463,0.26037,0.28294
wipers,0.23201,0.24972,0.27136,0.29827,0.0,0.01848,0.31187,0.4217,0.22029,0.29441,0.43922,0.63991,0.18477,0.19412,0.5554,0.9618,0.17549,0.15226,0.56079,1.0,0.18951,0.18819,0.25599,0.28256,0.23962,0.24078,0.25744,0.26336,0.34516,0.3137,0.31813,0.4153,0.18803,0.25885,0.39774,0.53431,0.16852,0.2056,0.49723,0.79957,0.17758,0.17408,0.387,0.56898,0.18957,0.18895,0.23308,0.25311,0.02981,0.06222,0.29537,0.33072,0.20801,0.19619,0.24985,0.21905,0.14134,0.17992,0.30706,0.23236,0.2713,0.36026,0.46428,0.6385,0.1764,0.17295,0.387,0.56917,0.19021,0.18961,0.23309,0.25311
wipers,0.25455,0.27102,0.26734,0.30821,0.0,0.02965,0.33177,0.41884,0.19792,0.25452,0.46985,0.73547,0.15608,0.05182,0.57434,0.94502,0.20363,0.23368,0.5823,1.0,0.19004,0.18633,0.24919,0.28505,0.25455,0.25823,0.25675,0.27603,0.37115,0.33384,0.33739,0.46093,0.17547,0.24998,0.42637,0.61158,0.19503,0.29877,0.51279,0.77425,0.20189,0.21759,0.39176,0.58259,0.19388,0.18933,0.23341,0.25132,0.01073,0.03903,0.31308,0.36969,0.2098,0.20274,0.2444,0.22646,0.13363,0.18334,0.31917,0.25178,0.28624,0.35942,0.47159,0.60781,0.20059,0.21615,0.39177,0.58259,0.19457,0.19005,0.2334,0.25132
wipers,0.26149,0.28024,0.30055,0.32363,0.0,0.02862,0.33394,0.40544,0.2062,0.26273,0.49099,0.76842,0.13866,0.02151,0.6034,1.0,0.23045,0.30957,0.59745,0.98922,0.20537,0.19465,0.28938,0.32905,0.26447,0.26732,0.28217,0.28472,0.38647,0.35291,0.35276,0.4803,0.1856,0.27991,0.44762,0.64387,0.21323,0.33912,0.53875,0.81684,0.21362,0.24171,0.39772,0.57027,0.19378,0.19958,0.26398,0.27148,0.01715,0.04767,0.3174,0.37168,0.21312,0.20625,0.24833,0.23788,0.1524,0.18841,0.32613,0.23197,0.31,0.37885,0.48372,0.60392,0.21222,0.24029,0.39775,0.57032,0.19452,0.20023,0.26399,0.27148
wipers,0.24991,0.27084,0.295,0.32504,0.0,0.03701,0.3364,0.45347,0.21287,0.26802,0.48147,0.75412,0.20508,0.21293,0.57743,0.96722,0.16691,0.12371,0.57895,1.0,0.19549,0.18822,0.27908,0.29226,0.26217,0.27252,0.27467,0.27477,0.36054,0.30006,0.35302,0.49028,0.19364,0.26969,0.42731,0.59971,0.1591,0.17639,0.52862,0.82261,0.18031,0.16633,0.35943,0.49222,0.20154,0.21063,0.26124,0.2665,0.02074,0.05251,0.31404,0.373,0.21083,0.19974,0.26325,0.23749,0.14709,0.18885,0.33752,0.25262,0.28443,0.36635,0.49037,0.6893,0.17895,0.16497,0.35946,0.49227,0.20223,0.21136,0.26125,0.26666
wipers,0.28269,0.29986,0.29836,0.34343,0.0,0.02901,0.37188,0.50787,0.19089,0.22071,0.52158,0.82986,0.19167,0.15681,0.60971,1.0,0.2087,0.23708,0.59569,0.93683,0.21655,0.2127,0.28399,0.31549,0.28434,0.28213,0.2882,0.30403,0.41154,0.39232,0.37721,0.51995,0.16911,0.20705,0.46313,0.71024,0.20793,0.31555,0.5407,0.82585,0.20646,0.21044,0.37773,0.52453,0.21178,0.22207,0.28429,0.29816,0.01387,0.0517,0.33719,0.38995,0.22673,0.22207,0.28788,0.26237,0.15734,0.20333,0.35788,0.27541,0.26074,0.34931,0.51263,0.69179,0.20501,0.20908,0.37774,0.5243,0.21253,0.22286,0.28427,0.29794
wipers,0.2751,0.28524,0.28734,0.30321,0.0,0.04385,0.34826,0.44883,0.22897,0.315,0.51107,0.7721,0.14454,0.05542,0.614,1.0,0.24292,0.32432,0.60308,0.94833,0.21031,0.20223,0.28633,0.32651,0.27973,0.27636,0.28573,0.30001,0.39767,0.36757,0.35204,0.46198,0.1833,0.25176,0.45233,0.63495,0.24488,0.37925,0.52593,0.75446,0.22063,0.28029,0.38178,0.53235,0.18935,0.19762,0.28463,0.33713,0.02112,0.05565,0.32548,0.36656,0.21305,0.20897,0.27189,0.24766,0.1592,0.19875,0.33104,0.24969,0.274,0.35106,0.49242,0.61254,0.21921,0.27895,0.38178,0.53229,0.19012,0.19841,0.28463,0.33707
wipers,0.22562,0.23263,0.25691,0.28363,0.0,0.01157,0.30945,0.39047,0.1835,0.22411,0.45541,0.73153,0.16334,0.10789,0.54309,0.94616,0.20866,0.25309,0.56383,1.0,0.19652,0.20014,0.2474,0.26308,0.24191,0.24049,0.25533,0.26677,0.36108,0.32697,0.32506,0.44517,0.15146,0.20867,0.40685,0.58373,0.18994,0.25318,0.48261,0.7465,0.18829,0.19834,0.35029,0.49068,0.17912,0.18669,0.24423,0.27383,0.02361,0.05078,0.30078,0.35618,0.20722,0.19853,0.24204,0.22647,0.13732,0.18291,0.31135,0.2439,0.25395,0.32403,0.45577,0.5942,0.18711,0.19711,0.3503,0.49068,0.17976,0.18736,0.24423,0.27397
wipers,0.23431,0.24365,0.2566,0.29091,0.0,0.00626,0.30929,0.3816,0.16234,0.18539,0.44611,0.68937,0.17603,0.08937,0.54459,0.93411,0.20873,0.25768,0.56028,1.0,0.19874,0.20224,0.26019,0.27571,0.23756,0.23641,0.24833,0.2542,0.36744,0.33515,0.32394,0.45804,0.13707,0.15762,0.4022,0.57457,0.1867,0.24234,0.47384,0.72443,0.18679,0.20628,0.3586,0.50167,0.18697,0.18821,0.23612,0.26432,0.02075,0.05012,0.30354,0.35148,0.21387,0.20431,0.23799,0.22925,0.13571,0.18567,0.3121,0.26822,0.23072,0.32018,0.45863,0.5829,0.18561,0.20506,0.3586,0.50157,0.18759,0.18887,0.23613,0.26422
