Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
byebye,0.10457,0.04244,0.69283,0.59234,0.47071,0.44303,0.58863,0.60922,0.29134,0.32372,0.63284,0.7364,0.50449,0.51284,0.65769,0.72477,0.46224,0.45193,0.92631,0.84807,0.49395,0.45991,0.80775,0.82138,0.07501,0.05179,0.67484,0.60694,0.58793,0.60842,0.53827,0.56588,0.43022,0.49002,0.64993,0.8053,0.44212,0.43345,0.60109,0.66203,0.47444,0.5085,1.0,0.83997,0.44935,0.46539,0.61266,0.62508,0.0,0.05179,0.65664,0.58652,0.55936,0.48158,0.71342,0.68975,0.35344,0.39923,0.71527,0.54249,0.44212,0.43345,0.60109,0.66203,0.47444,0.5085,1.0,0.83997,0.44935,0.46539,0.61266,0.62508
byebye,0.09115,0.03152,0.66015,0.57763,0.46128,0.44147,0.5763,0.5899,0.2794,0.31507,0.62526,0.72663,0.4918,0.48552,0.63301,0.68476,0.47748,0.45638,0.92357,0.78088,0.47258,0.45661,0.74501,0.82126,0.05604,0.02211,0.66974,0.59357,0.56881,0.58623,0.5307,0.54849,0.40789,0.45615,0.64777,0.79614,0.43474,0.41463,0.62429,0.6866,0.46642,0.45776,1.0,0.91348,0.45522,0.47198,0.61045,0.62615,0.0,0.04528,0.64104,0.56822,0.55161,0.47313,0.70438,0.671,0.33581,0.39008,0.68109,0.53977,0.43474,0.41463,0.62429,0.6866,0.46642,0.45776,1.0,0.91348,0.45522,0.47198,0.61045,0.62615
byebye,0.08724,0.03491,0.67976,0.63104,0.47935,0.4616,0.59108,0.64333,0.27102,0.31172,0.64077,0.75832,0.44979,0.48408,0.68727,0.76136,0.44197,0.43326,0.94859,0.82436,0.43482,0.37448,0.75521,0.67436,0.08877,0.03585,0.66537,0.58701,0.59241,0.6068,0.53832,0.55153,0.417,0.45504,0.6622,0.83396,0.45269,0.46535,0.65014,0.72413,0.72977,0.6712,0.82736,1.0,0.44565,0.44614,0.56064,0.59017,0.0,0.04779,0.6561,0.59989,0.56733,0.49087,0.71752,0.67928,0.3409,0.39767,0.69759,0.57893,0.45269,0.46535,0.65014,0.72413,0.72977,0.6712,0.82736,1.0,0.44565,0.44614,0.56064,0.59017
byebye,0.0091,0.00673,0.47412,0.44471,0.32532,0.28669,0.44197,0.44388,0.24564,0.30705,0.47515,0.50161,0.36857,0.38902,0.54205,0.6179,0.45966,0.3929,0.61968,0.60079,0.41101,0.38402,0.53163,0.54815,0.0681,0.02838,0.53345,0.60264,0.44937,0.44305,0.41604,0.43787,0.24885,0.24339,0.48153,0.56831,0.36021,0.35164,0.54116,0.59616,0.37973,0.40807,0.81604,1.0,0.3333,0.34387,0.42794,0.45739,0.0,0.02061,0.44558,0.38559,0.38875,0.36274,0.49028,0.42954,0.27542,0.29761,0.48488,0.388,0.36021,0.35164,0.54116,0.59616,0.37973,0.40807,0.81604,1.0,0.3333,0.34387,0.42794,0.45739
byebye,0.06849,0.03457,0.66839,0.6468,0.44826,0.40609,0.59093,0.58702,0.27668,0.34528,0.64133,0.727,0.49492,0.50889,0.6905,0.76957,0.47395,0.4926,0.94824,0.80686,0.49385,0.52381,0.73631,0.80181,0.05306,0.03549,0.63807,0.58691,0.59128,0.61376,0.55641,0.55639,0.38782,0.36547,0.62389,0.75844,0.44783,0.4132,0.73829,0.75959,0.42727,0.4724,1.0,0.92733,0.43254,0.44624,0.57586,0.59012,0.0,0.04903,0.63221,0.56855,0.52502,0.46552,0.69288,0.63349,0.3498,0.39048,0.71232,0.54079,0.44783,0.4132,0.73829,0.75959,0.42727,0.4724,1.0,0.92733,0.43254,0.44624,0.57586,0.59012
byebye,0.06577,0.03148,0.64127,0.61319,0.47313,0.42788,0.59794,0.61992,0.26559,0.32313,0.64168,0.74395,0.46914,0.47672,0.67494,0.68884,0.45256,0.49087,0.92369,0.73562,0.50305,0.4822,0.75593,0.80352,0.07508,0.04175,0.67075,0.59242,0.58939,0.61433,0.56328,0.57029,0.38302,0.4329,0.6465,0.74943,0.43405,0.411,0.70019,0.70402,0.48908,0.52213,1.0,0.75628,0.44917,0.44637,0.60098,0.63293,0.0,0.05362,0.63004,0.56572,0.53115,0.46828,0.68318,0.61182,0.34018,0.39342,0.69678,0.53845,0.43405,0.411,0.70019,0.70402,0.48908,0.52213,1.0,0.75628,0.44917,0.44637,0.60098,0.63293
byebye,0.10903,0.04051,0.6192,0.72297,0.42732,0.39189,0.53203,0.59719,0.20554,0.21226,0.55839,0.68832,0.45459,0.46363,0.6763,0.66579,0.37575,0.45191,0.89053,1.0,0.40797,0.41756,0.7206,0.75015,0.05965,0.05142,0.57697,0.49889,0.5299,0.55132,0.5019,0.4803,0.36824,0.42584,0.56972,0.56385,0.4248,0.41251,0.63806,0.64185,0.28851,0.38624,0.75463,0.63215,0.42728,0.42018,0.50845,0.50596,0.0,0.04516,0.59291,0.55961,0.4573,0.39715,0.6502,0.55779,0.34927,0.35593,0.66961,0.61012,0.4248,0.41251,0.63806,0.64185,0.28851,0.38624,0.75463,0.63215,0.42728,0.42018,0.50845,0.50596
byebye,0.08503,0.02237,0.64498,0.66081,0.40209,0.3702,0.54583,0.55561,0.24254,0.30059,0.57811,0.64107,0.39774,0.43848,0.7178,0.76646,0.26487,0.41215,0.84465,0.91316,0.32055,0.36641,0.6649,0.69919,0.04165,0.02415,0.69674,0.64352,0.53207,0.57145,0.55261,0.55048,0.33089,0.42866,0.62,0.68056,0.40346,0.39207,0.68311,0.70644,0.40407,0.38984,1.0,0.78442,0.41223,0.42821,0.62879,0.5671,0.0,0.02549,0.60327,0.47049,0.42953,0.3972,0.65013,0.53074,0.39215,0.36351,0.67499,0.61005,0.40346,0.39207,0.68311,0.70644,0.40407,0.38984,1.0,0.78442,0.41223,0.42821,0.62879,0.5671
byebye,0.0736,0.03384,0.63156,0.55002,0.4347,0.38726,0.56997,0.5835,0.24253,0.30516,0.62723,0.68645,0.45292,0.49306,0.71243,0.7264,0.43193,0.50009,0.89091,0.72157,0.49469,0.4474,0.73636,0.70972,0.06519,0.02726,0.70136,0.59448,0.56389,0.59645,0.55076,0.5475,0.37827,0.48274,0.62934,0.66549,0.3976,0.41162,0.65083,0.70928,0.42229,0.43687,1.0,0.73749,0.43139,0.44938,0.64424,0.63113,0.0,0.03823,0.60528,0.51183,0.49983,0.43709,0.64383,0.55946,0.33309,0.37189,0.65687,0.53148,0.3976,0.41162,0.65083,0.70928,0.42229,0.43687,1.0,0.73749,0.43139,0.44938,0.64424,0.63113
byebye,0.07694,0.03601,0.66784,0.59955,0.44169,0.41598,0.60155,0.60935,0.28013,0.37213,0.66895,0.70113,0.50503,0.54404,0.76608,0.73332,0.42446,0.48899,0.94689,0.82651,0.51099,0.49389,0.78826,0.74335,0.07447,0.03041,0.69475,0.62649,0.6023,0.62171,0.53892,0.56596,0.39736,0.48222,0.64574,0.77543,0.44846,0.42764,0.67659,0.72633,0.47917,0.52654,1.0,0.76563,0.4138,0.46683,0.66339,0.69717,0.0,0.04814,0.64318,0.55383,0.53075,0.45587,0.6836,0.55768,0.34916,0.38566,0.6968,0.55302,0.44846,0.42764,0.67659,0.72633,0.47917,0.52654,1.0,0.76563,0.4138,0.46683,0.66339,0.69717
