Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
chicken,0.5238,0.52877,0.364,0.40293,0.22616,0.24294,0.38067,0.41775,0.12319,0.12038,0.49591,0.68572,0.29754,0.22891,0.68605,1.0,0.26874,0.23624,0.60646,0.87588,0.23836,0.2378,0.41452,0.48963,0.52466,0.50616,0.35347,0.35592,0.31607,0.34477,0.41041,0.44051,0.16699,0.20022,0.49076,0.58795,0.27721,0.18977,0.68333,0.91003,0.26382,0.3273,0.51568,0.65188,0.28201,0.2707,0.39051,0.40511,0.02515,0.0,0.41525,0.45922,0.33851,0.33713,0.3488,0.34984,0.30505,0.28286,0.40538,0.46632,0.27721,0.18977,0.68333,0.91003,0.26382,0.3273,0.51568,0.65188,0.28201,0.2707,0.39051,0.40511
chicken,0.51921,0.51656,0.37199,0.40899,0.23032,0.22897,0.39493,0.43243,0.10867,0.10694,0.48729,0.66847,0.30303,0.22468,0.70371,1.0,0.29105,0.28188,0.62437,0.88019,0.24078,0.23024,0.42121,0.49527,0.51852,0.51005,0.36964,0.40224,0.32599,0.36927,0.42869,0.4573,0.13769,0.1759,0.48977,0.61802,0.3021,0.24231,0.67321,0.83999,0.27599,0.33352,0.55515,0.69373,0.27436,0.2582,0.42876,0.45722,0.02582,0.0,0.41286,0.43473,0.34613,0.34242,0.34353,0.35982,0.31149,0.28951,0.39767,0.45468,0.3021,0.24231,0.67321,0.83999,0.27599,0.33352,0.55515,0.69373,0.27436,0.2582,0.42876,0.45722
chicken,0.50623,0.49395,0.38553,0.43059,0.23739,0.23616,0.3907,0.4247,0.09724,0.13123,0.49655,0.6778,0.26722,0.1908,0.67625,1.0,0.29747,0.30993,0.63785,0.88588,0.22856,0.22308,0.40125,0.464,0.507,0.50767,0.37409,0.41429,0.33309,0.36546,0.42857,0.47732,0.10517,0.15206,0.49701,0.59621,0.24948,0.23519,0.67297,0.91122,0.32908,0.34754,0.52586,0.64722,0.26708,0.27345,0.40804,0.43148,0.03305,0.0,0.4084,0.46126,0.35295,0.35287,0.33527,0.34294,0.32411,0.30492,0.39347,0.46271,0.24948,0.23519,0.67297,0.91122,0.32908,0.34754,0.52586,0.64722,0.26708,0.27345,0.40804,0.43148
chicken,0.4806,0.48803,0.35036,0.38388,0.22018,0.21112,0.36839,0.41319,0.07444,0.11959,0.48036,0.66305,0.29028,0.24729,0.65956,1.0,0.31014,0.41413,0.55028,0.77797,0.21233,0.21439,0.38625,0.45474,0.47379,0.46776,0.34327,0.37951,0.2888,0.31979,0.41139,0.44773,0.09303,0.13737,0.48464,0.60396,0.27494,0.26054,0.70788,0.97755,0.25723,0.22952,0.48366,0.61238,0.24115,0.26117,0.36407,0.39121,0.01383,0.0,0.37806,0.43362,0.3269,0.32868,0.31565,0.3166,0.29546,0.2738,0.36165,0.42824,0.27494,0.26054,0.70788,0.97755,0.25723,0.22952,0.48366,0.61238,0.24115,0.26117,0.36407,0.39121
chicken,0.46819,0.47263,0.33499,0.36202,0.2243,0.20768,0.38205,0.41974,0.07741,0.05192,0.4766,0.63738,0.27443,0.2953,0.65379,1.0,0.23441,0.20009,0.54963,0.78794,0.21109,0.21095,0.37297,0.41736,0.45353,0.44719,0.33618,0.36514,0.2949,0.33428,0.41238,0.42658,0.12827,0.17123,0.47899,0.62251,0.22765,0.16825,0.69371,0.91074,0.26744,0.28593,0.45654,0.54887,0.24115,0.2346,0.37534,0.37556,0.0242,0.0,0.37073,0.43982,0.32333,0.32624,0.3208,0.31724,0.29111,0.27477,0.35166,0.41848,0.22765,0.16825,0.69371,0.91074,0.26744,0.28593,0.45654,0.54887,0.24115,0.2346,0.37534,0.37556
chicken,0.50341,0.50906,0.3747,0.41176,0.22578,0.20337,0.40938,0.4646,0.10349,0.07391,0.51524,0.67691,0.32387,0.43419,0.68365,0.92537,0.2794,0.22141,0.63993,0.99777,0.2186,0.20193,0.38627,0.42988,0.49167,0.48735,0.37414,0.41448,0.30812,0.35629,0.46001,0.50874,0.1395,0.18485,0.52707,0.72224,0.26927,0.18693,0.75099,1.0,0.29022,0.36188,0.50807,0.60188,0.26874,0.24854,0.42666,0.4413,0.02069,0.0,0.39929,0.4587,0.34674,0.35182,0.34991,0.34408,0.30945,0.30314,0.3729,0.4243,0.26927,0.18693,0.75099,1.0,0.29022,0.36188,0.50807,0.60188,0.26874,0.24854,0.42666,0.4413
chicken,0.45645,0.44568,0.35628,0.3969,0.19535,0.19303,0.37511,0.42114,0.07275,0.01882,0.47589,0.6357,0.3251,0.44192,0.63005,0.83257,0.27069,0.20342,0.59909,0.94105,0.20803,0.17436,0.38194,0.43883,0.45201,0.45171,0.35126,0.42167,0.28696,0.31092,0.41854,0.45223,0.11957,0.14786,0.48934,0.66852,0.26143,0.16924,0.71526,1.0,0.24245,0.30445,0.50233,0.6692,0.23023,0.24196,0.39657,0.41414,0.01059,0.0,0.38015,0.4249,0.32242,0.33005,0.34941,0.32809,0.28748,0.2912,0.34504,0.39637,0.26143,0.16924,0.71526,1.0,0.24245,0.30445,0.50233,0.6692,0.23023,0.24196,0.39657,0.41414
chicken,0.49561,0.4882,0.39701,0.42395,0.21735,0.21831,0.41971,0.44475,0.07703,0.02976,0.54054,0.72943,0.28794,0.29069,0.67121,0.87545,0.25648,0.11939,0.67596,1.0,0.24208,0.23506,0.4364,0.49751,0.48929,0.47535,0.40172,0.45887,0.35109,0.37592,0.4343,0.46538,0.09943,0.09588,0.50578,0.60007,0.24538,0.11787,0.73665,0.96567,0.31079,0.32062,0.55254,0.65866,0.2507,0.2403,0.43045,0.4499,0.02143,0.0,0.43482,0.4822,0.36695,0.36696,0.40223,0.37812,0.32932,0.31673,0.39484,0.45438,0.24538,0.11787,0.73665,0.96567,0.31079,0.32062,0.55254,0.65866,0.2507,0.2403,0.43045,0.4499
chicken,0.44193,0.44484,0.36038,0.39832,0.19892,0.19832,0.39041,0.42915,0.06575,0.0,0.48675,0.67085,0.28492,0.22464,0.63408,0.71408,0.27329,0.18041,0.63379,1.0,0.2148,0.19663,0.40517,0.47161,0.44474,0.45325,0.36298,0.40482,0.32126,0.35471,0.4083,0.43741,0.07613,0.07666,0.44655,0.49587,0.30348,0.24055,0.67119,0.89135,0.27594,0.24744,0.49377,0.56611,0.25001,0.22754,0.42703,0.4495,0.01817,0.00888,0.41385,0.45593,0.33084,0.32731,0.35417,0.36044,0.29122,0.27039,0.37289,0.43971,0.30348,0.24055,0.67119,0.89135,0.27594,0.24744,0.49377,0.56611,0.25001,0.22754,0.42703,0.4495
chicken,0.44697,0.42887,0.38211,0.42973,0.24433,0.26738,0.42839,0.52028,0.04646,0.0,0.46961,0.59324,0.29246,0.21257,0.71628,0.86654,0.27444,0.14623,0.64122,1.0,0.22294,0.20447,0.43836,0.51974,0.4494,0.45114,0.37645,0.43035,0.34636,0.37701,0.42386,0.47987,0.09301,0.10013,0.4801,0.58686,0.29462,0.32453,0.68804,0.79958,0.29482,0.2652,0.55573,0.70233,0.26605,0.2448,0.45249,0.54761,0.03929,0.02383,0.44411,0.48626,0.3548,0.34976,0.39171,0.39368,0.31833,0.29884,0.39696,0.46259,0.29462,0.32453,0.68804,0.79958,0.29482,0.2652,0.55573,0.70233,0.26605,0.2448,0.45249,0.54761
