Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
cowboy,0.52566,0.52877,0.36694,0.36988,0.22468,0.29112,0.52375,0.67608,0.14063,0.22504,0.50605,0.64775,0.66412,0.6539,0.55355,0.55726,0.32973,0.38321,0.59523,0.8692,0.11239,0.0,0.66965,1.0,0.28803,0.28856,0.32032,0.32663,0.59351,0.58367,0.3737,0.40045,0.21504,0.22105,0.32911,0.34578,0.26898,0.26798,0.37827,0.41768,0.65292,0.65837,0.37718,0.39167,0.10574,0.10502,0.33958,0.36501,0.00297,0.0241,0.39744,0.44075,0.32342,0.30437,0.43224,0.40164,0.32782,0.29894,0.44357,0.48607,0.26898,0.26798,0.37827,0.41768,0.65292,0.65837,0.37718,0.39167,0.10574,0.10502,0.33958,0.36501
cowboy,0.56817,0.56352,0.39747,0.42661,0.27262,0.33617,0.51304,0.61727,0.18915,0.24373,0.4878,0.59227,0.72726,0.74406,0.60157,0.667,0.33046,0.35239,0.60764,0.85506,0.15986,0.10598,0.6645,1.0,0.2798,0.27599,0.33739,0.35514,0.62225,0.61601,0.39971,0.41215,0.2457,0.25175,0.33135,0.34018,0.24626,0.2581,0.46767,0.48746,0.70027,0.69508,0.39032,0.40446,0.13457,0.14075,0.38983,0.42076,0.0,0.01571,0.39772,0.40789,0.34395,0.31611,0.45389,0.43647,0.31962,0.26797,0.46589,0.51446,0.24626,0.2581,0.46767,0.48746,0.70027,0.69508,0.39032,0.40446,0.13457,0.14075,0.38983,0.42076
cowboy,0.57839,0.56746,0.40347,0.45681,0.25952,0.28108,0.50616,0.65284,0.15799,0.17981,0.47542,0.57313,0.74098,0.72503,0.55061,0.63255,0.30301,0.35073,0.60409,0.89645,0.16687,0.16223,0.66383,1.0,0.26027,0.26045,0.32268,0.33129,0.62446,0.61412,0.40736,0.429,0.25052,0.25166,0.32587,0.33543,0.20547,0.19824,0.4663,0.50313,0.66461,0.67836,0.39102,0.42478,0.18078,0.193,0.39519,0.43137,0.0,0.01007,0.42053,0.44777,0.34326,0.32097,0.46336,0.44811,0.30711,0.25217,0.51027,0.50559,0.20547,0.19824,0.4663,0.50313,0.66461,0.67836,0.39102,0.42478,0.18078,0.193,0.39519,0.43137
cowboy,0.5647,0.5488,0.38066,0.42573,0.2575,0.27395,0.50438,0.65564,0.13429,0.18391,0.48932,0.59593,0.66432,0.62177,0.53294,0.6124,0.25689,0.26855,0.6101,0.88716,0.13557,0.12817,0.65978,1.0,0.25015,0.25452,0.32195,0.32041,0.61471,0.5939,0.40055,0.42016,0.23048,0.23391,0.3204,0.32843,0.22968,0.23054,0.4158,0.4629,0.6324,0.62346,0.38974,0.4199,0.15594,0.1432,0.38282,0.44186,0.0,0.00215,0.42131,0.48046,0.34253,0.31804,0.46536,0.4411,0.32036,0.25909,0.51938,0.54727,0.22968,0.23054,0.4158,0.4629,0.6324,0.62346,0.38974,0.4199,0.15594,0.1432,0.38282,0.44186
cowboy,0.54934,0.54587,0.40736,0.43245,0.2736,0.31171,0.51853,0.64926,0.1234,0.1976,0.51499,0.61746,0.65488,0.62733,0.57486,0.6496,0.23478,0.19862,0.63313,0.87425,0.16203,0.14506,0.66731,1.0,0.2532,0.25695,0.33962,0.34121,0.61039,0.58362,0.41996,0.44988,0.2277,0.23263,0.33722,0.35422,0.23825,0.24556,0.48429,0.56177,0.64776,0.6508,0.39658,0.42309,0.14273,0.13774,0.38697,0.43287,0.00142,0.0,0.41061,0.4588,0.34437,0.31715,0.45879,0.43882,0.32466,0.27192,0.50374,0.52053,0.23825,0.24556,0.48429,0.56177,0.64776,0.6508,0.39658,0.42309,0.14273,0.13774,0.38697,0.43287
cowboy,0.52101,0.544,0.40272,0.42166,0.23871,0.27085,0.54471,0.70061,0.13728,0.19938,0.48714,0.57605,0.63481,0.62725,0.58465,0.73299,0.27212,0.22277,0.61977,0.86523,0.13253,0.01014,0.68441,1.0,0.23654,0.23945,0.34047,0.3564,0.58139,0.54972,0.4087,0.44693,0.2091,0.21573,0.33001,0.35918,0.19969,0.17975,0.52621,0.64639,0.59139,0.61596,0.38653,0.4237,0.14765,0.13853,0.37682,0.42803,0.00784,0.0,0.40565,0.46467,0.33316,0.3034,0.43745,0.41757,0.31215,0.27265,0.4789,0.47146,0.19969,0.17975,0.52621,0.64639,0.59139,0.61596,0.38653,0.4237,0.14765,0.13853,0.37682,0.42803
cowboy,0.64757,0.67067,0.47577,0.45918,0.32012,0.36061,0.6543,0.84649,0.27047,0.33444,0.54641,0.59907,0.75977,0.7049,0.65885,0.74559,0.38986,0.36294,0.68951,0.9318,0.12964,0.0,0.76277,1.0,0.29727,0.30074,0.42014,0.45739,0.69094,0.65741,0.4863,0.52702,0.27399,0.27583,0.40358,0.42692,0.26429,0.22941,0.60346,0.73044,0.6988,0.7049,0.47701,0.52299,0.20745,0.20378,0.46087,0.53508,0.06026,0.05216,0.48522,0.56421,0.40741,0.38319,0.50163,0.51393,0.4038,0.34071,0.56366,0.5953,0.26429,0.22941,0.60346,0.73044,0.6988,0.7049,0.47701,0.52299,0.20745,0.20378,0.46087,0.53508
cowboy,0.63851,0.65621,0.42575,0.41475,0.32188,0.34922,0.6097,0.80609,0.20001,0.28227,0.53152,0.59439,0.75331,0.7127,0.60984,0.72544,0.34289,0.36082,0.67409,0.91973,0.12935,0.0274,0.70685,1.0,0.26727,0.26972,0.3783,0.40485,0.68758,0.66477,0.45279,0.52972,0.23568,0.23491,0.36302,0.37623,0.24606,0.22007,0.5133,0.59829,0.68359,0.67751,0.44619,0.51793,0.17702,0.17728,0.4237,0.48588,0.0,0.01389,0.44482,0.50804,0.36605,0.35588,0.47432,0.47789,0.35803,0.28607,0.55226,0.55806,0.24606,0.22007,0.5133,0.59829,0.68359,0.67751,0.44619,0.51793,0.17702,0.17728,0.4237,0.48588
cowboy,0.55004,0.55729,0.38311,0.37835,0.27897,0.29388,0.55457,0.75558,0.1597,0.23534,0.48284,0.56662,0.62903,0.63842,0.52547,0.61207,0.28045,0.26803,0.6187,0.87925,0.13607,0.03543,0.68754,1.0,0.23598,0.23397,0.33218,0.35327,0.61701,0.60693,0.39712,0.45691,0.20996,0.21121,0.31887,0.33111,0.22644,0.22815,0.43202,0.48986,0.59543,0.59187,0.38289,0.45075,0.15198,0.14292,0.35845,0.38434,0.0,0.00564,0.40989,0.45023,0.33454,0.32058,0.43662,0.41523,0.31096,0.26358,0.47477,0.47993,0.22644,0.22815,0.43202,0.48986,0.59543,0.59187,0.38289,0.45075,0.15198,0.14292,0.35845,0.38434
cowboy,0.50388,0.51129,0.39382,0.40057,0.28022,0.3025,0.51283,0.61752,0.14227,0.2451,0.50157,0.61461,0.61602,0.60529,0.54914,0.65953,0.2474,0.18604,0.6726,0.95001,0.09704,0.0022,0.68754,1.0,0.22021,0.21915,0.32707,0.34002,0.58733,0.5652,0.3784,0.42037,0.20193,0.20368,0.31087,0.3302,0.2011,0.19053,0.42521,0.47927,0.5778,0.57085,0.37169,0.43302,0.13302,0.13197,0.34638,0.38311,0.0,0.00154,0.38616,0.41422,0.3328,0.32762,0.4105,0.39458,0.30959,0.27122,0.4497,0.4717,0.2011,0.19053,0.42521,0.47927,0.5778,0.57085,0.37169,0.43302,0.13302,0.13197,0.34638,0.38311
