Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
number6,0.31406,0.31806,0.183,0.1923,0.16809,0.14748,0.25687,0.24028,0.11214,0.12385,0.20964,0.2382,0.19936,0.26213,0.48663,0.8295,0.13857,0.12689,0.25542,0.32744,0.19806,0.23251,0.26251,0.32814,0.31276,0.30833,0.1827,0.19772,0.12958,0.16025,0.25379,0.25939,0.13304,0.13758,0.19854,0.21909,0.12144,0.1097,0.51318,1.0,0.1274,0.08008,0.26991,0.31081,0.11568,0.08173,0.24967,0.31763,0.00064,0.0,0.20195,0.20554,0.16911,0.16355,0.18072,0.181,0.16001,0.16233,0.18856,0.20915,0.12144,0.1097,0.51318,1.0,0.1274,0.08008,0.26991,0.31081,0.11568,0.08173,0.24967,0.31763
number6,0.30946,0.31153,0.18134,0.18843,0.17558,0.16224,0.26008,0.2368,0.10389,0.10492,0.21219,0.24779,0.17814,0.23701,0.48807,0.95844,0.13833,0.12562,0.24456,0.31392,0.19829,0.23659,0.26587,0.34619,0.30801,0.30412,0.17948,0.19439,0.11647,0.14844,0.25877,0.27555,0.12937,0.12868,0.20194,0.23539,0.13302,0.10629,0.49915,1.0,0.12472,0.10824,0.26324,0.30174,0.11754,0.07018,0.26518,0.33299,0.00396,0.0,0.20282,0.2101,0.16863,0.16641,0.17573,0.18063,0.16206,0.15968,0.18692,0.20627,0.13302,0.10629,0.49915,1.0,0.12472,0.10824,0.26324,0.30174,0.11754,0.07018,0.26518,0.33299
number6,0.32407,0.32537,0.19443,0.19676,0.18588,0.16939,0.27164,0.25709,0.10283,0.11028,0.22062,0.25373,0.22791,0.31303,0.51168,0.96592,0.15194,0.12664,0.25631,0.32135,0.19131,0.23486,0.29139,0.40864,0.32204,0.31929,0.19363,0.20056,0.11854,0.14238,0.25557,0.25499,0.12624,0.12888,0.20878,0.22574,0.10724,0.05554,0.53052,1.0,0.14294,0.12494,0.27397,0.31831,0.13066,0.08425,0.28377,0.37206,0.00641,0.0,0.20955,0.21662,0.17615,0.1744,0.18415,0.19341,0.16927,0.16009,0.19962,0.22011,0.10724,0.05554,0.53052,1.0,0.14294,0.12494,0.27397,0.31831,0.13066,0.08425,0.28377,0.37206
number6,0.34124,0.34073,0.2067,0.2105,0.18945,0.17412,0.28629,0.29286,0.11161,0.11956,0.23167,0.26653,0.26214,0.38998,0.53319,0.90203,0.16145,0.128,0.28296,0.36507,0.19508,0.22469,0.30891,0.42713,0.3409,0.3396,0.20994,0.22834,0.1349,0.14489,0.24657,0.25202,0.12537,0.12458,0.2087,0.23456,0.09937,0.0316,0.56188,1.0,0.16302,0.12383,0.28467,0.36095,0.14737,0.10172,0.2921,0.38993,0.00579,0.0,0.21649,0.21662,0.18674,0.18645,0.1968,0.20301,0.17867,0.17203,0.20872,0.23166,0.09937,0.0316,0.56188,1.0,0.16302,0.12383,0.28467,0.36095,0.14737,0.10172,0.2921,0.38993
number6,0.34627,0.34535,0.19749,0.20148,0.19373,0.1842,0.27317,0.2861,0.11172,0.11859,0.2329,0.26077,0.25427,0.34332,0.5463,0.93289,0.16199,0.14348,0.27678,0.3741,0.19687,0.25059,0.30223,0.39972,0.34135,0.33898,0.20287,0.22077,0.14195,0.1596,0.25112,0.26946,0.12349,0.121,0.21002,0.24427,0.0919,0.00261,0.55982,1.0,0.16452,0.13837,0.2779,0.35509,0.15368,0.09736,0.29555,0.41197,0.00263,0.0,0.2214,0.23491,0.19061,0.18845,0.2041,0.19762,0.18422,0.18527,0.20343,0.2227,0.0919,0.00261,0.55982,1.0,0.16452,0.13837,0.2779,0.35509,0.15368,0.09736,0.29555,0.41197
number6,0.37094,0.36754,0.22699,0.23166,0.22409,0.21468,0.28207,0.28921,0.14049,0.15323,0.25363,0.28347,0.2724,0.36569,0.56278,0.97437,0.18269,0.15943,0.29709,0.36712,0.21845,0.25835,0.32309,0.42204,0.36571,0.36236,0.23412,0.24318,0.17453,0.18793,0.28663,0.30203,0.15922,0.16943,0.2378,0.26719,0.11952,0.0,0.57497,1.0,0.18623,0.17091,0.29872,0.35144,0.19091,0.13315,0.32304,0.42745,0.03476,0.03627,0.24971,0.25645,0.21721,0.21431,0.24255,0.23263,0.21126,0.21042,0.23006,0.24877,0.11952,0.0,0.57497,1.0,0.18623,0.17091,0.29872,0.35144,0.19091,0.13315,0.32304,0.42745
number6,0.34904,0.34776,0.21201,0.21251,0.19698,0.18653,0.27224,0.29077,0.1087,0.12662,0.23864,0.2751,0.22959,0.27797,0.53824,0.92782,0.14689,0.10965,0.28546,0.34565,0.21068,0.24452,0.31257,0.4137,0.3474,0.3421,0.21706,0.22593,0.14422,0.15336,0.27667,0.28459,0.13508,0.14493,0.21724,0.23196,0.11535,0.0507,0.55627,1.0,0.15321,0.14943,0.27821,0.30927,0.14231,0.10045,0.31461,0.423,0.0,0.00728,0.23037,0.23335,0.18945,0.18624,0.21696,0.21021,0.17763,0.1757,0.20988,0.22631,0.11535,0.0507,0.55627,1.0,0.15321,0.14943,0.27821,0.30927,0.14231,0.10045,0.31461,0.423
number6,0.30748,0.30574,0.18872,0.19676,0.17384,0.16618,0.26267,0.27491,0.09377,0.10629,0.21904,0.25618,0.17795,0.22564,0.48085,0.88359,0.13505,0.09409,0.26001,0.30007,0.19874,0.25311,0.27369,0.35736,0.30654,0.30327,0.18917,0.19872,0.11588,0.12924,0.25376,0.24965,0.12339,0.12293,0.21265,0.21054,0.14893,0.15628,0.49879,1.0,0.13952,0.13103,0.27143,0.30865,0.10122,0.0737,0.26596,0.32255,0.0,0.00486,0.20512,0.22594,0.16624,0.16575,0.18452,0.18448,0.15551,0.15244,0.18475,0.20401,0.14893,0.15628,0.49879,1.0,0.13952,0.13103,0.27143,0.30865,0.10122,0.0737,0.26596,0.32255
number6,0.30508,0.29958,0.17828,0.18274,0.1679,0.15014,0.26654,0.25314,0.08681,0.08301,0.20817,0.23237,0.22582,0.28483,0.48138,0.81455,0.14791,0.13722,0.25498,0.31355,0.18894,0.23752,0.28154,0.37299,0.30377,0.29888,0.18014,0.1882,0.11588,0.13207,0.24513,0.2311,0.11649,0.10641,0.21098,0.2253,0.12689,0.13338,0.49991,1.0,0.14619,0.14778,0.27772,0.34209,0.10254,0.07367,0.26267,0.33053,0.0,0.00323,0.2074,0.23206,0.16598,0.16568,0.18342,0.18418,0.1613,0.16018,0.18255,0.20426,0.12689,0.13338,0.49991,1.0,0.14619,0.14778,0.27772,0.34209,0.10254,0.07367,0.26267,0.33053
number6,0.34951,0.34523,0.19523,0.21397,0.18349,0.16915,0.30263,0.26161,0.0959,0.08794,0.22396,0.2593,0.27306,0.33067,0.54546,0.87532,0.15695,0.15349,0.27484,0.36536,0.21634,0.26131,0.31779,0.4279,0.34856,0.34884,0.19957,0.20494,0.14239,0.15891,0.27177,0.25724,0.12719,0.11534,0.21952,0.25187,0.11904,0.14807,0.56258,1.0,0.15636,0.15771,0.30291,0.34523,0.12422,0.10139,0.29671,0.38483,4e-05,0.0,0.22994,0.25077,0.19189,0.19073,0.2079,0.20178,0.18833,0.18833,0.20798,0.22657,0.11904,0.14807,0.56258,1.0,0.15636,0.15771,0.30291,0.34523,0.12422,0.10139,0.29671,0.38483
