Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
salute,0.00515,0.01412,0.30676,0.31732,0.19088,0.20022,0.34975,0.34913,0.2053,0.2016,0.326,0.32846,0.40929,0.60545,0.63845,0.95152,0.31606,0.32792,0.35337,0.38524,0.32212,0.39922,0.43581,0.49603,0.06034,0.01581,0.47849,0.47129,0.46755,0.45885,0.47999,0.54444,0.35469,0.36311,0.38964,0.43449,0.16456,0.0991,0.60583,0.72454,0.17599,0.24893,0.55323,0.78517,0.4598,0.54659,0.76128,1.0,0.0,0.0006,0.30327,0.31025,0.26603,0.26998,0.35556,0.35304,0.28488,0.28566,0.31781,0.33038,0.16456,0.0991,0.60583,0.72454,0.17599,0.24893,0.55323,0.78517,0.4598,0.54659,0.76128,1.0
salute,0.01259,0.01818,0.53893,0.45392,0.2166,0.2508,0.56552,0.5336,0.27351,0.2795,0.48811,0.45116,0.31841,0.37932,0.77475,1.0,0.27705,0.3369,0.65433,0.55303,0.25736,0.25793,0.87307,0.9172,0.00852,0.0221,0.50876,0.40998,0.49607,0.48717,0.52329,0.48012,0.38517,0.39412,0.44104,0.44385,0.0522,0.0,0.70928,0.71586,0.46034,0.4574,0.52064,0.50865,0.17446,0.21747,0.66107,0.5361,0.02714,0.03458,0.39234,0.38583,0.36603,0.35989,0.41201,0.41533,0.34871,0.34545,0.47951,0.4344,0.0522,0.0,0.70928,0.71586,0.46034,0.4574,0.52064,0.50865,0.17446,0.21747,0.66107,0.5361
salute,0.01228,0.02104,0.49334,0.40707,0.23474,0.26517,0.51483,0.43362,0.25691,0.27618,0.44502,0.39177,0.59787,0.65889,0.67099,0.66189,0.29443,0.34709,0.60953,0.46203,0.33885,0.46463,0.80141,0.65881,0.0,0.02849,0.41335,0.39493,0.54124,0.46786,0.496,0.4575,0.43509,0.40699,0.43602,0.40416,0.34183,0.35405,0.70107,1.0,0.22345,0.33689,0.59294,0.66521,0.48989,0.38756,0.68653,0.71766,0.01697,0.02056,0.37032,0.37445,0.31138,0.32507,0.44878,0.43136,0.32525,0.33479,0.44785,0.4605,0.34183,0.35405,0.70107,1.0,0.22345,0.33689,0.59294,0.66521,0.48989,0.38756,0.68653,0.71766
salute,0.02643,0.03509,0.34342,0.34544,0.26114,0.258,0.36585,0.36345,0.26594,0.26659,0.34554,0.34255,0.45713,0.5184,0.64066,0.73878,0.3322,0.33091,0.4098,0.41406,0.3704,0.40294,0.44171,0.47801,0.0,0.03257,0.45782,0.45104,0.46501,0.4105,0.54861,0.59717,0.4019,0.3862,0.44644,0.43703,0.28298,0.28304,0.69807,1.0,0.1712,0.1876,0.54126,0.66727,0.44258,0.41954,0.76274,0.83401,0.04034,0.04561,0.34579,0.34574,0.28951,0.29949,0.4178,0.38486,0.32237,0.3241,0.36119,0.36871,0.28298,0.28304,0.69807,1.0,0.1712,0.1876,0.54126,0.66727,0.44258,0.41954,0.76274,0.83401
salute,0.10685,0.09769,0.60248,0.49925,0.31103,0.3508,0.62459,0.61652,0.34803,0.36971,0.557,0.52496,0.41787,0.50241,0.82249,1.0,0.37375,0.43656,0.71881,0.67192,0.35189,0.41466,0.89687,0.88978,0.10195,0.12125,0.56554,0.46907,0.50856,0.53956,0.6043,0.52372,0.45804,0.47553,0.52718,0.49436,0.09355,0.0,0.75157,0.7697,0.46865,0.50622,0.57269,0.59745,0.30148,0.36424,0.77256,0.64721,0.11139,0.12722,0.49876,0.45638,0.42158,0.41848,0.50085,0.48457,0.43708,0.42329,0.56517,0.47844,0.09355,0.0,0.75157,0.7697,0.46865,0.50622,0.57269,0.59745,0.30148,0.36424,0.77256,0.64721
salute,0.03093,0.03082,0.45934,0.39336,0.19067,0.21379,0.4737,0.38825,0.24687,0.2698,0.42108,0.37381,0.5712,0.70983,0.64162,0.57856,0.30101,0.36951,0.56596,0.4307,0.31607,0.42388,0.73046,0.46818,0.11001,0.03867,0.47157,0.47611,0.42225,0.4227,0.4419,0.4027,0.39095,0.37766,0.40137,0.41529,0.08244,0.0,0.61106,0.6882,0.29814,0.38329,0.54099,0.56115,0.41114,0.27898,0.74145,1.0,0.01201,0.02548,0.37164,0.34314,0.28836,0.29439,0.41183,0.38573,0.30857,0.29336,0.43312,0.36684,0.08244,0.0,0.61106,0.6882,0.29814,0.38329,0.54099,0.56115,0.41114,0.27898,0.74145,1.0
salute,0.00716,0.02431,0.35994,0.36869,0.1984,0.21508,0.39389,0.35274,0.26434,0.26974,0.35755,0.37473,0.44485,0.56906,0.67079,0.99706,0.36728,0.38448,0.43339,0.48746,0.27981,0.41003,0.59519,0.61234,0.05448,0.01703,0.54104,0.53771,0.42721,0.37117,0.50368,0.54173,0.36373,0.34268,0.45429,0.49009,0.0808,0.0,0.67273,0.72855,0.29392,0.41994,0.60705,0.74412,0.38527,0.34175,0.82602,1.0,0.02587,0.02772,0.34269,0.33021,0.30097,0.30303,0.40738,0.37109,0.32128,0.31713,0.36298,0.36946,0.0808,0.0,0.67273,0.72855,0.29392,0.41994,0.60705,0.74412,0.38527,0.34175,0.82602,1.0
salute,0.11772,0.09218,0.53771,0.51079,0.24916,0.27543,0.48981,0.54056,0.26972,0.26587,0.44283,0.44633,0.32391,0.26232,0.65666,0.8179,0.31424,0.33183,0.63049,0.67916,0.24182,0.26164,0.7862,1.0,0.03429,0.07893,0.4441,0.37983,0.43262,0.42387,0.45958,0.41219,0.34473,0.36392,0.42688,0.40236,0.09957,0.0,0.63132,0.59375,0.40422,0.44504,0.51851,0.53428,0.2048,0.23829,0.53895,0.4733,0.0865,0.09395,0.39942,0.36836,0.35491,0.33825,0.41035,0.39506,0.34361,0.34207,0.4548,0.41165,0.09957,0.0,0.63132,0.59375,0.40422,0.44504,0.51851,0.53428,0.2048,0.23829,0.53895,0.4733
salute,0.0701,0.03181,0.5302,0.43897,0.25608,0.27354,0.46712,0.45253,0.22966,0.23655,0.42406,0.37846,0.61493,0.74759,0.63965,0.63494,0.2903,0.35917,0.63023,0.43004,0.32583,0.4086,0.77499,0.63462,0.09576,0.02288,0.48504,0.4432,0.44813,0.41848,0.445,0.42518,0.38276,0.3555,0.40515,0.45595,0.16172,0.11712,0.62372,0.9017,0.25778,0.31085,0.54941,0.5989,0.48643,0.29937,0.69579,1.0,0.0,0.00614,0.37959,0.35933,0.30912,0.29459,0.41195,0.39712,0.29483,0.28614,0.44678,0.41984,0.16172,0.11712,0.62372,0.9017,0.25778,0.31085,0.54941,0.5989,0.48643,0.29937,0.69579,1.0
salute,0.0,0.0032,0.32792,0.35337,0.2144,0.2273,0.40434,0.37545,0.24766,0.24431,0.34039,0.35414,0.41812,0.62553,0.65096,1.0,0.32349,0.33536,0.38497,0.40856,0.24383,0.3346,0.55705,0.57609,0.06805,0.01715,0.49518,0.50413,0.43552,0.37782,0.46243,0.5062,0.33204,0.30762,0.41961,0.44197,0.15929,0.03462,0.61526,0.83009,0.23182,0.33628,0.52507,0.65527,0.42414,0.34839,0.75898,0.86779,0.01408,0.01761,0.32399,0.32011,0.27867,0.27466,0.36121,0.35498,0.29665,0.30133,0.34741,0.35437,0.15929,0.03462,0.61526,0.83009,0.23182,0.33628,0.52507,0.65527,0.42414,0.34839,0.75898,0.86779
