Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
sidestep,0.05843,0.0808,0.77802,0.77144,0.60065,0.5936,0.78214,0.8685,0.31301,0.29764,0.75558,0.80605,0.64407,0.64342,0.87725,1.0,0.68731,0.68554,0.76594,0.82436,0.64497,0.62584,0.81904,0.85843,0.04073,0.07054,0.78062,0.77382,0.92728,0.93388,0.75839,0.80257,0.52186,0.48811,0.80395,0.87949,0.63671,0.624,0.86358,0.94231,0.69604,0.69726,0.76706,0.76777,0.67999,0.6881,0.79449,0.85275,0.0,0.01047,0.77589,0.75367,0.74597,0.70788,0.88225,0.92106,0.56297,0.52584,0.89493,0.85293,0.63671,0.624,0.86358,0.94231,0.69604,0.69726,0.76706,0.76777,0.67999,0.6881,0.79449,0.85275
sidestep,0.04591,0.07011,0.77007,0.78557,0.59509,0.57076,0.79025,0.86591,0.3277,0.31857,0.75594,0.79245,0.66843,0.65222,0.90753,1.0,0.6889,0.69128,0.77575,0.83615,0.66306,0.64143,0.83292,0.86721,0.03878,0.05523,0.77618,0.76529,0.9377,0.96392,0.77157,0.79394,0.52045,0.53133,0.78552,0.86703,0.65303,0.65222,0.9143,0.95295,0.66682,0.67863,0.78454,0.82016,0.6905,0.68904,0.78785,0.82072,0.0,0.00687,0.77641,0.75135,0.77249,0.72587,0.99506,0.90013,0.57883,0.54286,0.89895,0.83039,0.65303,0.65222,0.9143,0.95295,0.66682,0.67863,0.78454,0.82016,0.6905,0.68904,0.78785,0.82072
sidestep,0.04586,0.05647,0.73865,0.77788,0.56527,0.5308,0.75652,0.82708,0.33111,0.32868,0.75023,0.8023,0.67758,0.65469,0.84576,0.89168,0.67256,0.66921,0.75179,0.81558,0.67686,0.6685,0.77783,0.80814,0.03244,0.0501,0.74543,0.7669,0.902,0.91204,0.74322,0.77717,0.52214,0.51947,0.7517,0.8,0.60905,0.63133,0.90383,1.0,0.65331,0.66071,0.77978,0.84443,0.66713,0.65646,0.74999,0.76761,0.0,0.01151,0.748,0.72478,0.72943,0.70921,0.93659,0.79522,0.58425,0.53257,0.86599,0.80159,0.60905,0.63133,0.90383,1.0,0.65331,0.66071,0.77978,0.84443,0.66713,0.65646,0.74999,0.76761
sidestep,0.04722,0.06582,0.71724,0.74444,0.58346,0.60197,0.72558,0.79551,0.28917,0.27048,0.72338,0.75903,0.65243,0.65062,0.78811,0.85285,0.66038,0.66625,0.72578,0.77571,0.65677,0.66208,0.72339,0.74287,0.02596,0.04081,0.72141,0.73592,0.90196,0.91331,0.70311,0.72237,0.53115,0.53665,0.72269,0.7764,0.61715,0.63915,0.8613,1.0,0.64329,0.63429,0.74625,0.79968,0.6396,0.62907,0.7415,0.77762,0.0,0.00502,0.74388,0.7592,0.7802,0.71733,0.91917,0.86483,0.57407,0.51649,0.86586,0.8181,0.61715,0.63915,0.8613,1.0,0.64329,0.63429,0.74625,0.79968,0.6396,0.62907,0.7415,0.77762
sidestep,0.04521,0.06742,0.79249,0.81686,0.61362,0.62931,0.8065,0.90178,0.33432,0.33585,0.78954,0.85152,0.69092,0.72135,0.886,0.93663,0.71448,0.7279,0.78471,0.84305,0.71941,0.73714,0.81703,0.87174,0.02496,0.04508,0.78606,0.78644,0.97276,0.97322,0.79301,0.83342,0.565,0.58078,0.79515,0.84729,0.66878,0.67244,0.93001,0.99806,0.68498,0.67167,0.80448,0.84035,0.71241,0.69016,0.82192,0.87348,0.0,0.0058,0.8132,0.77315,0.86414,0.7745,1.0,0.95666,0.60983,0.57039,0.93865,0.85037,0.66878,0.67244,0.93001,0.99806,0.68498,0.67167,0.80448,0.84035,0.71241,0.69016,0.82192,0.87348
sidestep,0.05907,0.06849,0.77286,0.78333,0.63663,0.68584,0.82276,0.93014,0.34196,0.33237,0.77576,0.83077,0.67353,0.71896,0.86849,0.9181,0.69837,0.7088,0.76664,0.81232,0.68891,0.68697,0.81622,0.84921,0.03121,0.04289,0.76983,0.77769,0.9634,0.96892,0.78435,0.80893,0.59378,0.63615,0.80873,0.90492,0.64425,0.71821,0.88613,0.93993,0.69011,0.70014,0.79262,0.83359,0.686,0.66062,0.80127,0.83622,0.0,0.01466,0.79837,0.76527,0.80248,0.74155,1.0,0.89231,0.60209,0.56162,0.92341,0.82926,0.64425,0.71821,0.88613,0.93993,0.69011,0.70014,0.79262,0.83359,0.686,0.66062,0.80127,0.83622
sidestep,0.04773,0.0558,0.76148,0.79202,0.62493,0.58941,0.81297,0.90248,0.34222,0.34281,0.76363,0.8177,0.71957,0.76841,0.83822,0.88869,0.68805,0.70308,0.774,0.79069,0.67993,0.67136,0.79594,0.826,0.03631,0.03956,0.7636,0.78125,0.96089,0.95875,0.76152,0.78616,0.58066,0.56448,0.80106,0.90361,0.68098,0.71781,0.90174,0.9444,0.698,0.71063,0.78328,0.8041,0.68829,0.66758,0.83511,0.83356,0.0,0.00897,0.79057,0.74557,0.78427,0.69855,1.0,0.91456,0.57902,0.53503,0.90676,0.80599,0.68098,0.71781,0.90174,0.9444,0.698,0.71063,0.78328,0.8041,0.68829,0.66758,0.83511,0.83356
sidestep,0.02531,0.03464,0.80319,0.81532,0.59676,0.56744,0.83261,0.90432,0.39785,0.40218,0.82365,0.83065,0.70117,0.73747,0.90464,0.92224,0.72305,0.72712,0.83236,0.85893,0.72019,0.71039,0.81521,0.85853,0.03877,0.04738,0.80605,0.82408,1.0,0.98954,0.80023,0.83364,0.55855,0.52523,0.82452,0.88083,0.64674,0.60407,0.93719,0.92164,0.73104,0.75061,0.83263,0.85793,0.71416,0.72354,0.89364,0.9535,0.0,0.00756,0.80055,0.77232,0.78266,0.7323,0.96715,0.842,0.59913,0.5539,0.88851,0.83284,0.64674,0.60407,0.93719,0.92164,0.73104,0.75061,0.83263,0.85793,0.71416,0.72354,0.89364,0.9535
sidestep,0.03805,0.05618,0.76332,0.76724,0.59969,0.61701,0.78441,0.85923,0.35422,0.33474,0.78971,0.86869,0.70125,0.70641,0.84516,0.86479,0.69159,0.68378,0.76772,0.80748,0.68132,0.67673,0.77131,0.77948,0.03188,0.0406,0.75081,0.76019,0.95066,0.96012,0.76033,0.76928,0.55124,0.57955,0.78724,0.87981,0.66374,0.63259,0.93028,0.92562,0.67079,0.67785,0.82304,0.83957,0.69016,0.69083,0.858,0.85236,0.0,0.0113,0.77944,0.7448,0.76418,0.71123,1.0,0.88,0.5575,0.50017,0.90485,0.829,0.66374,0.63259,0.93028,0.92562,0.67079,0.67785,0.82304,0.83957,0.69016,0.69083,0.858,0.85236
sidestep,0.03658,0.04644,0.75763,0.77995,0.57061,0.54937,0.78215,0.85958,0.37383,0.39269,0.77776,0.8642,0.6518,0.68424,0.89159,0.92314,0.68497,0.69237,0.75407,0.78623,0.65802,0.65948,0.7746,0.81136,0.04264,0.04644,0.75112,0.77182,0.93192,0.93219,0.77241,0.79565,0.51733,0.48803,0.78171,0.86106,0.64606,0.62401,0.95408,1.0,0.67395,0.66687,0.82109,0.84203,0.69668,0.68018,0.84767,0.84203,0.0,0.00986,0.76376,0.7175,0.74641,0.692,0.95663,0.8424,0.51902,0.49431,0.90033,0.7672,0.64606,0.62401,0.95408,1.0,0.67395,0.66687,0.82109,0.84203,0.69668,0.68018,0.84767,0.84203
