Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
swing,0.34301,0.34528,0.35596,0.3796,0.19669,0.21182,0.40958,0.49864,0.03049,0.0,0.45632,0.56965,0.333,0.39395,0.47488,0.54539,0.30057,0.23737,0.70838,1.0,0.2742,0.28747,0.57368,0.75407,0.31761,0.32943,0.39125,0.43399,0.42523,0.42492,0.40188,0.45611,0.07508,0.05452,0.46698,0.56416,0.31971,0.32815,0.55432,0.77305,0.28905,0.24351,0.65886,0.95568,0.26951,0.28347,0.59348,0.80481,0.04103,0.04568,0.3549,0.33172,0.33914,0.33143,0.4117,0.3472,0.27943,0.25949,0.40178,0.36562,0.31971,0.32815,0.55432,0.77305,0.28905,0.24351,0.65886,0.95568,0.26951,0.28347,0.59348,0.80481
swing,0.29956,0.2997,0.35342,0.37569,0.23618,0.25469,0.3947,0.43721,0.02287,0.0,0.45661,0.57083,0.33157,0.37054,0.43193,0.48906,0.29063,0.26965,0.67779,0.95449,0.2884,0.3268,0.58501,0.85692,0.33466,0.34768,0.35663,0.39149,0.46093,0.45873,0.4027,0.45576,0.13195,0.11288,0.45428,0.55694,0.30394,0.27713,0.50138,0.60054,0.23352,0.16001,0.67161,1.0,0.30138,0.31748,0.56187,0.78933,0.03262,0.03852,0.34883,0.33928,0.35262,0.33046,0.41518,0.42289,0.25612,0.26217,0.3808,0.36235,0.30394,0.27713,0.50138,0.60054,0.23352,0.16001,0.67161,1.0,0.30138,0.31748,0.56187,0.78933
swing,0.31166,0.30841,0.37302,0.40771,0.24654,0.24931,0.38741,0.40943,0.01676,0.0,0.44464,0.5257,0.2637,0.26539,0.47048,0.5804,0.23098,0.18966,0.69155,1.0,0.31243,0.29714,0.53446,0.75179,0.33259,0.34318,0.35254,0.38703,0.48042,0.46083,0.43589,0.45774,0.12966,0.09153,0.46242,0.60383,0.19264,0.16135,0.45874,0.54735,0.24944,0.18911,0.66076,0.91561,0.29497,0.26471,0.63858,0.86648,0.05314,0.06116,0.34821,0.33569,0.35826,0.33535,0.4112,0.43747,0.25585,0.25715,0.38483,0.35425,0.19264,0.16135,0.45874,0.54735,0.24944,0.18911,0.66076,0.91561,0.29497,0.26471,0.63858,0.86648
swing,0.36503,0.36369,0.39554,0.39931,0.26477,0.28849,0.44,0.45871,0.02451,0.0,0.49849,0.55592,0.36929,0.43084,0.52633,0.62512,0.30487,0.21739,0.742,1.0,0.32102,0.30298,0.60894,0.76615,0.38132,0.39002,0.42403,0.45234,0.51313,0.50647,0.46354,0.51393,0.11786,0.09114,0.50754,0.57011,0.29621,0.23012,0.56926,0.64538,0.31929,0.237,0.71217,0.9921,0.31866,0.27079,0.67193,0.92758,0.07455,0.07403,0.37794,0.37013,0.38447,0.36179,0.44952,0.39704,0.29464,0.28557,0.40839,0.37232,0.29621,0.23012,0.56926,0.64538,0.31929,0.237,0.71217,0.9921,0.31866,0.27079,0.67193,0.92758
swing,0.36647,0.36766,0.37895,0.38849,0.27531,0.3026,0.46889,0.49513,0.0319,0.0,0.50183,0.58543,0.40932,0.4152,0.45254,0.50368,0.37957,0.3176,0.70182,0.88067,0.30045,0.28998,0.63638,0.79808,0.40839,0.41899,0.4163,0.44584,0.51057,0.49989,0.44634,0.51076,0.12952,0.10419,0.48951,0.54407,0.40705,0.39557,0.54827,0.70707,0.34812,0.31901,0.68585,1.0,0.32937,0.35532,0.56828,0.70637,0.08342,0.08343,0.37959,0.36689,0.38924,0.36009,0.45657,0.41394,0.29559,0.28956,0.40491,0.38435,0.40705,0.39557,0.54827,0.70707,0.34812,0.31901,0.68585,1.0,0.32937,0.35532,0.56828,0.70637
swing,0.35386,0.34807,0.36303,0.36039,0.24967,0.26819,0.42867,0.46521,0.00761,0.0,0.45225,0.5585,0.27202,0.28168,0.45028,0.54639,0.37103,0.41331,0.66989,1.0,0.26337,0.26138,0.56344,0.7513,0.38126,0.39185,0.35262,0.39193,0.48394,0.45796,0.43187,0.47064,0.11959,0.08553,0.46034,0.57198,0.29084,0.28313,0.50959,0.64142,0.37235,0.40736,0.61374,0.85481,0.32968,0.33198,0.62464,0.88417,0.0402,0.04929,0.35413,0.343,0.36423,0.3401,0.42084,0.42592,0.2585,0.26124,0.39491,0.387,0.29084,0.28313,0.50959,0.64142,0.37235,0.40736,0.61374,0.85481,0.32968,0.33198,0.62464,0.88417
swing,0.38578,0.38495,0.35025,0.38884,0.20276,0.22217,0.40416,0.45124,0.02121,0.0,0.42701,0.52141,0.24591,0.22408,0.47125,0.63037,0.31337,0.29506,0.67209,1.0,0.30364,0.31412,0.50107,0.6432,0.35665,0.36501,0.33971,0.37359,0.41025,0.40578,0.41216,0.43811,0.0882,0.0415,0.46458,0.59825,0.21976,0.19431,0.51953,0.67517,0.31864,0.31471,0.62038,0.92572,0.31719,0.28699,0.61542,0.89698,0.02477,0.02537,0.33721,0.31632,0.3231,0.30635,0.40405,0.37879,0.23902,0.22261,0.3799,0.34529,0.21976,0.19431,0.51953,0.67517,0.31864,0.31471,0.62038,0.92572,0.31719,0.28699,0.61542,0.89698
swing,0.43014,0.4286,0.36995,0.38743,0.22583,0.25358,0.44892,0.49299,0.05618,0.0,0.47226,0.60021,0.39319,0.41905,0.49441,0.53128,0.28759,0.22795,0.70499,0.98468,0.31764,0.31046,0.61951,0.76325,0.39214,0.39251,0.39881,0.42314,0.43134,0.44165,0.41656,0.45863,0.10561,0.10677,0.49722,0.63563,0.33217,0.34246,0.56979,0.75688,0.26754,0.20748,0.69679,1.0,0.27524,0.29089,0.58326,0.7838,0.04285,0.04823,0.36581,0.34481,0.34699,0.3414,0.44549,0.369,0.27474,0.25813,0.41483,0.38212,0.33217,0.34246,0.56979,0.75688,0.26754,0.20748,0.69679,1.0,0.27524,0.29089,0.58326,0.7838
swing,0.4137,0.42888,0.40625,0.42067,0.3056,0.30213,0.46748,0.51816,0.04189,0.0,0.49663,0.61125,0.39311,0.40927,0.50254,0.55243,0.28447,0.21413,0.7201,1.0,0.35909,0.34119,0.64562,0.84947,0.42836,0.43526,0.41789,0.43609,0.52131,0.52538,0.44667,0.48685,0.151,0.13161,0.52367,0.58374,0.31756,0.27964,0.55654,0.69688,0.25968,0.18283,0.71122,0.93602,0.33684,0.44483,0.6265,0.83184,0.0691,0.07158,0.39437,0.38511,0.40938,0.38739,0.48983,0.43336,0.29892,0.29468,0.44701,0.43465,0.31756,0.27964,0.55654,0.69688,0.25968,0.18283,0.71122,0.93602,0.33684,0.44483,0.6265,0.83184
swing,0.44361,0.45783,0.43439,0.45457,0.32037,0.30931,0.47088,0.49011,0.0451,0.0,0.52021,0.57831,0.31829,0.31295,0.54796,0.66917,0.34609,0.32053,0.74139,1.0,0.40959,0.44268,0.58007,0.71637,0.45201,0.45041,0.42721,0.42752,0.5401,0.54997,0.49216,0.5327,0.15042,0.11487,0.55091,0.62188,0.276,0.27567,0.56964,0.72335,0.35899,0.35523,0.7073,0.94787,0.41863,0.47238,0.68084,0.89452,0.10098,0.10502,0.43328,0.41358,0.43714,0.41479,0.50835,0.49905,0.31997,0.31219,0.47787,0.452,0.276,0.27567,0.56964,0.72335,0.35899,0.35523,0.7073,0.94787,0.41863,0.47238,0.68084,0.89452
swing,0.45943,0.46229,0.41093,0.41789,0.25961,0.28437,0.48049,0.5147,0.05437,0.0,0.54056,0.6705,0.3714,0.38046,0.5691,0.70007,0.43441,0.49113,0.74279,0.98412,0.34428,0.37463,0.65254,0.84437,0.43932,0.43993,0.43683,0.44219,0.50101,0.48513,0.47945,0.5177,0.12546,0.12104,0.54425,0.68298,0.36679,0.41125,0.59728,0.76391,0.43356,0.43604,0.71964,1.0,0.38021,0.3662,0.67142,0.89208,0.06605,0.06968,0.42363,0.39269,0.4159,0.39391,0.4975,0.42875,0.3161,0.31111,0.46829,0.42016,0.36679,0.41125,0.59728,0.76391,0.43356,0.43604,0.71964,1.0,0.38021,0.3662,0.67142,0.89208
swing,0.38563,0.38921,0.38195,0.39941,0.25459,0.25353,0.45232,0.5295,0.02672,0.0,0.47194,0.59084,0.34608,0.32787,0.45796,0.49989,0.31472,0.29191,0.70086,1.0,0.30341,0.28979,0.59056,0.77246,0.39132,0.39888,0.37796,0.38596,0.47226,0.47322,0.43444,0.47941,0.12291,0.11936,0.47772,0.56622,0.30752,0.34721,0.51778,0.6676,0.30646,0.24386,0.65458,0.9475,0.2961,0.31306,0.59596,0.79829,0.03702,0.03959,0.35912,0.34857,0.37056,0.34812,0.44997,0.40961,0.26434,0.26547,0.39861,0.3701,0.30752,0.34721,0.51778,0.6676,0.30646,0.24386,0.65458,0.9475,0.2961,0.31306,0.59596,0.79829
swing,0.38102,0.38211,0.38645,0.40687,0.28021,0.27773,0.40988,0.48207,0.00852,0.0,0.45392,0.51706,0.23183,0.25247,0.45883,0.54515,0.28243,0.22735,0.68261,1.0,0.31485,0.34161,0.53263,0.68808,0.40008,0.39721,0.3509,0.36273,0.45475,0.43714,0.45056,0.53992,0.11697,0.05938,0.473,0.58537,0.22348,0.23577,0.50098,0.63937,0.31232,0.31475,0.63195,0.87594,0.33732,0.32535,0.62984,0.86019,0.04238,0.05096,0.35843,0.34756,0.35362,0.33914,0.43134,0.43823,0.25163,0.25407,0.37815,0.36092,0.22348,0.23577,0.50098,0.63937,0.31232,0.31475,0.63195,0.87594,0.33732,0.32535,0.62984,0.86019
swing,0.46266,0.4721,0.42688,0.47284,0.27651,0.2694,0.44546,0.5211,0.01413,0.0,0.50151,0.5923,0.30983,0.35297,0.52487,0.5705,0.38515,0.39771,0.71847,0.98238,0.33377,0.32773,0.6212,0.80344,0.45187,0.4467,0.39814,0.41598,0.4467,0.40049,0.48749,0.53732,0.08373,0.04211,0.51384,0.63556,0.31809,0.36788,0.58283,0.77321,0.35465,0.36903,0.65863,0.79484,0.38003,0.30905,0.6987,1.0,0.0393,0.04556,0.4025,0.37395,0.38642,0.3628,0.48045,0.42884,0.2941,0.29283,0.43929,0.4041,0.31809,0.36788,0.58283,0.77321,0.35465,0.36903,0.65863,0.79484,0.38003,0.30905,0.6987,1.0
swing,0.44228,0.45414,0.43147,0.47992,0.32433,0.34634,0.44955,0.53988,0.02661,0.0,0.49435,0.56808,0.37842,0.39257,0.52247,0.54319,0.39303,0.43281,0.71703,0.9436,0.31252,0.27168,0.61098,0.70651,0.46451,0.45802,0.40561,0.43515,0.48031,0.44574,0.46739,0.55564,0.11908,0.07095,0.50057,0.6097,0.36255,0.37446,0.58604,0.78505,0.32803,0.35701,0.59016,0.72727,0.33515,0.26182,0.71448,1.0,0.03525,0.04202,0.38739,0.36081,0.40286,0.36832,0.47899,0.42707,0.29943,0.30141,0.43646,0.39636,0.36255,0.37446,0.58604,0.78505,0.32803,0.35701,0.59016,0.72727,0.33515,0.26182,0.71448,1.0
swing,0.35514,0.34558,0.37697,0.41368,0.29506,0.30172,0.36995,0.37176,0.00665,0.0,0.45339,0.56346,0.24673,0.27626,0.51637,0.73229,0.34991,0.39433,0.67228,1.0,0.26014,0.25196,0.53165,0.7141,0.38961,0.37176,0.35545,0.3609,0.47256,0.44999,0.41539,0.46171,0.12418,0.0732,0.45928,0.61825,0.25085,0.24405,0.51986,0.64097,0.38579,0.3939,0.58433,0.74811,0.28747,0.28863,0.64469,0.98375,0.03097,0.04286,0.34672,0.33185,0.35165,0.33494,0.42034,0.43093,0.27478,0.27008,0.37623,0.35399,0.25085,0.24405,0.51986,0.64097,0.38579,0.3939,0.58433,0.74811,0.28747,0.28863,0.64469,0.98375
swing,0.40414,0.39768,0.38681,0.4432,0.21644,0.22765,0.39338,0.43058,0.03253,0.0,0.4832,0.62073,0.27832,0.33175,0.51388,0.64508,0.32558,0.32611,0.68738,1.0,0.2559,0.25913,0.57636,0.77948,0.37852,0.37689,0.34318,0.35284,0.41928,0.36531,0.43833,0.44595,0.09948,0.05999,0.51304,0.71221,0.28082,0.29626,0.56373,0.7621,0.37684,0.39278,0.66929,0.86925,0.27235,0.25483,0.59182,0.73901,0.03968,0.04752,0.36821,0.3443,0.34724,0.34704,0.42249,0.3815,0.29086,0.28467,0.39291,0.34816,0.28082,0.29626,0.56373,0.7621,0.37684,0.39278,0.66929,0.86925,0.27235,0.25483,0.59182,0.73901
swing,0.38952,0.37315,0.35353,0.35738,0.19796,0.20587,0.40378,0.47804,0.02746,0.0,0.47624,0.63796,0.36622,0.3745,0.42531,0.44598,0.28426,0.23065,0.68149,0.92529,0.2668,0.29296,0.59339,0.85877,0.37328,0.3688,0.3615,0.36669,0.39723,0.35663,0.39318,0.43337,0.08782,0.0958,0.49635,0.64044,0.34205,0.33771,0.55391,0.72363,0.24222,0.24146,0.67336,1.0,0.26294,0.29597,0.53724,0.70013,0.01421,0.02192,0.3482,0.31962,0.34419,0.33246,0.42086,0.36001,0.26758,0.26654,0.35945,0.33081,0.34205,0.33771,0.55391,0.72363,0.24222,0.24146,0.67336,1.0,0.26294,0.29597,0.53724,0.70013
