Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
turnclap,0.0955,0.05293,0.48096,0.49973,0.09045,0.09375,0.43313,0.44668,0.18308,0.15854,0.47943,0.43371,0.1605,0.20018,0.72007,1.0,0.23976,0.30629,0.55702,0.59526,0.21849,0.06318,0.73902,0.8439,0.1558,0.16383,0.49823,0.65475,0.54114,0.55237,0.43756,0.5332,0.33958,0.35207,0.43452,0.45734,0.10279,0.14813,0.61949,0.78647,0.35694,0.36876,0.59128,0.58286,0.23741,0.31505,0.70586,0.81465,0.0,0.01657,0.3869,0.32381,0.32196,0.3443,0.41247,0.35107,0.26796,0.25836,0.37896,0.33174,0.10279,0.14813,0.61949,0.78647,0.35694,0.36876,0.59128,0.58286,0.23741,0.31505,0.70586,0.81465
turnclap,0.1255,0.14117,0.47781,0.47478,0.22208,0.24517,0.49567,0.52159,0.31917,0.28248,0.53587,0.51943,0.12943,0.1075,0.70177,1.0,0.31971,0.37435,0.54823,0.6472,0.17898,0.16515,0.7079,0.71509,0.163,0.15424,0.46733,0.48912,0.56323,0.56038,0.4779,0.52199,0.45115,0.42406,0.50604,0.53459,0.03046,0.0,0.63354,0.73011,0.55715,0.54583,0.6273,0.77558,0.34051,0.33569,0.69719,0.50899,0.13406,0.14845,0.4643,0.40951,0.34125,0.40143,0.5581,0.47882,0.41586,0.36236,0.5262,0.48239,0.03046,0.0,0.63354,0.73011,0.55715,0.54583,0.6273,0.77558,0.34051,0.33569,0.69719,0.50899
turnclap,0.10767,0.11776,0.4807,0.49738,0.18502,0.21408,0.48972,0.49259,0.31016,0.28648,0.50389,0.53676,0.08008,0.03564,0.66154,1.0,0.30076,0.33009,0.51841,0.60997,0.15114,0.11651,0.70738,0.71713,0.16955,0.15389,0.45795,0.47202,0.52848,0.52125,0.43724,0.43994,0.43623,0.40748,0.49234,0.52187,0.04692,0.0,0.62256,0.89103,0.51614,0.49146,0.60861,0.74143,0.30774,0.28922,0.63424,0.48517,0.13027,0.13483,0.42203,0.37888,0.29001,0.3691,0.52633,0.50885,0.40208,0.33296,0.487,0.55445,0.04692,0.0,0.62256,0.89103,0.51614,0.49146,0.60861,0.74143,0.30774,0.28922,0.63424,0.48517
turnclap,0.05434,0.06793,0.50226,0.55103,0.13453,0.15998,0.50199,0.46647,0.23567,0.20727,0.50375,0.53566,0.07256,0.0,0.69546,1.0,0.23321,0.27835,0.57604,0.71566,0.16157,0.08023,0.76702,0.77035,0.12589,0.10529,0.47808,0.57026,0.55965,0.55355,0.4316,0.46111,0.39669,0.36283,0.50988,0.50303,0.01843,0.00599,0.68761,0.92592,0.45496,0.44338,0.64833,0.68926,0.25911,0.28355,0.65004,0.56663,0.04753,0.05343,0.40811,0.3455,0.29821,0.3652,0.50126,0.43408,0.36056,0.29585,0.4913,0.36599,0.01843,0.00599,0.68761,0.92592,0.45496,0.44338,0.64833,0.68926,0.25911,0.28355,0.65004,0.56663
turnclap,0.06833,0.07615,0.5206,0.51052,0.14479,0.14312,0.53223,0.50551,0.25297,0.21393,0.5415,0.54609,0.0596,0.00568,0.72587,0.9813,0.27506,0.30277,0.60499,0.74223,0.20977,0.10554,0.83493,1.0,0.14216,0.12341,0.48899,0.55194,0.61543,0.6179,0.45335,0.46535,0.42039,0.38577,0.50377,0.49332,0.03925,0.0,0.72003,0.93971,0.55529,0.54626,0.64901,0.63753,0.26322,0.30311,0.69835,0.76361,0.05832,0.07164,0.45433,0.39279,0.35635,0.40431,0.51025,0.44489,0.38216,0.32866,0.53187,0.40214,0.03925,0.0,0.72003,0.93971,0.55529,0.54626,0.64901,0.63753,0.26322,0.30311,0.69835,0.76361
turnclap,0.01998,0.05925,0.56273,0.52357,0.11056,0.12614,0.57949,0.55226,0.27466,0.23905,0.58322,0.67449,0.03357,0.01696,0.76816,1.0,0.25381,0.29737,0.65323,0.73924,0.12289,0.02273,0.90677,0.78834,0.13392,0.10509,0.52792,0.57472,0.65194,0.66238,0.47302,0.49152,0.49318,0.43823,0.53405,0.58114,0.01164,0.0,0.74624,0.81479,0.68392,0.6035,0.74416,0.76421,0.29807,0.35625,0.75338,0.85728,0.035,0.05124,0.47897,0.4183,0.32092,0.4019,0.56861,0.56708,0.41856,0.34023,0.58415,0.57304,0.01164,0.0,0.74624,0.81479,0.68392,0.6035,0.74416,0.76421,0.29807,0.35625,0.75338,0.85728
turnclap,0.03252,0.07151,0.52745,0.48725,0.15972,0.18086,0.51831,0.53909,0.28201,0.23437,0.52264,0.56334,0.0554,0.03984,0.71947,1.0,0.26869,0.31372,0.61726,0.68578,0.13216,0.04384,0.8019,0.63002,0.12671,0.08818,0.49797,0.57143,0.5684,0.57359,0.44826,0.49566,0.44411,0.4149,0.51652,0.55276,0.0,0.00633,0.6836,0.97308,0.57672,0.53609,0.68804,0.79488,0.30947,0.35939,0.68608,0.58685,0.04286,0.05551,0.43434,0.3829,0.28269,0.35256,0.54034,0.49975,0.38322,0.31222,0.53736,0.51825,0.0,0.00633,0.6836,0.97308,0.57672,0.53609,0.68804,0.79488,0.30947,0.35939,0.68608,0.58685
turnclap,0.05084,0.06556,0.45828,0.42762,0.20661,0.23399,0.46798,0.52088,0.28428,0.24839,0.4772,0.48399,0.07198,0.02838,0.69416,1.0,0.3474,0.36597,0.49899,0.53976,0.165,0.11803,0.7176,0.65241,0.10553,0.09584,0.42669,0.40815,0.5283,0.51985,0.42685,0.44776,0.38216,0.34407,0.467,0.48825,0.0,0.02794,0.61922,0.88353,0.45768,0.44901,0.5108,0.58216,0.3214,0.30454,0.68552,0.49339,0.06459,0.07629,0.40861,0.36406,0.29399,0.34363,0.47871,0.41903,0.34065,0.29248,0.47572,0.39485,0.0,0.02794,0.61922,0.88353,0.45768,0.44901,0.5108,0.58216,0.3214,0.30454,0.68552,0.49339
turnclap,0.0165,0.01332,0.42061,0.3852,0.17318,0.18123,0.42672,0.47231,0.21795,0.19698,0.43928,0.44653,0.11324,0.17958,0.68304,1.0,0.24293,0.27555,0.47363,0.47181,0.18483,0.09902,0.69296,0.67727,0.07247,0.03885,0.40845,0.42349,0.51703,0.50761,0.41987,0.40509,0.32763,0.29445,0.43303,0.46278,0.03821,0.05774,0.64728,0.89425,0.35785,0.34567,0.51421,0.498,0.2981,0.25516,0.68527,0.60632,0.0,0.0052,0.33445,0.31674,0.286,0.31351,0.40564,0.33265,0.27634,0.23643,0.42969,0.33125,0.03821,0.05774,0.64728,0.89425,0.35785,0.34567,0.51421,0.498,0.2981,0.25516,0.68527,0.60632
turnclap,0.11853,0.12768,0.52205,0.54516,0.19291,0.20863,0.53384,0.56587,0.34263,0.30536,0.55616,0.53891,0.08561,0.0,0.74459,0.96945,0.28595,0.34771,0.63433,0.72613,0.21208,0.17659,0.82901,0.89061,0.20114,0.15315,0.54032,0.62643,0.58591,0.57306,0.52076,0.56079,0.45169,0.43851,0.52071,0.54329,0.13169,0.09001,0.73443,1.0,0.57983,0.51461,0.72168,0.79067,0.38828,0.35646,0.73307,0.73816,0.09744,0.11564,0.45957,0.41085,0.34458,0.40413,0.54589,0.44562,0.3941,0.33818,0.54162,0.46632,0.13169,0.09001,0.73443,1.0,0.57983,0.51461,0.72168,0.79067,0.38828,0.35646,0.73307,0.73816
turnclap,0.19831,0.24148,0.61789,0.67158,0.11292,0.09673,0.56991,0.60953,0.40317,0.37087,0.60613,0.61165,0.0753,0.0,0.78822,0.93327,0.23183,0.27308,0.70858,0.85578,0.1261,0.0895,0.86219,0.91324,0.26161,0.2549,0.60717,0.64113,0.70973,0.72445,0.56372,0.62392,0.5082,0.4895,0.58006,0.6113,0.12919,0.13274,0.73986,0.79673,0.79048,0.7624,0.80071,1.0,0.45677,0.44025,0.76655,0.79091,0.08827,0.11774,0.55519,0.48464,0.36239,0.43107,0.61786,0.59515,0.44272,0.37264,0.62877,0.56196,0.12919,0.13274,0.73986,0.79673,0.79048,0.7624,0.80071,1.0,0.45677,0.44025,0.76655,0.79091
turnclap,0.17989,0.19398,0.48154,0.4704,0.01112,0.00106,0.47184,0.46186,0.31593,0.27345,0.49862,0.52811,0.11576,0.11583,0.61257,0.85403,0.0,0.00483,0.65622,0.91257,0.09245,0.07182,0.72835,0.73385,0.21805,0.20958,0.48058,0.51719,0.64396,0.64912,0.43375,0.4635,0.43576,0.44552,0.49939,0.53402,0.0984,0.0866,0.59544,0.66858,0.73191,0.80116,0.72145,1.0,0.29923,0.30399,0.59992,0.55717,0.0291,0.04654,0.44101,0.38289,0.26475,0.33814,0.52513,0.5176,0.38225,0.28823,0.54275,0.57655,0.0984,0.0866,0.59544,0.66858,0.73191,0.80116,0.72145,1.0,0.29923,0.30399,0.59992,0.55717
turnclap,0.14842,0.14411,0.44457,0.4464,0.0056,0.01768,0.45343,0.43762,0.2592,0.20027,0.47718,0.49156,0.09435,0.10487,0.55425,0.68712,0.02743,0.17203,0.64468,0.84508,0.10879,0.08927,0.70399,0.78588,0.19311,0.18598,0.44526,0.52645,0.59645,0.59812,0.4052,0.42621,0.39007,0.39846,0.46008,0.50978,0.08232,0.07301,0.5877,0.66347,0.63012,0.62653,0.69378,1.0,0.25869,0.26053,0.58716,0.51931,0.0,0.01702,0.38449,0.34008,0.24482,0.32933,0.48652,0.41874,0.34816,0.25363,0.49475,0.54427,0.08232,0.07301,0.5877,0.66347,0.63012,0.62653,0.69378,1.0,0.25869,0.26053,0.58716,0.51931
turnclap,0.14364,0.15377,0.5761,0.53676,0.0402,0.04481,0.57836,0.54955,0.29017,0.2187,0.60782,0.52033,0.07087,0.09757,0.71422,0.80937,0.12444,0.21647,0.69191,0.7209,0.13596,0.1278,0.86329,1.0,0.20655,0.16128,0.54733,0.62665,0.72692,0.71705,0.50399,0.49831,0.43061,0.42871,0.52025,0.54813,0.07411,0.02067,0.72937,0.82438,0.7267,0.76696,0.79113,0.95303,0.31599,0.26314,0.78551,0.65881,0.0,0.01925,0.47563,0.41116,0.34132,0.40457,0.5712,0.48248,0.39461,0.31752,0.59263,0.47143,0.07411,0.02067,0.72937,0.82438,0.7267,0.76696,0.79113,0.95303,0.31599,0.26314,0.78551,0.65881
turnclap,0.11577,0.1403,0.55361,0.48812,0.03564,0.03442,0.54831,0.51796,0.29707,0.23268,0.58297,0.51948,0.10339,0.07475,0.73101,0.82766,0.12905,0.18326,0.68656,0.79539,0.13255,0.12013,0.87998,0.88998,0.18506,0.14373,0.53591,0.62284,0.7223,0.70866,0.51102,0.53491,0.43132,0.42751,0.53581,0.53128,0.06953,0.12155,0.69711,0.79882,0.71844,0.66449,0.79525,1.0,0.33031,0.27241,0.7809,0.74456,0.0,0.01889,0.46957,0.40825,0.34066,0.4029,0.56733,0.47208,0.39621,0.32323,0.58311,0.45403,0.06953,0.12155,0.69711,0.79882,0.71844,0.66449,0.79525,1.0,0.33031,0.27241,0.7809,0.74456
turnclap,0.13009,0.14206,0.49833,0.45105,0.0428,0.03626,0.47206,0.46542,0.29026,0.24617,0.53248,0.50348,0.09838,0.05996,0.6796,0.81695,0.08447,0.16034,0.67476,0.80371,0.17934,0.14056,0.77845,0.70435,0.17675,0.1568,0.50105,0.57215,0.6653,0.6688,0.4715,0.50796,0.41877,0.39041,0.52911,0.51953,0.08248,0.13571,0.63822,0.7342,0.69099,0.5867,0.74868,1.0,0.28423,0.24879,0.66331,0.60816,0.0,0.02077,0.44184,0.39321,0.31203,0.38015,0.54479,0.45198,0.36642,0.30364,0.54223,0.41653,0.08248,0.13571,0.63822,0.7342,0.69099,0.5867,0.74868,1.0,0.28423,0.24879,0.66331,0.60816
turnclap,0.13098,0.14957,0.48859,0.43202,0.04073,0.04342,0.46932,0.45496,0.27121,0.19602,0.55569,0.53001,0.12912,0.16512,0.66677,0.79836,0.08904,0.23691,0.69495,0.91247,0.23283,0.18508,0.7705,0.85585,0.18235,0.19544,0.51086,0.56629,0.68673,0.69355,0.49491,0.49085,0.42914,0.39814,0.51517,0.53932,0.10389,0.15859,0.67494,0.74711,0.6689,0.55074,0.76256,1.0,0.27253,0.23652,0.62105,0.55257,0.0,0.01098,0.42883,0.40822,0.32705,0.3849,0.55682,0.43442,0.3645,0.29238,0.56884,0.47598,0.10389,0.15859,0.67494,0.74711,0.6689,0.55074,0.76256,1.0,0.27253,0.23652,0.62105,0.55257
turnclap,0.14666,0.16292,0.49482,0.49013,0.05876,0.04891,0.47972,0.49168,0.26647,0.22323,0.51491,0.55082,0.05646,0.06752,0.66189,0.84769,0.11096,0.16525,0.65159,0.76528,0.19812,0.11425,0.83677,1.0,0.18685,0.17126,0.51818,0.54646,0.69589,0.69868,0.50846,0.47045,0.43495,0.41034,0.50591,0.55781,0.08307,0.06791,0.69643,0.74453,0.74493,0.88172,0.77601,0.93834,0.26487,0.3066,0.56402,0.54656,0.0,0.02971,0.4972,0.47443,0.3362,0.39987,0.59233,0.48131,0.39657,0.3066,0.6077,0.5865,0.08307,0.06791,0.69643,0.74453,0.74493,0.88172,0.77601,0.93834,0.26487,0.3066,0.56402,0.54656
turnclap,0.15524,0.15339,0.52233,0.52436,0.05068,0.04691,0.49043,0.51256,0.30754,0.28528,0.52434,0.56187,0.08452,0.02573,0.73561,1.0,0.11397,0.17799,0.68359,0.81759,0.10643,0.0947,0.79821,0.68186,0.23616,0.20723,0.53319,0.59958,0.75118,0.75517,0.46257,0.47898,0.48898,0.47344,0.55038,0.52103,0.10986,0.13241,0.71287,0.77927,0.7972,0.97923,0.83864,0.96965,0.35491,0.35849,0.61724,0.62651,0.0,0.03097,0.51199,0.47556,0.3471,0.41153,0.61277,0.51962,0.39105,0.31291,0.61892,0.5054,0.10986,0.13241,0.71287,0.77927,0.7972,0.97923,0.83864,0.96965,0.35491,0.35849,0.61724,0.62651
turnclap,0.12447,0.16296,0.60425,0.52446,0.02634,0.06184,0.53567,0.5211,0.32456,0.28013,0.59502,0.62602,0.13423,0.07312,0.7502,1.0,0.13385,0.26407,0.77479,0.64598,0.13831,0.13627,0.86481,0.83964,0.19803,0.17315,0.57699,0.68515,0.76886,0.79462,0.50359,0.54215,0.49887,0.47043,0.61517,0.61723,0.07517,0.14191,0.78888,0.82597,0.77974,0.74232,0.89631,0.99436,0.3358,0.34675,0.65257,0.66703,0.0,0.01822,0.49468,0.45231,0.3529,0.42139,0.63199,0.49625,0.37587,0.31507,0.59392,0.48519,0.07517,0.14191,0.78888,0.82597,0.77974,0.74232,0.89631,0.99436,0.3358,0.34675,0.65257,0.66703
turnclap,0.09308,0.12094,0.49477,0.45865,0.05669,0.07933,0.45286,0.4754,0.25661,0.2083,0.4972,0.42921,0.11687,0.04445,0.61002,0.85523,0.09353,0.17032,0.66908,0.93456,0.03652,0.07104,0.61127,0.69233,0.15147,0.16307,0.44217,0.51623,0.63455,0.65133,0.41868,0.47954,0.42172,0.3775,0.47371,0.52883,0.01523,0.04756,0.59214,0.64926,0.74232,0.7437,0.67386,1.0,0.32793,0.30499,0.49811,0.52434,0.0,0.02546,0.40592,0.39589,0.27696,0.34539,0.5207,0.47833,0.36392,0.27149,0.51777,0.62224,0.01523,0.04756,0.59214,0.64926,0.74232,0.7437,0.67386,1.0,0.32793,0.30499,0.49811,0.52434
turnclap,0.21021,0.18698,0.56089,0.62314,0.08486,0.08835,0.54445,0.60695,0.22803,0.21743,0.59319,0.51957,0.30983,0.45845,0.73908,1.0,0.16856,0.28069,0.77245,0.89364,0.35089,0.19964,0.79384,0.97748,0.29681,0.28434,0.55248,0.56095,0.79319,0.83135,0.50714,0.5082,0.45028,0.42843,0.5769,0.59087,0.31946,0.3388,0.64797,0.66945,0.50063,0.36325,0.85613,0.73507,0.31769,0.36796,0.75796,0.83049,0.0,0.01351,0.44438,0.4116,0.41758,0.43937,0.49283,0.41868,0.3501,0.28884,0.56913,0.42607,0.31946,0.3388,0.64797,0.66945,0.50063,0.36325,0.85613,0.73507,0.31769,0.36796,0.75796,0.83049
turnclap,0.10547,0.09138,0.50139,0.50192,0.06448,0.07686,0.47141,0.50858,0.22398,0.20548,0.49901,0.54889,0.07926,0.0,0.66298,0.87164,0.10727,0.17559,0.58957,0.6565,0.17875,0.14433,0.7692,0.92194,0.16255,0.08814,0.50009,0.60091,0.58572,0.60552,0.43507,0.45452,0.36895,0.33547,0.48846,0.50961,0.09689,0.17183,0.72598,1.0,0.47943,0.40396,0.70905,0.78444,0.15675,0.19985,0.57975,0.65821,0.01141,0.02528,0.39771,0.34162,0.29407,0.3575,0.49556,0.36818,0.32341,0.2446,0.50243,0.36083,0.09689,0.17183,0.72598,1.0,0.47943,0.40396,0.70905,0.78444,0.15675,0.19985,0.57975,0.65821
turnclap,0.0842,0.10118,0.53175,0.50359,0.09305,0.11944,0.54549,0.54681,0.25741,0.21286,0.54269,0.55487,0.10225,0.01787,0.78823,0.89211,0.2117,0.28821,0.68328,0.70315,0.13246,0.13556,0.83456,0.70635,0.14789,0.11711,0.5096,0.59536,0.66968,0.68169,0.50725,0.50049,0.4364,0.40668,0.51621,0.57186,0.03321,0.0,0.80373,1.0,0.64988,0.64362,0.77754,0.9094,0.26754,0.27539,0.69858,0.69577,0.01346,0.02836,0.45474,0.39668,0.3342,0.39891,0.5687,0.46057,0.38846,0.30841,0.56619,0.44154,0.03321,0.0,0.80373,1.0,0.64988,0.64362,0.77754,0.9094,0.26754,0.27539,0.69858,0.69577
