id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,275,-1906,-1478,-1123,941,-853,566,2000,-168,41,133,838,-1147,109,214,41,133,838
2,396,-1250,-1097,-1003,1394,-1002,599,1994,149,19,268,1257,-1019,689,394,19,268,1257
3,469,-1078,-657,-1057,1665,-1052,551,1638,274,159,282,1563,-889,313,-10,159,282,1563
4,548,-886,-291,-1730,1765,-1058,424,1245,296,537,301,1806,-657,92,-47,537,301,1806
5,542,-471,26,-2173,1800,-964,336,674,406,701,350,1953,-342,92,23,701,350,1953
6,561,-190,237,-2031,1757,-874,334,385,485,566,371,2003,-285,70,19,566,371,2003
7,596,-32,316,-1870,1677,-762,309,177,549,503,355,2025,-229,105,39,503,355,2025
8,686,153,527,-1747,1532,-616,302,-33,578,629,298,1969,-182,124,46,629,298,1969
9,760,340,708,-1449,1262,-441,263,-303,577,848,239,1819,-162,99,39,848,239,1819
10,853,453,857,-1053,887,-171,244,-687,601,761,279,1542,-225,42,-4,761,279,1542
11,876,538,916,-742,527,54,283,-1079,764,368,292,1154,-131,97,26,368,292,1154
12,987,679,1119,-216,33,269,370,-1326,887,-293,175,543,-141,54,70,-293,175,543
13,949,621,941,567,-479,464,385,-1045,855,-646,61,-77,-239,99,131,-646,61,-77
14,906,401,949,1145,-870,603,375,-737,846,-275,-57,-590,-387,154,204,-275,-57,-590
15,876,83,874,1351,-1296,728,422,-727,847,-12,-320,-1186,-529,114,242,-12,-320,-1186
16,734,-73,601,1588,-1730,876,351,-629,697,-360,-467,-1737,-676,83,190,-360,-467,-1737
17,491,-296,340,2118,-2029,1031,240,-150,574,-1169,-513,-2180,-715,174,95,-1169,-513,-2180
18,186,-1266,-295,2217,-2107,1114,227,1341,1,-1097,-556,-2336,-791,236,58,-1097,-556,-2336
19,-136,-2000,-1381,503,-1759,1050,203,2000,-377,-471,-424,-2027,-1443,809,-2000,-471,-424,-2027
20,-551,-2000,-1817,-110,-1119,504,71,2000,-710,-224,-140,-1278,-1430,650,-2000,-224,-140,-1278
21,-633,-2000,-2000,237,-209,-169,109,2000,-729,-596,208,-313,-2000,94,-1011,-596,208,-313
22,-198,-2000,-1913,-319,603,-546,309,2000,-503,-271,507,488,-2000,715,-1125,-271,507,488
23,247,-1729,-1290,-722,1174,-677,590,2000,-6,248,678,907,-1334,-52,-159,248,678,907
24,460,-1246,-742,-1130,1517,-626,794,1521,359,329,671,958,-1227,192,271,329,671,958
25,651,-893,-172,-1347,1637,-491,850,1221,599,662,612,932,-1138,774,174,662,612,932
26,832,-719,114,-1861,1564,-319,847,883,748,1094,488,901,-907,199,-46,1094,488,901
27,974,-344,266,-2116,1400,-204,815,575,834,1486,390,900,-561,169,55,1486,390,900
