Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
wipers,0.46259,0.52161,0.42757,0.48705,0.07642,0.19563,0.57221,0.78019,0.23323,0.3789,0.59208,0.76205,0.18382,0.09625,0.72512,0.96329,0.32196,0.41054,0.67294,1.0,0.24356,0.22761,0.43954,0.44011,0.42624,0.44149,0.33734,0.38449,0.44297,0.37633,0.62623,0.98031,0.39959,0.46796,0.43549,0.50072,0.26625,0.28004,0.51737,0.62812,0.28096,0.30463,0.40019,0.46453,0.33053,0.44922,0.63705,0.80555,0.0,0.06548,0.46626,0.57052,0.32921,0.30222,0.33284,0.31151,0.21663,0.2754,0.47141,0.32827,0.26625,0.28004,0.51737,0.62812,0.28096,0.30463,0.40019,0.46453,0.33053,0.44922,0.63705,0.80555
wipers,0.50249,0.60382,0.4422,0.49075,0.09076,0.22098,0.57204,0.73726,0.25603,0.42673,0.60166,0.72572,0.21003,0.16093,0.73621,1.0,0.303,0.34775,0.65964,0.9267,0.2695,0.26245,0.37446,0.37642,0.44708,0.47993,0.34528,0.34225,0.43163,0.33891,0.61505,0.88342,0.40394,0.50157,0.46905,0.54133,0.25943,0.26534,0.48882,0.57181,0.2856,0.30735,0.46115,0.56027,0.30162,0.43954,0.59832,0.84023,0.0,0.0814,0.47974,0.5444,0.32468,0.30789,0.32409,0.32124,0.25411,0.28373,0.46898,0.34522,0.25943,0.26534,0.48882,0.57181,0.2856,0.30735,0.46115,0.56027,0.30162,0.43954,0.59832,0.84023
wipers,0.46933,0.51498,0.43585,0.52063,0.05372,0.13524,0.55758,0.79649,0.20996,0.33684,0.5938,0.78527,0.26357,0.21957,0.69785,0.99218,0.28242,0.30756,0.66219,1.0,0.26925,0.27031,0.37553,0.42025,0.43942,0.46391,0.33617,0.32877,0.49618,0.44678,0.59485,0.96141,0.3643,0.43364,0.47396,0.60646,0.25554,0.24885,0.44564,0.53976,0.2726,0.31255,0.48182,0.63399,0.26125,0.33817,0.57863,0.83475,0.0,0.06455,0.47458,0.59174,0.32739,0.31638,0.33793,0.33193,0.26531,0.28528,0.4531,0.36794,0.25554,0.24885,0.44564,0.53976,0.2726,0.31255,0.48182,0.63399,0.26125,0.33817,0.57863,0.83475
wipers,0.43566,0.48284,0.40081,0.45029,0.048,0.13792,0.51861,0.74402,0.21279,0.3221,0.5704,0.73985,0.23909,0.15018,0.63899,0.87071,0.26747,0.3545,0.65841,1.0,0.25677,0.25525,0.3673,0.40224,0.41578,0.43188,0.29815,0.30008,0.47762,0.46004,0.55061,0.87622,0.34896,0.4075,0.43558,0.55818,0.24513,0.23543,0.41562,0.52508,0.25736,0.3125,0.43953,0.57549,0.25161,0.34915,0.54028,0.78735,0.0,0.06431,0.44251,0.53569,0.31634,0.3103,0.32796,0.293,0.23652,0.26548,0.41473,0.33783,0.24513,0.23543,0.41562,0.52508,0.25736,0.3125,0.43953,0.57549,0.25161,0.34915,0.54028,0.78735
wipers,0.49704,0.56942,0.42803,0.49222,0.07356,0.17462,0.54913,0.69087,0.27342,0.43163,0.59775,0.71729,0.24611,0.20835,0.68346,0.90996,0.27173,0.3713,0.68768,1.0,0.27904,0.2776,0.37578,0.38228,0.4457,0.45769,0.32131,0.3208,0.4603,0.36131,0.59011,0.8739,0.40992,0.48018,0.43709,0.52774,0.23966,0.23298,0.46892,0.59405,0.27125,0.28706,0.43752,0.52426,0.28016,0.36631,0.56284,0.7985,0.0,0.09288,0.46553,0.49999,0.34079,0.32865,0.33535,0.29429,0.24054,0.28189,0.42855,0.33668,0.23966,0.23298,0.46892,0.59405,0.27125,0.28706,0.43752,0.52426,0.28016,0.36631,0.56284,0.7985
wipers,0.50988,0.58225,0.47281,0.55796,0.05157,0.11859,0.60477,0.87599,0.23239,0.40183,0.64688,0.86024,0.33494,0.31803,0.71943,1.0,0.26533,0.28476,0.67198,0.96468,0.30743,0.30505,0.39326,0.41162,0.47449,0.48688,0.36935,0.37372,0.54438,0.50396,0.64041,0.99262,0.42598,0.47318,0.46979,0.59479,0.26126,0.26341,0.51131,0.62966,0.2883,0.28939,0.45515,0.56516,0.2772,0.32586,0.57266,0.81069,0.0,0.07375,0.52269,0.58162,0.38091,0.36429,0.36662,0.34045,0.26345,0.32373,0.49575,0.39908,0.26126,0.26341,0.51131,0.62966,0.2883,0.28939,0.45515,0.56516,0.2772,0.32586,0.57266,0.81069
wipers,0.49268,0.5651,0.45006,0.54083,0.03418,0.07963,0.5813,0.82232,0.20981,0.34444,0.62097,0.83962,0.24117,0.18732,0.71285,1.0,0.31438,0.3635,0.65401,0.93689,0.27989,0.28194,0.35697,0.40922,0.46115,0.48372,0.34763,0.3477,0.53839,0.50985,0.61714,0.99726,0.39944,0.44541,0.45482,0.58461,0.28756,0.27912,0.48756,0.59247,0.29356,0.31319,0.4369,0.55672,0.29765,0.39016,0.52988,0.72866,0.0,0.06374,0.49958,0.58532,0.36249,0.34832,0.35514,0.33879,0.2688,0.3146,0.47412,0.3688,0.28756,0.27912,0.48756,0.59247,0.29356,0.31319,0.4369,0.55672,0.29765,0.39016,0.52988,0.72866
wipers,0.51714,0.60961,0.4637,0.54385,0.03364,0.09059,0.56582,0.72447,0.22421,0.38923,0.61958,0.78995,0.19194,0.07941,0.72941,1.0,0.34548,0.45163,0.69104,0.99562,0.28601,0.28248,0.36258,0.41959,0.46889,0.49392,0.34677,0.34572,0.53883,0.48647,0.61508,0.96162,0.40244,0.45629,0.46851,0.57003,0.29476,0.29813,0.50178,0.66578,0.31075,0.35588,0.45042,0.54022,0.32148,0.44623,0.53276,0.69419,0.0,0.07811,0.49709,0.53836,0.3519,0.34731,0.35682,0.32914,0.27198,0.30949,0.47813,0.34936,0.29476,0.29813,0.50178,0.66578,0.31075,0.35588,0.45042,0.54022,0.32148,0.44623,0.53276,0.69419
wipers,0.49149,0.55784,0.45079,0.55418,0.0385,0.10818,0.54398,0.72365,0.21398,0.35685,0.60711,0.80677,0.29454,0.23763,0.69109,0.96721,0.26526,0.31104,0.66326,1.0,0.29442,0.28276,0.36965,0.41519,0.44466,0.46331,0.34637,0.36077,0.53135,0.51304,0.5871,0.90743,0.39363,0.43571,0.47859,0.61703,0.23538,0.20952,0.49545,0.66259,0.27818,0.28208,0.482,0.64888,0.26795,0.34408,0.52131,0.74264,0.0,0.07786,0.49136,0.57478,0.3449,0.34221,0.35619,0.33582,0.24899,0.30439,0.47124,0.33616,0.23538,0.20952,0.49545,0.66259,0.27818,0.28208,0.482,0.64888,0.26795,0.34408,0.52131,0.74264
wipers,0.51103,0.57846,0.46174,0.54319,0.04761,0.10948,0.56594,0.75733,0.22211,0.36325,0.6162,0.80611,0.28214,0.19247,0.69863,1.0,0.29262,0.36378,0.65216,0.96668,0.29462,0.29359,0.38048,0.41417,0.46047,0.4809,0.35679,0.37329,0.55159,0.52995,0.61353,0.96037,0.4157,0.47041,0.49162,0.62893,0.26612,0.2552,0.51554,0.69966,0.29726,0.32469,0.49843,0.65506,0.29162,0.39684,0.54367,0.71646,0.0,0.06896,0.51241,0.60041,0.36487,0.34708,0.37767,0.36734,0.25309,0.30958,0.4638,0.34983,0.26612,0.2552,0.51554,0.69966,0.29726,0.32469,0.49843,0.65506,0.29162,0.39684,0.54367,0.71646
