Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
byebye,0.01113,0.00083,0.55431,0.50606,0.34677,0.29294,0.52509,0.48347,0.26498,0.32002,0.49063,0.51413,0.3588,0.40161,0.65045,0.68395,0.32757,0.35732,0.75182,0.63966,0.37745,0.36037,0.68042,0.72734,0.01848,0.01105,0.55354,0.5092,0.4241,0.4208,0.46666,0.47961,0.28559,0.35534,0.5688,0.6714,0.28098,0.27501,0.6529,0.66494,0.38096,0.3453,0.86549,1.0,0.32537,0.34476,0.60329,0.7277,0.0,0.02432,0.47611,0.43182,0.34688,0.3046,0.51365,0.45541,0.28438,0.32898,0.48296,0.4407,0.28098,0.27501,0.6529,0.66494,0.38096,0.3453,0.86549,1.0,0.32537,0.34476,0.60329,0.7277
byebye,0.0008,0.00959,0.65551,0.66698,0.47746,0.40768,0.62531,0.68615,0.29145,0.33455,0.57058,0.67189,0.46926,0.45466,0.75034,0.76921,0.47059,0.45722,0.8986,0.87517,0.53656,0.47924,0.83754,1.0,0.02796,0.02394,0.61696,0.53281,0.49924,0.50008,0.55249,0.53861,0.35167,0.43559,0.66875,0.76921,0.36707,0.38291,0.72212,0.75466,0.39194,0.38979,0.9566,0.87458,0.38902,0.40021,0.60062,0.64742,0.0,0.03475,0.55827,0.59139,0.42969,0.36482,0.6045,0.58736,0.30109,0.37151,0.56528,0.60456,0.36707,0.38291,0.72212,0.75466,0.39194,0.38979,0.9566,0.87458,0.38902,0.40021,0.60062,0.64742
byebye,0.0,0.00666,0.60157,0.54766,0.42032,0.35524,0.57037,0.53987,0.31206,0.35505,0.534,0.55673,0.38564,0.3785,0.70918,0.64181,0.38035,0.40268,0.75729,0.60325,0.37506,0.42759,0.80414,0.79192,0.00079,0.00556,0.58851,0.54006,0.41839,0.45507,0.52631,0.50049,0.29358,0.38693,0.6187,0.77003,0.31289,0.34406,0.74235,0.74649,0.46595,0.43052,0.93715,1.0,0.28919,0.36421,0.59755,0.7072,0.01376,0.04843,0.51923,0.48785,0.36798,0.32996,0.512,0.47256,0.31323,0.35304,0.54211,0.50086,0.31289,0.34406,0.74235,0.74649,0.46595,0.43052,0.93715,1.0,0.28919,0.36421,0.59755,0.7072
byebye,0.05115,0.01658,0.74109,0.78438,0.4621,0.38844,0.66603,0.64416,0.35827,0.40583,0.62437,0.62814,0.46214,0.47435,0.85969,0.91293,0.42969,0.45377,0.891,0.8809,0.41762,0.41899,0.95208,0.9982,0.0,0.02994,0.67104,0.5959,0.48612,0.5295,0.6048,0.59495,0.3745,0.44762,0.69154,0.74121,0.35951,0.36574,0.84693,0.73824,0.411,0.46884,1.0,0.88376,0.43018,0.4472,0.75283,0.83094,0.03269,0.04585,0.61053,0.59463,0.40597,0.35704,0.58983,0.55952,0.37286,0.42132,0.62843,0.63154,0.35951,0.36574,0.84693,0.73824,0.411,0.46884,1.0,0.88376,0.43018,0.4472,0.75283,0.83094
byebye,0.0,0.00884,0.49008,0.41607,0.33432,0.28973,0.47187,0.49512,0.25352,0.30959,0.44244,0.48259,0.32814,0.30802,0.58605,0.60018,0.287,0.31416,0.61939,0.4271,0.30654,0.27491,0.65371,0.66654,0.03445,0.02161,0.51963,0.57464,0.35825,0.39534,0.44311,0.4234,0.29227,0.34143,0.49556,0.57488,0.25729,0.2363,0.5574,0.53705,0.24643,0.32804,0.78,1.0,0.34888,0.37091,0.5672,0.66079,0.00456,0.02681,0.43245,0.37982,0.29784,0.25915,0.44917,0.40519,0.26318,0.29856,0.44155,0.38391,0.25729,0.2363,0.5574,0.53705,0.24643,0.32804,0.78,1.0,0.34888,0.37091,0.5672,0.66079
byebye,0.02502,0.02467,0.53971,0.52765,0.38083,0.33202,0.48494,0.51323,0.27031,0.31768,0.46833,0.53849,0.35322,0.3224,0.61008,0.71009,0.28236,0.34587,0.75328,1.0,0.28882,0.29845,0.7182,0.87191,0.02964,0.03054,0.51636,0.43851,0.40065,0.43338,0.45982,0.45049,0.3287,0.39166,0.51395,0.50003,0.29563,0.30822,0.58851,0.58021,0.3442,0.36445,0.76374,0.59879,0.31016,0.32175,0.54906,0.48528,0.0,0.0483,0.50225,0.54313,0.34448,0.2828,0.52736,0.48911,0.2869,0.33919,0.50711,0.47909,0.29563,0.30822,0.58851,0.58021,0.3442,0.36445,0.76374,0.59879,0.31016,0.32175,0.54906,0.48528
byebye,0.01683,0.01643,0.60217,0.58736,0.41314,0.34278,0.57765,0.52318,0.2952,0.36636,0.55391,0.57742,0.41111,0.40301,0.65093,0.77135,0.41191,0.417,0.79862,0.67328,0.42944,0.39767,0.79528,0.89723,0.0,0.02214,0.60063,0.62668,0.44733,0.45807,0.49614,0.50983,0.32651,0.40172,0.60935,0.69335,0.33795,0.33431,0.65485,0.66241,0.31704,0.36949,0.92451,1.0,0.35937,0.37059,0.51668,0.51922,0.00715,0.04866,0.53832,0.53745,0.36949,0.30521,0.57489,0.51876,0.31482,0.34904,0.53197,0.49804,0.33795,0.33431,0.65485,0.66241,0.31704,0.36949,0.92451,1.0,0.35937,0.37059,0.51668,0.51922
byebye,0.01346,0.02276,0.61926,0.59817,0.40943,0.34167,0.59372,0.58414,0.31139,0.38622,0.5875,0.58863,0.41978,0.40269,0.69685,0.76895,0.34952,0.41242,0.79695,0.554,0.41776,0.42365,0.84553,0.93749,0.0,0.02163,0.61708,0.63626,0.43389,0.4607,0.54526,0.50796,0.31677,0.39876,0.63607,0.7129,0.33007,0.29769,0.72148,0.69053,0.51653,0.45172,0.96165,1.0,0.33039,0.39464,0.58758,0.62961,0.01952,0.06561,0.54332,0.52097,0.37706,0.33568,0.5741,0.51498,0.34365,0.36488,0.56338,0.49084,0.33007,0.29769,0.72148,0.69053,0.51653,0.45172,0.96165,1.0,0.33039,0.39464,0.58758,0.62961
byebye,0.0,0.02019,0.5665,0.58085,0.41296,0.35551,0.53137,0.55997,0.27537,0.32498,0.50162,0.54207,0.41614,0.34825,0.62569,0.67565,0.38763,0.37713,0.72989,0.65478,0.46546,0.44066,0.8012,1.0,0.02899,0.03355,0.54898,0.51566,0.41236,0.43868,0.51227,0.46244,0.3228,0.40551,0.57192,0.55824,0.37069,0.34379,0.65294,0.666,0.29635,0.33455,0.81577,0.68035,0.38217,0.38092,0.56204,0.56888,0.00505,0.05204,0.49838,0.52119,0.37328,0.32482,0.51594,0.52482,0.29806,0.33604,0.51212,0.50914,0.37069,0.34379,0.65294,0.666,0.29635,0.33455,0.81577,0.68035,0.38217,0.38092,0.56204,0.56888
byebye,0.01771,0.01454,0.69325,0.71908,0.45666,0.3906,0.61591,0.61227,0.30834,0.36117,0.5961,0.6416,0.45564,0.37216,0.71541,0.66033,0.36794,0.41531,0.93481,1.0,0.42317,0.36254,0.91053,0.995,0.04037,0.02591,0.61202,0.55803,0.48874,0.49417,0.54914,0.50545,0.38049,0.45259,0.6293,0.6209,0.39774,0.38785,0.73606,0.74262,0.26205,0.37686,0.84794,0.75665,0.46975,0.46338,0.59309,0.64003,0.0,0.0422,0.5978,0.61413,0.40401,0.35097,0.5953,0.53272,0.34126,0.38353,0.58833,0.61168,0.39774,0.38785,0.73606,0.74262,0.26205,0.37686,0.84794,0.75665,0.46975,0.46338,0.59309,0.64003
byebye,0.02439,0.01675,0.63634,0.52997,0.37558,0.31523,0.55525,0.52771,0.30141,0.35683,0.55388,0.57806,0.38171,0.33274,0.6647,0.63593,0.30918,0.38336,0.85894,0.77407,0.34737,0.34422,0.78418,0.85415,0.01024,0.0,0.57845,0.54644,0.43835,0.45526,0.5219,0.4465,0.30368,0.38939,0.57848,0.72259,0.32615,0.30789,0.70705,0.63075,0.43892,0.4178,0.93251,1.0,0.3704,0.3843,0.56964,0.59029,0.00843,0.0463,0.54624,0.5184,0.34575,0.30263,0.53693,0.47727,0.33081,0.37584,0.55421,0.47925,0.32615,0.30789,0.70705,0.63075,0.43892,0.4178,0.93251,1.0,0.3704,0.3843,0.56964,0.59029
byebye,0.0145,0.0226,0.56788,0.46336,0.3472,0.28601,0.5226,0.48092,0.29268,0.34095,0.49154,0.50248,0.3551,0.33157,0.63611,0.65487,0.33966,0.36425,0.74537,0.53951,0.39159,0.45049,0.77045,0.83578,0.00179,0.0,0.54921,0.5529,0.39321,0.42093,0.50492,0.4651,0.26042,0.31783,0.56647,0.6926,0.32145,0.28914,0.66844,0.75937,0.47827,0.44893,0.90664,1.0,0.30092,0.28236,0.56787,0.61262,0.02249,0.04938,0.49236,0.44136,0.32661,0.31053,0.48778,0.43119,0.31221,0.34913,0.4992,0.41189,0.32145,0.28914,0.66844,0.75937,0.47827,0.44893,0.90664,1.0,0.30092,0.28236,0.56787,0.61262
