id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,522,342,-1394,1900,1139,-1545,539,310,-354,2135,1445,2075,-1171,2,91,16,-1123,637
2,309,390,-1370,2388,1048,-1682,661,224,-181,2010,1313,1977,-888,128,-52,-107,-1255,538
3,108,295,-1506,-2248,1036,-1702,852,126,98,1940,1208,1777,-918,-16,-83,-178,-1360,338
4,101,260,-1428,-1917,1141,-1639,1046,-185,452,2051,1058,1404,-951,-216,95,-67,-1510,-34
5,275,101,-1021,-935,1294,-1728,997,-907,1052,1835,576,872,-863,-334,155,-283,-1992,-566
6,372,-177,-1017,-1108,1364,-1547,427,-929,1140,1199,-71,700,-967,-244,44,-919,2359,-738
7,-323,93,-1853,-1543,1826,-1273,608,267,177,1578,66,1177,-996,-191,-122,-540,2497,-261
8,-380,565,-2000,-1384,-2488,-928,823,266,-141,2117,153,1208,-965,-90,-186,-1,-2415,-230
9,-34,449,-2000,-958,-1806,-713,828,295,-236,2413,318,1357,-874,-103,-214,294,-2250,-81
10,340,72,-1631,-869,-1477,-570,956,155,-187,-2340,485,1565,-870,-106,-219,540,-2084,126
11,566,-204,-1264,-1221,-1428,-428,1168,147,-104,-2380,523,1763,-813,-80,-177,500,-2045,324
12,710,-487,-1172,-1803,-1318,-416,1157,490,-70,-2240,483,2098,-767,-30,-171,640,-2085,660
13,769,-381,-1087,-2304,-1282,-392,1206,457,-55,-1928,359,2375,-831,126,-130,953,-2209,937
14,777,-406,-917,-2448,-1146,-519,1220,406,-169,-1535,343,-2498,-1048,-152,-184,1346,-2226,1062
15,957,-403,-610,-2428,-1090,-660,1226,424,-364,-951,352,-2430,-1225,-157,-68,1929,-2216,1130
16,881,-647,-390,2232,-1315,-852,1100,519,-838,-269,381,-2340,-1402,98,31,-2387,-2187,1220
17,1001,-582,-15,1867,-1561,-1047,898,330,-1191,0,581,-2315,-1444,-197,-129,-2118,-1987,1245
18,805,-571,110,1382,-1783,-1345,688,12,-1696,0,975,-2262,-1036,-90,175,-2118,-1593,1298
19,664,-376,22,1267,-1955,-1539,714,-171,-2000,-604,1284,-2321,-541,-548,96,2277,-1284,1239
20,443,-134,-223,1319,-1893,-1542,268,-414,-1808,-1034,1941,2494,-615,-178,385,1847,-627,1055
21,367,61,-437,1506,-1756,-1521,296,-514,-1565,-1597,2239,2271,-479,35,311,1284,-329,833
22,476,219,-416,1673,-1631,-1433,296,-309,-1445,-2119,2320,2117,-321,-70,72,762,-248,678
23,524,192,-263,1664,-1603,-1336,275,-51,-1457,-2476,2297,2062,-205,24,-124,405,-271,623
24,610,134,-70,1501,-1678,-1153,215,-152,-1633,2052,2256,2062,-91,46,-333,-65,-312,624
25,801,308,156,1550,-1789,-921,166,-226,-1631,1361,2226,2055,-20,-52,-123,-757,-343,617
26,1145,354,387,1985,-2228,-828,105,-34,-1443,1049,2227,2040,952,1293,2000,-1068,-341,602
27,1403,237,431,-2430,2131,-906,212,221,-1136,1211,2187,2075,-2000,985,877,-906,-382,636
28,1338,-88,212,-2045,1488,-1095,315,278,-979,1549,2116,2149,-570,66,-770,-569,-452,710
29,1039,-396,-77,-1990,1043,-1326,463,38,-921,1568,2078,2161,-684,-735,-356,-550,-490,722
30,572,-561,-477,-2363,772,-1471,600,-108,-842,1366,2069,2059,-1429,-652,-186,-752,-499,620
31,208,-389,-725,2182,754,-1491,658,-72,-568,1063,2074,1998,-1403,-234,-137,-1054,-494,560
32,73,-313,-977,1988,627,-1697,784,80,-16,1142,2013,1922,-1023,-50,-328,-975,-555,483
33,-42,-252,-1358,1563,544,-1783,965,189,393,1598,1719,1816,-1117,100,-285,-520,-849,377
34,-72,136,-1589,1431,620,-1800,1174,-223,624,1923,1485,1527,-973,-53,-112,-195,-1084,88
35,-83,593,-1475,2195,686,-1990,1322,-806,1092,1422,1171,1358,-1207,-28,16,-695,-1397,-80
36,-47,608,-1738,-1893,1057,-1932,1028,-894,1468,218,336,1022,-1023,-223,-6,-1900,-2233,-415
37,-5,198,-1937,-1564,1463,-1848,231,-215,1027,920,-428,1245,-938,-233,32,-1197,2002,-193
38,-757,425,-2000,2428,2292,-1259,391,280,-67,2255,386,1623,-936,-236,77,136,-2182,184
39,-841,1322,-2000,-1656,-2043,-767,857,-165,-208,2398,482,1264,-912,-157,-14,279,-2087,-174
40,-522,556,-1739,-384,-943,-585,919,119,178,2435,629,1254,-1054,-32,9,316,-1939,-183
41,683,-16,-1017,-578,-664,-363,1142,69,781,-2216,249,1223,-932,-94,-9,665,-2320,-215
42,1168,-267,-734,-883,-1273,-100,1068,362,394,-2029,-307,1484,-907,-132,-90,851,2123,45
43,999,-908,-492,-1870,-1351,-20,961,674,-91,-1596,-543,1762,-874,-177,-131,1284,1887,324
44,1475,-699,-14,1776,-1610,-257,963,1095,-883,0,-561,2372,-890,-284,-199,-2118,1869,934
45,1047,-644,125,1778,-2248,-818,331,200,-1867,0,143,-2319,-1019,-382,-310,-2118,-2426,1242
46,431,-511,-205,1554,-2129,-1250,74,-1356,-2000,0,1406,-2289,-1203,-448,-279,-2118,-1162,1272
47,277,-394,-493,1193,-1425,-1215,141,-1107,-2000,-2403,2239,-2474,-1308,-305,-178,477,-329,1087
48,464,-35,-177,470,-873,-957,138,-73,-2000,1686,-2139,2281,-786,167,179,-431,291,842
49,876,404,133,491,-825,-833,193,411,-1722,2159,-1861,2195,-224,622,643,40,569,756
50,1209,581,340,1057,-1180,-788,276,317,-1391,2332,-2011,2236,75,490,729,213,419,797
51,1312,423,246,2100,-1804,-856,280,172,-1257,2305,-2212,2256,-31,86,666,187,218,817
52,1420,-88,164,-2257,-2452,-1100,301,80,-1011,2327,-2374,2269,-425,-13,467,208,56,830
53,1184,-148,-438,-2166,2022,-1378,427,182,-630,2255,2305,2313,-916,-185,-4,136,-264,874
54,694,-414,-693,2369,2007,-1484,447,91,-375,2181,2028,2321,-1059,-268,-151,62,-540,882
55,664,-163,-635,2210,1851,-1720,568,278,214,2311,1630,2300,-1258,-108,-284,192,-938,861
56,554,-185,-1083,1838,1675,-1815,549,275,329,2425,1238,2462,-1036,-140,-252,306,-1331,1023
57,372,216,-1188,1355,1817,-1607,317,-39,112,2223,955,2323,-1009,30,-31,104,-1613,885
58,240,637,-1426,2378,2043,-1725,377,-95,92,1723,940,2237,-940,-189,111,-395,-1628,798
59,120,328,-1332,-2238,1769,-1604,583,-222,-257,1814,809,1900,-1000,-210,-13,-303,-1759,461
