Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
chicken,0.37697,0.38404,0.37407,0.4181,0.27577,0.27334,0.35465,0.39503,0.10144,0.07738,0.41582,0.5143,0.32051,0.50746,0.64648,1.0,0.21666,0.05677,0.59623,0.86154,0.03372,0.02187,0.37003,0.4345,0.41368,0.42252,0.34852,0.41311,0.27533,0.2889,0.35061,0.34357,0.16156,0.19544,0.44737,0.53243,0.40975,0.60166,0.63421,0.92389,0.44774,0.47014,0.48887,0.51319,0.56815,0.6762,0.56806,0.41511,0.08883,0.07454,0.35965,0.32207,0.25475,0.24443,0.32848,0.31954,0.27222,0.25273,0.34369,0.32512,0.28189,0.27681,0.47134,0.48276,0.0829,0.0,0.55402,0.60934,0.38609,0.40202,0.36078,0.37526
chicken,0.36719,0.37212,0.34923,0.4018,0.2777,0.27233,0.32638,0.36299,0.08896,0.06969,0.38998,0.47999,0.29925,0.48606,0.63564,1.0,0.22703,0.0585,0.6016,0.89762,0.01938,0.01204,0.35037,0.4132,0.38111,0.38448,0.33192,0.39187,0.26375,0.27497,0.31452,0.32233,0.11994,0.12967,0.41118,0.49562,0.41866,0.62608,0.6119,0.90993,0.38391,0.44435,0.5087,0.52265,0.6123,0.66653,0.48909,0.36727,0.08107,0.05913,0.34344,0.34747,0.24094,0.22555,0.30255,0.3199,0.26679,0.23854,0.32662,0.33469,0.29021,0.28015,0.45764,0.4736,0.10541,0.0,0.55577,0.59023,0.37441,0.3887,0.33373,0.35232
chicken,0.37267,0.36051,0.35467,0.4006,0.30216,0.30782,0.36301,0.39551,0.07963,0.05053,0.40283,0.48688,0.22837,0.15764,0.62309,1.0,0.2867,0.45237,0.64193,0.95423,0.01588,0.0,0.37489,0.45372,0.39094,0.3841,0.34992,0.39708,0.25464,0.26757,0.34697,0.37993,0.13371,0.15223,0.42221,0.45275,0.34935,0.4356,0.61829,0.92962,0.39343,0.47044,0.54042,0.56641,0.62296,0.67255,0.48151,0.39989,0.07886,0.0634,0.34325,0.32253,0.24278,0.23078,0.30813,0.32686,0.27055,0.24604,0.33131,0.31988,0.2403,0.25058,0.50445,0.57003,0.10807,0.0277,0.55283,0.58988,0.36799,0.37511,0.3486,0.39621
chicken,0.4088,0.3969,0.38551,0.43841,0.30173,0.30372,0.4172,0.49072,0.09721,0.07052,0.43862,0.54136,0.25283,0.19157,0.65026,0.98364,0.34815,0.52674,0.67148,1.0,0.01843,0.0,0.42199,0.51922,0.43034,0.43066,0.3862,0.45477,0.29924,0.3206,0.40082,0.44332,0.16604,0.21527,0.45428,0.46789,0.34369,0.43124,0.66316,0.96925,0.42706,0.50454,0.58898,0.57801,0.64389,0.72339,0.56818,0.42997,0.08322,0.07006,0.36286,0.33042,0.2638,0.24776,0.33976,0.35002,0.2894,0.27273,0.3483,0.32979,0.2392,0.25967,0.55217,0.65686,0.08605,0.01942,0.56635,0.58599,0.40757,0.42072,0.38783,0.41517
chicken,0.4203,0.44197,0.39856,0.45715,0.27004,0.26188,0.42102,0.48351,0.10191,0.08656,0.45507,0.56609,0.24025,0.15357,0.67153,1.0,0.21941,0.02782,0.67597,0.98971,0.0,0.01364,0.43249,0.54124,0.43222,0.41712,0.38569,0.44272,0.31855,0.34521,0.41302,0.45728,0.12336,0.14353,0.49121,0.59194,0.33887,0.38574,0.68526,0.9739,0.40036,0.47121,0.63077,0.6737,0.52896,0.73325,0.72349,0.66191,0.06741,0.05066,0.37852,0.37056,0.26694,0.25033,0.34501,0.36065,0.2938,0.26778,0.35529,0.33134,0.23853,0.23678,0.60467,0.70169,0.09552,0.0464,0.62448,0.73595,0.42927,0.46531,0.43713,0.45835
chicken,0.4202,0.44322,0.41149,0.48309,0.2942,0.28737,0.43779,0.46331,0.10535,0.10544,0.47543,0.60694,0.28587,0.29785,0.6789,0.97667,0.23535,0.04866,0.69086,1.0,0.00456,0.0,0.42461,0.50973,0.43548,0.41041,0.3975,0.4426,0.32511,0.34078,0.43311,0.44703,0.13539,0.14462,0.52476,0.5909,0.38237,0.46144,0.67944,0.95127,0.37805,0.42039,0.64295,0.68206,0.48027,0.68355,0.7509,0.89175,0.08226,0.06152,0.39021,0.38352,0.27921,0.26603,0.34954,0.36549,0.30554,0.27826,0.3661,0.34515,0.21765,0.21675,0.60409,0.75636,0.15291,0.07425,0.65703,0.78388,0.42014,0.48902,0.49532,0.53469
chicken,0.41236,0.42075,0.40646,0.46643,0.29431,0.29899,0.42763,0.44143,0.10547,0.08405,0.47318,0.58241,0.316,0.29339,0.66829,0.96156,0.28527,0.29339,0.6612,0.94441,0.00901,0.0,0.41495,0.4778,0.42415,0.42562,0.39497,0.45706,0.32657,0.33183,0.41487,0.43054,0.14333,0.1456,0.50395,0.57511,0.41057,0.51648,0.66424,0.90086,0.37885,0.4418,0.6127,0.6599,0.45698,0.63885,0.73772,1.0,0.08947,0.06727,0.38652,0.37879,0.27835,0.26092,0.3479,0.37939,0.30467,0.28342,0.36455,0.36978,0.22467,0.21555,0.57302,0.67887,0.12138,0.00864,0.62819,0.80532,0.41106,0.48048,0.48697,0.55419
chicken,0.34083,0.3438,0.33729,0.37175,0.24976,0.25094,0.35556,0.3813,0.11999,0.11721,0.38177,0.44942,0.26324,0.25077,0.52165,0.71418,0.2642,0.2872,0.5141,0.71387,0.03418,0.03714,0.34096,0.38273,0.34809,0.34185,0.32804,0.37717,0.28027,0.29209,0.32395,0.35042,0.128,0.12832,0.37647,0.43115,0.32834,0.47905,0.55687,0.84987,0.35126,0.38868,0.47548,0.42351,0.33101,0.48038,0.58957,1.0,0.10452,0.08424,0.32268,0.31164,0.23997,0.23059,0.29195,0.31528,0.26149,0.23602,0.30913,0.31408,0.26655,0.26347,0.43194,0.47803,0.07064,0.0,0.45444,0.52735,0.35299,0.39179,0.38157,0.43333
chicken,0.40115,0.40406,0.40996,0.46737,0.27715,0.26865,0.41634,0.45518,0.10406,0.09757,0.44259,0.52009,0.28626,0.26158,0.65426,0.93805,0.32124,0.46219,0.63223,0.91765,0.02049,0.01117,0.41662,0.48732,0.42821,0.40987,0.39181,0.4431,0.33668,0.34399,0.38746,0.42543,0.16401,0.19137,0.45741,0.55331,0.44157,0.64661,0.67777,1.0,0.42643,0.50083,0.58099,0.54539,0.52126,0.67886,0.6673,0.58614,0.09584,0.07523,0.37441,0.34103,0.26847,0.26603,0.34049,0.35277,0.29743,0.27469,0.36268,0.33658,0.29109,0.26922,0.5049,0.53097,0.07836,0.0,0.57604,0.63054,0.407,0.4272,0.43992,0.49741
chicken,0.41903,0.41247,0.40989,0.47944,0.27983,0.2709,0.40914,0.46326,0.11399,0.10292,0.43059,0.51624,0.27211,0.15989,0.67495,0.98393,0.25364,0.05955,0.66482,1.0,0.05029,0.03584,0.42991,0.51573,0.441,0.43079,0.39137,0.44129,0.32767,0.33652,0.40681,0.41163,0.18564,0.20213,0.48014,0.49303,0.42815,0.60854,0.67363,0.92978,0.41392,0.45483,0.58122,0.54393,0.63045,0.73449,0.60125,0.49466,0.10909,0.09067,0.37158,0.34713,0.28243,0.2864,0.34519,0.35983,0.31191,0.29225,0.36898,0.34466,0.25644,0.25607,0.5255,0.56466,0.0942,0.0,0.60303,0.69258,0.4125,0.42921,0.41378,0.45888
