id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-408,905,-2000,2062,1592,-2500,-1351,281,256,-2261,639,-236,-989,-194,28,-2261,639,-236
2,-502,1117,-1713,693,2417,-2105,-1356,365,240,-2322,467,-243,-1323,-83,-14,-2322,467,-243
3,2,1484,-830,588,2500,-1330,-1231,482,113,-2015,221,-191,-1537,190,-156,-2015,221,-191
4,334,973,-79,720,2500,-830,-1024,524,-37,-1257,7,-135,-1167,-60,-193,-1257,7,-135
5,416,459,157,241,2500,-564,-814,479,-44,-739,-124,-113,-790,-33,-160,-739,-124,-113
6,534,333,309,-470,2500,-305,-650,402,-34,-317,-235,-98,-685,-177,-93,-317,-235,-98
7,803,588,375,-1083,2500,32,-487,370,-52,2,-308,-84,-397,-281,79,2,-308,-84
8,705,858,412,-1146,2500,294,-390,366,-71,238,-345,-55,-344,-462,219,238,-345,-55
9,478,890,396,-1151,2500,643,-319,316,-65,382,-337,-13,-359,-262,331,382,-337,-13
10,680,570,663,-975,2500,876,-261,241,-14,413,-333,40,-349,-378,412,413,-333,40
11,1178,519,420,-1035,2439,1145,-251,165,-20,332,-325,96,-329,-155,215,332,-325,96
12,1047,626,656,-960,1653,1571,-276,113,-51,161,-254,129,-443,57,74,161,-254,129
13,975,649,851,-397,903,1803,-399,42,-94,-32,-124,98,-656,237,45,-32,-124,98
14,1006,329,975,236,46,1872,-546,-58,-76,-440,-4,54,-894,345,74,-440,-4,54
15,1021,-32,1095,781,-655,1773,-728,-59,-38,-991,119,-21,-1138,359,116,-991,119,-21
16,917,-264,993,1293,-1078,1600,-970,125,-2,-1482,274,-143,-1259,-149,27,-1482,274,-143
17,933,-477,909,1748,-1486,1370,-1201,302,59,-1796,423,-298,-1063,-566,-149,-1796,423,-298
18,937,-548,840,2331,-1885,1025,-1539,490,137,-1893,552,-446,-1140,-450,-412,-1893,552,-446
19,1115,-749,553,2266,-2500,635,-1781,642,256,-1893,704,-510,-860,-828,-724,-1893,704,-510
20,833,-1053,90,1440,-2500,79,-1675,655,360,-1741,785,-496,-632,-864,-569,-1741,785,-496
21,511,-1306,-827,364,-2500,-573,-1414,599,385,-1591,707,-371,-679,-714,-509,-1591,707,-371
22,-386,-977,-1751,71,-2500,-1205,-1244,542,283,-1451,517,-166,-1062,-578,-558,-1451,517,-166
23,-554,-482,-1452,-530,-2500,-1714,-1182,481,123,-1276,359,12,-1106,-566,-168,-1276,359,12
24,-274,-183,-1869,-1393,-2449,-2500,-1102,405,56,-1174,248,132,-1429,156,1307,-1174,248,132
25,-1004,-598,-2000,-1540,-1285,-2500,-1020,382,90,-1170,175,208,-1583,2000,2000,-1170,175,208
26,-1082,1182,-2000,75,398,-2500,-916,419,116,-1118,111,236,-1697,1686,1746,-1118,111,236
27,-442,1941,-1973,2364,945,-2500,-908,433,92,-943,30,245,-758,1121,414,-943,30,245
28,-325,524,-2000,1981,1523,-2500,-907,424,97,-704,13,246,-886,83,-242,-704,13,246
29,-297,1607,-2000,1156,1946,-2278,-960,362,117,-483,46,214,-920,-169,-468,-483,46,214
30,86,2000,-1524,1802,2398,-1983,-1034,295,171,-365,130,133,-685,-271,-502,-365,130,133
31,218,1188,-1014,1857,2500,-1670,-1095,207,214,-456,319,0,-774,39,-422,-456,319,0
32,395,844,-685,666,2500,-1096,-1033,152,277,-728,458,-87,-837,123,-379,-728,458,-87
33,405,827,-336,-842,2500,-481,-1086,135,315,-1208,518,-110,-959,-81,-214,-1208,518,-110
34,540,1190,122,-1358,2405,108,-1190,190,313,-1652,554,-89,-1013,-355,-66,-1652,554,-89
35,558,1058,294,-1504,2350,598,-1189,248,290,-1913,570,-91,-1024,-926,96,-1913,570,-91
36,765,1092,667,-1521,2193,1048,-1022,319,283,-1941,557,-100,-913,-994,276,-1941,557,-100
37,908,815,684,-635,2253,1180,-647,346,246,-1629,500,-84,-774,-191,484,-1629,500,-84
38,695,480,474,-281,1266,1491,-523,361,151,-1168,436,-72,-826,145,174,-1168,436,-72
39,824,148,558,-310,261,1852,-287,289,157,-753,409,-57,-197,61,-76,-753,409,-57
40,612,-152,527,25,-624,1967,-86,232,189,-598,333,-57,1420,1526,2000,-598,333,-57
41,272,-644,351,213,-1221,2013,-85,201,219,-644,200,-44,-1971,385,-393,-644,200,-44
42,244,-1087,64,340,-1841,1587,-515,146,198,-779,73,-108,369,-698,512,-779,73,-108
43,362,-1543,-359,964,-2500,580,-1006,248,65,-817,114,-308,-1129,226,459,-817,114,-308
44,630,-2000,-581,761,-2500,-1075,-1189,297,-42,-688,283,-590,-2000,144,-462,-688,283,-590
45,148,-1750,-781,-52,-2254,-2500,-1470,332,-24,-879,280,-737,-1664,-305,-242,-879,280,-737
46,533,-568,-1078,281,-1558,-2500,-1607,404,-60,-931,191,-659,-844,-71,150,-931,191,-659
47,646,57,-2000,955,-739,-2500,-1661,418,-233,-865,50,-494,-1126,-76,254,-865,50,-494
48,1189,75,-1716,1503,-455,-2500,-1462,446,-347,-838,24,-179,-958,89,238,-838,24,-179
49,195,419,-1730,2019,-39,-2500,-1027,328,-204,-1244,196,212,-829,179,112,-1244,196,212
50,77,826,-1900,1137,721,-2500,-697,281,-21,-1171,187,492,-741,-329,-188,-1171,187,492
51,-254,1294,-1848,748,1503,-2488,-805,222,-44,-971,207,620,-877,-36,-242,-971,207,620
52,-523,1271,-1474,872,2257,-1892,-852,119,12,-723,289,573,-1341,-29,-413,-723,289,573
53,-275,1039,-831,1041,2500,-1344,-895,-41,52,-1124,340,453,-1256,-913,-520,-1124,340,453
54,45,760,-890,723,2500,-901,-951,128,91,-1424,289,375,-2000,-661,-365,-1424,289,375
55,-95,763,-648,-329,2500,-178,-875,223,33,-1746,275,321,-1550,-841,-352,-1746,275,321
56,438,708,280,-1356,2500,570,-687,321,3,-1607,211,220,-463,-353,210,-1607,211,220
57,906,855,507,-1378,2500,841,-816,281,78,-1369,153,126,-1069,-197,-139,-1369,153,126
58,728,899,710,-1424,2500,1161,-1149,265,190,-1164,226,-9,-436,-72,-198,-1164,226,-9
59,1594,548,809,-1427,2016,1293,-1162,253,386,-998,388,-150,-335,-318,-245,-998,388,-150
60,1405,441,855,-855,937,1545,-1157,254,402,-1106,453,-296,-195,-411,-90,-1106,453,-296
61,1376,305,1051,810,-437,1364,-1108,273,331,-1391,508,-306,-238,-460,234,-1391,508,-306
62,1178,-642,890,1848,-1017,931,-1027,269,329,-1679,566,-303,-338,-536,427,-1679,566,-303
63,787,-996,358,1377,-1493,432,-896,306,371,-1868,579,-261,-583,-794,1055,-1868,579,-261
64,611,-800,84,1377,-2114,-121,-771,341,332,-1895,589,-169,-1095,-1137,1208,-1895,589,-169
65,381,-812,-368,1869,-2500,-786,-661,355,299,-1712,608,-80,-1145,-484,1494,-1712,608,-80
66,-44,-743,-786,2373,-2500,-1418,-566,319,282,-1515,586,-11,-549,-139,2000,-1515,586,-11
67,-284,-588,-850,2328,-2500,-2048,-632,293,254,-1429,541,22,-2000,1769,1312,-1429,541,22
68,-785,-1107,-1839,1249,-1831,-2500,-835,320,217,-1309,524,4,1795,1042,-332,-1309,524,4
69,-836,-359,-2000,-413,-259,-2500,-1036,267,283,-1270,538,-60,-1898,490,-308,-1270,538,-60
70,-174,227,-1761,657,670,-2500,-1212,281,281,-1271,432,-155,346,-661,-508,-1271,432,-155
71,-184,435,-1873,1397,767,-2500,-1245,310,168,-1232,339,-253,-1254,-479,362,-1232,339,-253
72,-87,1096,-2000,904,1271,-2500,-1096,325,75,-1146,202,-344,-952,-385,145,-1146,202,-344
73,21,998,-1803,935,1604,-2203,-972,363,12,-958,50,-418,-1136,167,-194,-958,50,-418
74,-14,855,-1427,247,1843,-1822,-878,445,-47,-573,-40,-448,-1143,6,-353,-573,-40,-448
75,261,1505,-1160,9,2101,-1254,-854,393,-29,-170,-90,-437,-1256,-130,-340,-170,-90,-437
76,301,1318,-889,189,2169,-747,-813,291,35,-53,-82,-394,-1471,-365,-596,-53,-82,-394
77,375,1010,-270,-811,2303,-28,-692,212,27,-239,-58,-347,-1434,-586,-282,-239,-58,-347
78,755,1293,210,-1633,2165,695,-665,168,-2,-653,8,-290,-511,-213,162,-653,8,-290
79,598,1305,141,-1301,1949,1068,-835,166,92,-1123,121,-261,-937,684,112,-1123,121,-261
80,581,1202,460,-1180,1790,1496,-1107,216,270,-1570,301,-307,-579,227,-422,-1570,301,-307
81,838,1072,847,-1220,1701,1737,-1400,292,459,-1946,434,-317,-382,-4,-477,-1946,434,-317
82,917,718,682,-777,1035,1970,-1523,402,459,-2098,368,-169,-445,-251,-210,-2098,368,-169
83,998,414,723,-107,210,2213,-1411,425,316,-1920,238,58,-601,-155,-63,-1920,238,58
84,962,-99,713,918,-463,2197,-1195,396,125,-1604,63,222,-761,-494,157,-1604,63,222
85,808,-910,530,1234,-969,1875,-962,419,61,-1144,-9,284,-840,-673,509,-1144,-9,284
86,670,-1089,203,1501,-1562,1218,-753,397,30,-707,8,342,-998,-887,1118,-707,8,342
87,438,-1645,-120,1494,-2043,344,-572,329,37,-360,58,424,-943,-280,1119,-360,58,424
88,232,-1876,-340,380,-2500,-632,-459,264,64,-147,162,481,-565,-249,1363,-147,162,481
89,-61,-1727,-444,-344,-2500,-1894,-466,87,96,-245,269,478,-2000,1613,1277,-245,269,478
90,-684,-582,-1462,-191,-2488,-2500,-622,-72,43,-824,433,410,1461,803,733,-824,433,410
91,-649,66,-1545,-613,-1315,-2500,-832,62,89,-1387,537,288,-2000,60,330,-1387,537,288
92,-710,331,-1720,678,-521,-2500,-1037,108,134,-1585,509,142,-866,203,-158,-1585,509,142
93,-510,1163,-2000,2500,572,-2500,-1234,286,114,-1695,440,22,-1725,-423,-133,-1695,440,22
94,-126,714,-2000,2148,1068,-2500,-1473,294,20,-1740,285,-207,-1683,13,295,-1740,285,-207
95,186,1107,-2000,1460,1208,-2477,-1418,417,-124,-1510,133,-463,-1344,31,79,-1510,133,-463
96,197,941,-1875,1576,1227,-2025,-1201,509,-232,-858,-43,-613,-1054,29,-62,-858,-43,-613
97,203,193,-1588,424,1383,-1534,-987,632,-245,20,-173,-547,-1137,-36,-125,20,-173,-547
98,201,67,-1173,-1441,1428,-1020,-835,438,-300,511,-196,-352,-904,-140,-129,511,-196,-352
99,83,326,-577,-2500,1722,-370,-686,402,-293,356,-100,-106,-881,-95,-252,356,-100,-106
100,351,1047,89,-2500,2088,507,-579,316,-215,344,-59,26,-1118,-346,-239,344,-59,26
101,412,1047,414,-2500,2086,1035,-528,254,-159,71,25,151,-922,-409,-107,71,25,151
102,434,1120,695,-2313,2079,1138,-516,338,-18,362,31,195,-629,226,177,362,31,195
103,412,1045,681,-933,2176,1030,-837,93,128,423,64,205,-871,606,382,423,64,205
104,565,655,707,-726,2500,1014,-1221,-71,292,-38,264,121,-852,344,-341,-38,264,121
105,760,914,1019,-1516,2500,1478,-1452,-111,427,-934,367,12,-593,-75,-464,-934,367,12
106,950,1081,1524,-1350,1282,1928,-1574,285,371,-1640,416,10,-529,-13,-182,-1640,416,10
107,1328,819,1815,426,224,2341,-1492,295,343,-1957,408,111,-438,-223,-153,-1957,408,111
108,1368,201,1734,1757,-750,2485,-1376,302,264,-1936,299,202,-677,-300,-54,-1936,299,202
109,1290,-199,1358,2373,-1535,2458,-1135,383,124,-1448,277,309,-1001,-240,91,-1448,277,309
110,885,-567,782,2500,-1960,2320,-843,302,76,-846,294,333,-1027,-498,468,-846,294,333
111,184,-1177,132,2500,-2131,2053,-585,196,59,-487,396,311,-1093,-463,738,-487,396,311
112,-234,-1097,211,2500,-2500,1436,-420,114,80,-377,519,248,-696,37,2000,-377,519,248
113,-222,-1122,657,2500,-2500,279,-354,90,178,-503,589,152,-2000,1081,1091,-503,589,152
114,-712,-2000,-253,1614,-2500,-771,-466,41,143,-829,621,106,1393,256,-560,-829,621,106
115,-901,-2000,-879,-2111,-2500,-1903,-627,71,125,-1276,682,49,-1662,-271,241,-1276,682,49
116,-472,-499,-1338,-2480,-1869,-2500,-905,156,145,-1599,612,-19,-622,384,-83,-1599,612,-19
117,-309,773,-1957,-642,-645,-2500,-1211,232,89,-1746,598,-138,-1244,-59,-21,-1746,598,-138
118,423,902,-1575,2500,157,-2500,-1236,214,101,-1862,456,-236,-1456,-14,45,-1862,456,-236
119,192,-438,-2000,2500,-105,-2500,-1326,298,62,-1891,248,-349,-1607,-38,56,-1891,248,-349
120,-47,1083,-2000,936,633,-2500,-1412,467,-93,-1478,82,-514,-1416,168,-39,-1478,82,-514
121,311,1406,-1835,1631,1252,-2498,-1347,598,-37,-650,-11,-697,-1448,58,-139,-650,-11,-697
122,300,401,-1471,1002,1142,-2183,-1230,651,-10,-38,-109,-636,-1090,40,-325,-38,-109,-636
123,175,903,-1312,-610,1014,-1461,-851,465,-62,450,-219,-346,-851,-84,-324,450,-219,-346
124,128,1109,-681,-1079,1369,-629,-747,-41,-304,-447,-132,172,-750,-522,-140,-447,-132,172
125,188,660,-215,-1896,1524,143,-451,-226,-262,-2500,253,462,-619,-447,85,-2500,253,462
126,359,941,-109,-2500,1632,925,-324,567,-16,-2500,286,310,-783,-195,259,-2500,286,310
127,382,1124,116,-2500,1667,1387,-383,603,-1,-1750,206,196,-878,384,298,-1750,206,196
128,401,867,361,-2218,1655,1546,-589,420,82,-686,191,-7,-903,58,-444,-686,191,-7
129,701,1083,850,-1989,1553,1767,-917,331,270,-574,412,-237,-734,65,-429,-574,412,-237
130,911,911,940,-1495,1927,1812,-1285,313,646,-758,529,-498,-642,-70,-153,-758,529,-498
131,980,562,995,-1146,1226,2060,-1558,284,807,-1216,538,-592,-576,-236,-77,-1216,538,-592
132,1206,452,1154,-329,424,2320,-1435,458,614,-1536,451,-432,-614,-320,15,-1536,451,-432
