Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
cowboy,0.31168,0.32622,0.36523,0.42692,0.29658,0.34709,0.43783,0.56375,0.13974,0.16898,0.4646,0.70299,0.3193,0.32034,0.48687,0.64772,0.32642,0.43531,0.63202,1.0,0.14096,0.12304,0.58787,0.95872,0.04427,0.03965,0.31907,0.34688,0.30506,0.30513,0.27208,0.2787,0.26593,0.2616,0.27616,0.29674,0.01528,0.0,0.37404,0.42697,0.29328,0.29653,0.29759,0.32711,0.22888,0.22468,0.30301,0.3258,0.05744,0.05003,0.38065,0.36959,0.22352,0.20979,0.36629,0.35769,0.27111,0.24367,0.37109,0.35936,0.01528,0.0,0.37404,0.42697,0.29328,0.29653,0.29759,0.32711,0.22888,0.22468,0.30301,0.3258
cowboy,0.27769,0.27701,0.35494,0.41025,0.26634,0.33892,0.42469,0.5455,0.14798,0.17508,0.45338,0.67578,0.26974,0.30822,0.5366,0.75936,0.26706,0.35828,0.57776,0.87313,0.16357,0.17257,0.58711,1.0,0.03907,0.04786,0.29278,0.3345,0.28181,0.28604,0.2616,0.26377,0.25121,0.24561,0.26794,0.27721,0.02875,0.0,0.3766,0.44763,0.27963,0.28394,0.27447,0.30621,0.22588,0.22896,0.29411,0.33315,0.05195,0.04856,0.36347,0.35748,0.21196,0.20247,0.32243,0.31193,0.26193,0.23357,0.34443,0.33897,0.02875,0.0,0.3766,0.44763,0.27963,0.28394,0.27447,0.30621,0.22588,0.22896,0.29411,0.33315
cowboy,0.25326,0.2508,0.34458,0.37674,0.25471,0.33921,0.43034,0.51603,0.13135,0.16109,0.46383,0.68395,0.2304,0.26479,0.57198,0.88561,0.276,0.4389,0.59417,0.89727,0.17239,0.20209,0.59856,1.0,0.00847,0.02701,0.28911,0.35526,0.27173,0.27423,0.25467,0.27645,0.22856,0.23247,0.26667,0.27846,0.04666,0.03374,0.41611,0.51939,0.25465,0.25232,0.26409,0.29484,0.20684,0.21424,0.2779,0.31204,0.01424,0.0,0.33163,0.30233,0.20058,0.20242,0.3021,0.29766,0.24016,0.21142,0.32656,0.30287,0.04666,0.03374,0.41611,0.51939,0.25465,0.25232,0.26409,0.29484,0.20684,0.21424,0.2779,0.31204
cowboy,0.24774,0.22099,0.34935,0.37387,0.25048,0.3147,0.42986,0.58981,0.12193,0.10128,0.43589,0.5947,0.21072,0.24932,0.50326,0.66861,0.31201,0.47063,0.59885,0.9292,0.1543,0.18446,0.58305,1.0,0.01022,0.02948,0.28494,0.34555,0.26819,0.27227,0.25504,0.27574,0.2336,0.2331,0.26377,0.27027,0.01507,0.0,0.43191,0.53422,0.25935,0.24837,0.26855,0.28785,0.19465,0.20267,0.27656,0.31191,0.02074,0.00316,0.34292,0.29259,0.19549,0.19415,0.31515,0.30854,0.24745,0.21215,0.32642,0.33465,0.01507,0.0,0.43191,0.53422,0.25935,0.24837,0.26855,0.28785,0.19465,0.20267,0.27656,0.31191
cowboy,0.22516,0.19083,0.33804,0.40773,0.22009,0.28443,0.42017,0.56991,0.14084,0.19361,0.40814,0.53623,0.16683,0.16931,0.48313,0.5766,0.25525,0.41818,0.58786,0.97766,0.19137,0.28752,0.56784,1.0,0.0,0.02238,0.27333,0.33622,0.24782,0.2556,0.23556,0.26013,0.21527,0.21523,0.24679,0.25241,0.00013,0.01177,0.38153,0.48779,0.24536,0.24026,0.25226,0.27604,0.17965,0.18846,0.26517,0.30971,0.01786,0.00992,0.3122,0.28906,0.19004,0.18156,0.29161,0.27084,0.23659,0.21616,0.30212,0.31964,0.00013,0.01177,0.38153,0.48779,0.24536,0.24026,0.25226,0.27604,0.17965,0.18846,0.26517,0.30971
cowboy,0.20555,0.17086,0.33542,0.39413,0.26773,0.33984,0.41702,0.47121,0.11331,0.14625,0.44576,0.6826,0.18253,0.14913,0.51064,0.65112,0.32152,0.46088,0.58397,0.86858,0.15708,0.1991,0.56753,1.0,0.0,0.01349,0.28152,0.34091,0.26755,0.26867,0.24534,0.25775,0.21503,0.21625,0.26019,0.28231,0.0491,0.06677,0.39675,0.46013,0.25565,0.25152,0.27853,0.29978,0.17802,0.18248,0.31008,0.33606,0.01756,0.0071,0.29349,0.31385,0.20635,0.20176,0.29964,0.27171,0.23009,0.20837,0.30415,0.32343,0.0491,0.06677,0.39675,0.46013,0.25565,0.25152,0.27853,0.29978,0.17802,0.18248,0.31008,0.33606
cowboy,0.24793,0.21479,0.37161,0.43719,0.28615,0.34738,0.44159,0.51484,0.11327,0.09454,0.48251,0.70018,0.23822,0.27521,0.55053,0.73223,0.34642,0.44157,0.61349,0.89733,0.09209,0.16187,0.58253,1.0,0.00235,0.00796,0.30286,0.36906,0.29637,0.29146,0.2683,0.27469,0.23616,0.23658,0.26976,0.26587,0.01762,0.03263,0.44597,0.54459,0.29894,0.29677,0.30109,0.3287,0.19817,0.22021,0.34542,0.39419,0.02729,0.0,0.34878,0.39592,0.22425,0.21583,0.33654,0.3117,0.25976,0.23993,0.35965,0.35868,0.01762,0.03263,0.44597,0.54459,0.29894,0.29677,0.30109,0.3287,0.19817,0.22021,0.34542,0.39419
cowboy,0.25613,0.2333,0.34819,0.42732,0.26367,0.3224,0.42613,0.51439,0.13049,0.14646,0.45798,0.67328,0.19265,0.25268,0.56404,0.89468,0.29597,0.35709,0.61495,1.0,0.12939,0.20518,0.58282,0.99615,0.0,0.01382,0.29038,0.35352,0.27703,0.27989,0.25056,0.25971,0.21345,0.2164,0.2511,0.26974,0.02345,0.02017,0.40125,0.51501,0.26692,0.26663,0.27466,0.29843,0.20214,0.22842,0.30461,0.36129,0.02884,0.00645,0.35235,0.37897,0.22479,0.20416,0.32653,0.30517,0.25308,0.22921,0.35164,0.32121,0.02345,0.02017,0.40125,0.51501,0.26692,0.26663,0.27466,0.29843,0.20214,0.22842,0.30461,0.36129
cowboy,0.19572,0.15891,0.31537,0.37792,0.25192,0.30915,0.40795,0.43688,0.09073,0.09035,0.43512,0.64598,0.16101,0.19691,0.51067,0.75709,0.29363,0.42212,0.57973,0.92958,0.10961,0.10284,0.56316,1.0,0.01035,0.02416,0.27107,0.31401,0.25817,0.25866,0.23745,0.25221,0.1929,0.19454,0.24948,0.27658,0.0672,0.08354,0.37496,0.48036,0.22571,0.22273,0.26189,0.30311,0.17789,0.19103,0.26954,0.29506,0.01992,0.0,0.3351,0.32,0.2103,0.20352,0.29597,0.27312,0.22622,0.20579,0.31707,0.29558,0.0672,0.08354,0.37496,0.48036,0.22571,0.22273,0.26189,0.30311,0.17789,0.19103,0.26954,0.29506
cowboy,0.22327,0.21073,0.31958,0.35517,0.25779,0.34195,0.43198,0.49022,0.11551,0.09261,0.46102,0.66749,0.20741,0.25306,0.52411,0.7203,0.30051,0.45191,0.58215,0.88803,0.11029,0.06226,0.592,1.0,0.01433,0.01941,0.28482,0.33669,0.26448,0.26111,0.24749,0.25595,0.21766,0.22012,0.26758,0.28326,0.0147,0.0,0.39475,0.45083,0.2548,0.25182,0.27517,0.29952,0.18703,0.19741,0.27219,0.30721,0.02604,0.00021,0.32317,0.33839,0.20842,0.20505,0.29816,0.29291,0.24225,0.21847,0.32635,0.32383,0.0147,0.0,0.39475,0.45083,0.2548,0.25182,0.27517,0.29952,0.18703,0.19741,0.27219,0.30721
cowboy,0.25017,0.25767,0.34923,0.38974,0.26829,0.32561,0.41726,0.51874,0.15817,0.17551,0.44274,0.64097,0.22615,0.26118,0.49971,0.6341,0.30457,0.43702,0.56025,0.84527,0.19001,0.26381,0.59417,1.0,0.02834,0.03856,0.29126,0.34038,0.27379,0.2757,0.24883,0.25602,0.23891,0.23896,0.26682,0.27955,0.0,0.01614,0.378,0.45334,0.27726,0.27609,0.27637,0.30173,0.20023,0.21079,0.29588,0.33038,0.05328,0.03924,0.31701,0.3394,0.21799,0.20484,0.31205,0.29817,0.25695,0.2411,0.33263,0.32663,0.0,0.01614,0.378,0.45334,0.27726,0.27609,0.27637,0.30173,0.20023,0.21079,0.29588,0.33038
