id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,72,817,-1190,-1136,833,-1650,511,578,-909,-1341,1025,-2372,-1023,-130,17,1539,-1543,1188
2,-370,-116,-1708,-615,1429,-1123,390,250,-583,-633,1076,-2226,-897,-128,-43,2247,-1493,1334
3,-351,-162,-1648,2258,2185,-1085,328,-100,-561,-654,1274,-2061,-700,-113,-111,2226,-1294,1499
4,-59,406,-1812,1925,-2194,-1104,367,-229,10,-1189,1322,-2163,-579,-58,47,1691,-1246,1398
5,92,604,-1716,-2289,-2083,-899,278,-175,-21,-1808,1037,-2466,-836,-349,150,1073,-1532,1094
6,18,479,-1576,-2068,-1892,-792,276,-233,-242,-2173,942,2289,-812,-321,9,708,-1626,851
7,-78,77,-1512,-2111,-1698,-771,245,-257,-447,2283,992,2032,-787,-385,150,164,-1576,593
8,-82,108,-1386,-2368,-1505,-690,189,-212,-482,1629,1025,1811,-744,-248,385,-489,-1543,372
9,-20,136,-1136,-2434,-1403,-602,191,-230,-533,1050,968,1644,-712,268,628,-1067,-1600,205
10,131,62,-958,-2486,-1365,-595,225,-258,-619,579,913,1393,-795,344,306,-1538,-1655,-45
11,283,19,-751,2182,-1425,-740,356,78,-722,735,913,1274,-536,322,282,-1382,-1656,-164
12,454,35,-491,2006,-1666,-775,357,532,-633,1387,716,1406,-470,198,195,-731,-1853,-32
13,587,48,-307,1876,-1961,-792,146,610,-733,2160,268,1794,-511,146,281,41,-2301,355
14,617,52,-532,1678,-2173,-862,236,508,-1026,2173,374,1674,-538,165,361,55,-2194,235
15,511,-30,-941,954,-2260,-898,342,641,-1412,-2335,477,1901,-722,181,250,546,-2092,462
16,351,495,-1022,947,-1973,-879,399,388,-1582,-1562,791,2213,-821,146,93,1319,-1777,774
17,375,547,-655,1943,-2265,-1041,424,20,-1404,-1953,1144,2067,-863,118,-137,927,-1424,629
18,380,48,-458,-2226,2357,-1246,350,41,-1277,2231,1491,1875,-762,-149,-285,113,-1077,436
19,276,0,-381,-2239,2119,-1270,297,311,-1097,1669,1803,1813,-690,-655,-70,-449,-765,374
20,294,101,-538,-2193,1996,-1273,243,573,-902,1590,2059,1974,-290,-27,276,-527,-510,535
21,209,71,-615,-2366,2119,-1254,272,677,-596,1929,2182,2260,-803,-163,-372,-188,-386,821
22,100,150,-554,-2372,2017,-1277,378,682,-526,-2464,2127,-2447,-1145,-527,53,417,-441,1114
23,88,221,-957,2464,1986,-1376,529,528,-601,-1722,2029,-2291,-1313,-463,66,1158,-539,1269
24,140,365,-1325,-2285,2044,-1663,736,162,-560,-1320,1948,-2288,-1996,-3,-198,1560,-620,1272
25,303,705,-1281,-1198,2165,-2124,1082,-77,-148,-1568,1687,-2484,-1043,260,289,1312,-881,1076
26,258,285,-1524,-849,1819,-1645,702,-31,-408,-1971,1279,2279,-1052,-13,407,910,-1289,841
27,17,-51,-1993,-1653,1977,-1254,379,62,-380,-2146,1017,2084,-1101,31,365,735,-1552,646
28,10,312,-2000,2492,2437,-1292,392,73,-500,-2463,843,1981,-1172,29,165,417,-1725,542
29,166,535,-2000,2228,-2229,-1177,486,48,-704,2153,656,1904,-1014,-208,15,34,-1912,465
30,55,499,-1751,2330,-2034,-857,442,77,-743,2099,660,1960,-881,-278,-63,-18,-1908,521
31,-22,310,-1359,-2463,-1782,-595,372,105,-697,1961,694,2009,-673,-86,-146,-156,-1874,571
32,-39,203,-760,2350,-1563,-507,453,288,-857,2033,745,2158,-789,79,3,-85,-1823,719
33,-23,83,-395,2384,-1484,-447,501,363,-638,2270,785,2368,-560,-609,-34,152,-1783,929
34,3,-149,-521,1810,-1219,-407,407,-86,-185,2107,636,2321,-809,-355,-118,-10,-1932,882
35,44,57,-504,736,-1055,-291,263,-347,-485,1309,929,1526,-831,-379,-101,-809,-1640,87
36,-2,394,-614,1001,-947,-177,134,882,-985,1972,1021,1819,-976,-28,99,-146,-1547,380
37,534,404,-334,2070,-1104,-303,-109,526,-1165,-1948,1167,-2370,-995,-50,357,932,-1401,1190
38,1130,229,-27,-1746,-1420,-697,265,141,-731,-1751,1090,-1911,-835,154,444,1130,-1478,1649
39,1147,66,-4,-1341,-2014,-993,377,-502,-999,-2161,956,-2358,-537,54,476,720,-1612,1202
40,1026,16,-104,-1690,1923,-1033,418,-302,-1464,1664,1026,1813,-619,154,448,-453,-1542,374
41,696,-95,-210,-2144,1287,-915,524,540,-1684,1609,1280,1477,-736,126,373,-508,-1289,38
42,431,-102,-271,-2242,914,-849,536,656,-1448,2041,1410,1682,-749,128,332,-77,-1158,243
43,339,-71,-527,-2198,743,-861,484,475,-1046,2408,1430,1929,-840,141,191,289,-1138,490
44,149,-48,-777,-2133,787,-922,399,445,-973,-2455,1601,2118,-764,141,-20,425,-968,679
45,217,-149,-1095,2466,849,-1163,293,383,-629,2365,1891,2171,-685,121,-189,247,-677,732
46,84,-170,-1135,1731,1028,-1453,274,414,-642,2476,1909,2288,-952,145,-1251,357,-659,849
47,89,148,-844,2279,1267,-1790,166,275,-713,2490,2156,2381,-96,-361,-42,371,-412,942
48,-117,222,-948,-2180,1378,-1799,93,44,-396,2031,2283,2269,-1062,-80,-91,-87,-286,830
49,-439,220,-1158,-2094,1786,-1435,95,73,-112,2281,2124,2339,-674,55,-56,163,-444,900
50,-425,182,-1154,2426,2297,-1344,206,9,18,-2009,1928,2367,-1343,-229,498,872,-640,928
51,-73,271,-1167,2290,-2478,-1511,454,-309,366,-2397,1553,2129,-1169,-477,227,483,-1016,691
52,23,416,-1505,-2378,2345,-1540,626,-347,419,2039,826,1776,-1462,276,32,-79,-1742,337
53,-67,600,-2000,-2214,2219,-1240,557,-265,45,1595,285,1329,-1478,113,128,-522,-2283,-109
