Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
mermaid,0.2793,0.25581,0.31784,0.3257,0.27742,0.26675,0.30196,0.32158,0.07321,0.0733,0.3694,0.43051,0.25048,0.2387,0.61422,1.0,0.20372,0.11547,0.56437,0.8389,0.06714,0.07957,0.31768,0.34374,0.31134,0.31097,0.28859,0.29985,0.30146,0.31097,0.31873,0.35608,0.10854,0.10762,0.33559,0.35239,0.33689,0.55706,0.61558,0.98953,0.44608,0.45169,0.40151,0.41195,0.39945,0.57548,0.59423,0.96924,0.09339,0.10266,0.30487,0.32018,0.23913,0.2459,0.29257,0.31317,0.27454,0.27516,0.29748,0.31803,0.31081,0.29274,0.3826,0.39629,0.04373,0.0,0.44662,0.42312,0.37385,0.38184,0.35013,0.38413
mermaid,0.25319,0.23771,0.2975,0.27856,0.25441,0.2514,0.29058,0.31071,0.0454,0.0442,0.35562,0.41895,0.2888,0.46211,0.58398,0.94036,0.12575,0.07149,0.53408,0.81291,0.04523,0.05412,0.28564,0.30949,0.2868,0.27615,0.27089,0.29244,0.28619,0.27908,0.30506,0.34316,0.09256,0.07263,0.32441,0.3543,0.31384,0.53171,0.60392,1.0,0.40837,0.44973,0.42077,0.47065,0.42207,0.55532,0.55285,0.47297,0.07118,0.08783,0.29622,0.32394,0.22245,0.22553,0.27511,0.282,0.26417,0.25887,0.27708,0.30188,0.29731,0.28569,0.36416,0.37149,0.06096,0.0,0.47545,0.46673,0.34705,0.36776,0.34362,0.37692
mermaid,0.24029,0.22957,0.28395,0.26208,0.23892,0.24082,0.27049,0.28929,0.03099,0.02334,0.34279,0.42972,0.21741,0.18871,0.57134,0.92875,0.11199,0.02011,0.50528,0.79372,0.02323,0.02536,0.263,0.28058,0.27257,0.26517,0.25237,0.27251,0.25725,0.25567,0.27916,0.30548,0.0804,0.06364,0.31582,0.36165,0.23239,0.38462,0.59351,1.0,0.38213,0.42566,0.42287,0.45932,0.42559,0.54741,0.52323,0.40726,0.06291,0.06761,0.28911,0.30299,0.21364,0.21629,0.27401,0.26711,0.24615,0.24497,0.29003,0.29261,0.28347,0.28325,0.34237,0.35169,0.05245,0.0,0.44862,0.44614,0.3331,0.34062,0.31282,0.34389
mermaid,0.2357,0.21148,0.2901,0.29202,0.22379,0.22691,0.26856,0.28344,0.04619,0.04713,0.35464,0.47312,0.1679,0.07482,0.54823,0.90525,0.1632,0.20721,0.47763,0.70172,0.0081,0.00554,0.24972,0.26641,0.26441,0.25942,0.24715,0.26346,0.24815,0.24862,0.25863,0.27545,0.0686,0.05185,0.30874,0.36121,0.23862,0.51103,0.59695,1.0,0.37684,0.43194,0.41328,0.40629,0.40476,0.54454,0.52512,0.36021,0.05636,0.05584,0.27323,0.29288,0.20249,0.21202,0.26975,0.26573,0.23668,0.24235,0.27569,0.27876,0.26055,0.26587,0.29061,0.3208,0.02391,0.0,0.39206,0.40938,0.33262,0.34487,0.28697,0.31644
mermaid,0.26926,0.24198,0.31158,0.3092,0.25026,0.25207,0.29424,0.29893,0.08669,0.08585,0.37236,0.49037,0.28624,0.45236,0.569,0.91596,0.13801,0.09099,0.48758,0.65911,0.05023,0.05293,0.28498,0.30672,0.29097,0.28367,0.27534,0.29035,0.29217,0.29119,0.28717,0.29867,0.09524,0.08638,0.31757,0.33265,0.29969,0.57202,0.6111,1.0,0.41033,0.42625,0.39027,0.4247,0.45032,0.56831,0.52169,0.38558,0.08643,0.08727,0.29247,0.31155,0.22733,0.23074,0.28569,0.28845,0.26201,0.26924,0.29017,0.29641,0.28422,0.2811,0.30603,0.3481,0.02025,0.0,0.41026,0.42107,0.34315,0.36483,0.31683,0.36655
mermaid,0.26554,0.24203,0.31031,0.30091,0.26939,0.26231,0.29467,0.30603,0.06961,0.06858,0.36699,0.4503,0.35974,0.57203,0.58531,0.9445,0.15305,0.0708,0.52567,0.7175,0.06465,0.06849,0.30813,0.34436,0.29786,0.29202,0.28259,0.29286,0.30014,0.30376,0.29861,0.31497,0.10617,0.10024,0.31464,0.33471,0.23764,0.0427,0.6184,1.0,0.43465,0.43336,0.37014,0.46209,0.39205,0.52382,0.56438,0.46547,0.0912,0.1014,0.30126,0.31812,0.23914,0.24078,0.28577,0.28828,0.26732,0.268,0.3036,0.31083,0.31473,0.3115,0.33881,0.36464,0.03336,0.0,0.4466,0.46222,0.3492,0.37163,0.33962,0.40885
mermaid,0.2612,0.23644,0.31686,0.30815,0.2823,0.2703,0.31203,0.3317,0.05701,0.05754,0.3702,0.47143,0.31019,0.53724,0.59609,0.99206,0.25308,0.26603,0.54564,0.78008,0.05895,0.06245,0.342,0.35607,0.29436,0.29172,0.27969,0.29725,0.28833,0.28754,0.29669,0.312,0.10301,0.09648,0.32127,0.35162,0.23042,0.06344,0.60433,0.96565,0.46039,0.46118,0.36685,0.47874,0.3738,0.54196,0.58574,1.0,0.08378,0.09558,0.30086,0.33129,0.23937,0.24343,0.28245,0.27715,0.26755,0.27238,0.30185,0.30651,0.30906,0.31169,0.36342,0.42305,0.01309,0.0,0.39863,0.47742,0.36787,0.3744,0.33501,0.38407
mermaid,0.28329,0.25825,0.32767,0.33651,0.29255,0.27746,0.3249,0.34524,0.08735,0.10154,0.3752,0.4532,0.25438,0.35637,0.60953,0.98891,0.21978,0.15144,0.5497,0.78347,0.06991,0.06736,0.35652,0.37286,0.29185,0.28966,0.29402,0.29687,0.30026,0.29714,0.29862,0.3116,0.0958,0.09332,0.34183,0.37023,0.29588,0.53654,0.61728,1.0,0.47163,0.46928,0.39755,0.46041,0.4906,0.60917,0.5498,0.34561,0.09605,0.10921,0.30934,0.33586,0.24865,0.25381,0.29607,0.29091,0.27828,0.28356,0.31351,0.31669,0.29896,0.28698,0.36643,0.4301,0.02591,0.0,0.41061,0.46226,0.37869,0.37106,0.31871,0.34806
mermaid,0.29684,0.27985,0.32957,0.3341,0.29801,0.28398,0.32882,0.35298,0.10467,0.12394,0.37917,0.45096,0.26666,0.364,0.62693,1.0,0.18324,0.05944,0.55978,0.80376,0.08155,0.08719,0.34309,0.3714,0.30727,0.30612,0.3115,0.32863,0.31067,0.30769,0.30599,0.32831,0.1081,0.11594,0.35218,0.3657,0.32686,0.54619,0.62014,0.9926,0.46937,0.46984,0.39786,0.40186,0.51561,0.6184,0.54007,0.34333,0.11081,0.12339,0.3159,0.33543,0.25548,0.25973,0.30827,0.32124,0.28836,0.2894,0.31409,0.33359,0.32035,0.30971,0.39156,0.43718,0.02616,0.0,0.41406,0.41518,0.3852,0.37889,0.33151,0.35371
mermaid,0.30879,0.2926,0.34025,0.34942,0.31195,0.3007,0.34066,0.3618,0.10289,0.12882,0.39846,0.48956,0.25773,0.14842,0.63194,1.0,0.27014,0.10131,0.59513,0.8451,0.08939,0.09707,0.34498,0.37845,0.3281,0.32205,0.32116,0.34307,0.31931,0.3111,0.32234,0.34868,0.13106,0.13894,0.3564,0.36193,0.322,0.51684,0.6301,0.98689,0.48331,0.47258,0.37965,0.42722,0.50795,0.61833,0.56737,0.36695,0.11848,0.13167,0.33293,0.35867,0.26842,0.26325,0.32589,0.33396,0.29877,0.29426,0.32617,0.33645,0.35383,0.3283,0.41423,0.47874,0.01069,0.0,0.37964,0.42708,0.39651,0.38581,0.35081,0.37242
