Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
number7,0.16872,0.14266,0.3654,0.32882,0.20873,0.2211,0.372,0.34713,0.22982,0.25789,0.362,0.32746,0.19102,0.09108,0.54483,0.78063,0.24723,0.14562,0.61979,1.0,0.22973,0.1549,0.46632,0.55332,0.17654,0.13995,0.37343,0.37042,0.36779,0.36376,0.40209,0.36253,0.28481,0.28311,0.32769,0.33432,0.2815,0.18422,0.58385,0.89454,0.43048,0.42068,0.35338,0.37875,0.41899,0.45296,0.52625,0.71414,0.13784,0.14077,0.31996,0.29835,0.25858,0.2482,0.3476,0.32179,0.284,0.27383,0.34003,0.30771,0.38688,0.3645,0.44767,0.5146,0.01717,0.0,0.37944,0.37818,0.26819,0.39103,0.50455,0.7235
number7,0.10535,0.08137,0.35535,0.28884,0.16072,0.18305,0.36266,0.32924,0.19558,0.22411,0.33754,0.29188,0.2438,0.28453,0.55987,0.88317,0.14437,0.0563,0.58986,1.0,0.17029,0.08942,0.47971,0.48012,0.12175,0.07754,0.35374,0.35796,0.3501,0.33869,0.38611,0.38209,0.24793,0.24749,0.30023,0.31246,0.32504,0.45131,0.57359,0.85057,0.4707,0.48676,0.35949,0.43742,0.35852,0.33467,0.47744,0.66083,0.08514,0.08586,0.28692,0.26115,0.21471,0.2055,0.30675,0.27888,0.24282,0.23599,0.30548,0.26704,0.20157,0.21354,0.42147,0.50743,0.0,0.00841,0.37808,0.43742,0.1576,0.20072,0.47947,0.67435
number7,0.16947,0.09328,0.46038,0.54636,0.18842,0.17326,0.46769,0.5206,0.21462,0.23808,0.40556,0.40969,0.31931,0.29345,0.62402,0.90409,0.36475,0.42606,0.64361,0.91469,0.31887,0.34443,0.57624,0.82334,0.08194,0.08712,0.31835,0.31207,0.40504,0.37981,0.3571,0.34652,0.30393,0.29312,0.33662,0.35789,0.22766,0.19996,0.65591,1.0,0.57009,0.56427,0.38761,0.44216,0.5298,0.70303,0.63746,0.74929,0.10025,0.09998,0.35249,0.33081,0.27174,0.26697,0.37848,0.36591,0.29619,0.2817,0.38235,0.34564,0.3229,0.37816,0.55725,0.69045,0.00577,0.0,0.38762,0.44216,0.37388,0.42211,0.49433,0.42029
number7,0.14686,0.11055,0.36036,0.2985,0.21409,0.20757,0.35523,0.33823,0.22509,0.22807,0.30759,0.29942,0.1478,0.0189,0.52795,0.60557,0.28938,0.44118,0.60888,1.0,0.18881,0.12357,0.41653,0.4933,0.17019,0.11727,0.37519,0.4266,0.34834,0.33525,0.40565,0.34794,0.26121,0.25646,0.30471,0.30245,0.14585,0.0546,0.54185,0.77748,0.4342,0.43034,0.35886,0.36049,0.31567,0.2153,0.53556,0.68789,0.11755,0.11676,0.29591,0.27784,0.23897,0.2305,0.30958,0.29632,0.26049,0.25327,0.31285,0.28414,0.37612,0.367,0.43331,0.48675,0.01147,0.0,0.3438,0.35999,0.24018,0.34508,0.49463,0.72309
number7,0.09707,0.06421,0.32065,0.25639,0.14948,0.16632,0.3167,0.31506,0.17287,0.19138,0.29735,0.26427,0.17518,0.26214,0.52567,0.77262,0.16817,0.06483,0.57447,1.0,0.14275,0.05004,0.45257,0.42643,0.12059,0.07519,0.34538,0.40694,0.30874,0.28464,0.37408,0.35376,0.20769,0.20892,0.26889,0.28353,0.33217,0.45246,0.49529,0.63313,0.42214,0.45034,0.37496,0.31564,0.3319,0.32051,0.43309,0.61732,0.06671,0.06784,0.25645,0.23624,0.19512,0.19023,0.26199,0.24673,0.21853,0.21202,0.27588,0.24133,0.18762,0.16995,0.39607,0.44467,0.01335,0.0,0.33516,0.31887,0.12321,0.16021,0.43193,0.62312
number7,0.16887,0.10713,0.44113,0.50659,0.20339,0.18441,0.4352,0.51816,0.23584,0.26241,0.39038,0.38938,0.25733,0.19164,0.60815,0.82081,0.31644,0.3184,0.66148,0.99349,0.31297,0.33039,0.58384,0.80877,0.08928,0.10331,0.33966,0.33726,0.40509,0.36768,0.37181,0.37962,0.282,0.27243,0.34144,0.36335,0.23916,0.04339,0.65139,1.0,0.50975,0.52885,0.443,0.36479,0.51728,0.67844,0.60123,0.83413,0.1141,0.11519,0.34224,0.32858,0.2758,0.27439,0.36447,0.35281,0.30116,0.28628,0.37294,0.34583,0.33946,0.40591,0.49839,0.60112,0.03288,0.0,0.43473,0.36329,0.33838,0.41128,0.52765,0.52549
number7,0.14906,0.13151,0.35386,0.29863,0.22401,0.22259,0.34836,0.31979,0.25236,0.25555,0.31012,0.30244,0.21845,0.09839,0.54262,0.81477,0.30064,0.44423,0.61253,1.0,0.20338,0.13198,0.42616,0.46742,0.18373,0.13826,0.3774,0.41672,0.3633,0.35164,0.39438,0.3815,0.25394,0.25198,0.316,0.32222,0.14524,0.0,0.56183,0.80179,0.43746,0.43891,0.33686,0.34957,0.3358,0.2156,0.52096,0.69069,0.13942,0.13913,0.29742,0.28775,0.25165,0.24427,0.32002,0.30201,0.27839,0.27342,0.31456,0.29549,0.37944,0.39643,0.37775,0.38122,0.03784,0.03383,0.36139,0.34981,0.23962,0.31257,0.51008,0.71328
number7,0.10321,0.0741,0.32109,0.25976,0.16278,0.16967,0.30643,0.29442,0.18255,0.20791,0.30493,0.27298,0.27582,0.41215,0.52882,0.84081,0.16476,0.04073,0.57278,1.0,0.15992,0.07452,0.44774,0.4344,0.13916,0.08993,0.33048,0.37253,0.30843,0.29604,0.35045,0.30717,0.18656,0.18687,0.26354,0.26032,0.34646,0.50858,0.5381,0.8465,0.42185,0.43765,0.32713,0.28933,0.34711,0.38896,0.42784,0.60073,0.08203,0.08188,0.25051,0.24222,0.21047,0.20021,0.26733,0.25677,0.23228,0.22811,0.26145,0.24873,0.2157,0.20749,0.34664,0.37651,0.0002,0.0,0.30973,0.28916,0.14549,0.18173,0.4315,0.62866
number7,0.1457,0.08545,0.40072,0.49052,0.19751,0.17612,0.38024,0.4282,0.1941,0.22199,0.35327,0.35504,0.23503,0.09338,0.59638,0.86893,0.27773,0.3114,0.60958,0.95999,0.29084,0.31788,0.53764,0.76911,0.08649,0.09445,0.29018,0.29156,0.35139,0.33317,0.31354,0.29471,0.22326,0.21724,0.29014,0.28982,0.22041,0.02032,0.62439,1.0,0.4727,0.49545,0.36729,0.30613,0.4699,0.61564,0.56026,0.68154,0.09329,0.09609,0.29991,0.29471,0.26029,0.25218,0.32255,0.32785,0.26825,0.26185,0.3226,0.31745,0.31435,0.34304,0.42989,0.51785,0.0059,0.0,0.37457,0.30516,0.33257,0.38649,0.45243,0.41039
number7,0.12585,0.10331,0.33856,0.28024,0.20926,0.2029,0.3205,0.29474,0.22376,0.23165,0.2951,0.28127,0.15383,0.01334,0.54008,0.83157,0.27264,0.45103,0.60382,1.0,0.17921,0.09445,0.42353,0.51847,0.17438,0.11491,0.36019,0.42307,0.33315,0.31342,0.38176,0.37129,0.21962,0.22253,0.28783,0.28761,0.15325,0.00041,0.55966,0.85609,0.41692,0.429,0.31928,0.34855,0.30458,0.21325,0.51848,0.71934,0.10784,0.11135,0.27827,0.26735,0.2309,0.22063,0.29795,0.28964,0.24961,0.24739,0.29485,0.27303,0.34583,0.343,0.3786,0.42162,0.0,0.00762,0.34651,0.34673,0.24739,0.3623,0.49244,0.7092
