Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
salute,0.07147,0.0039,0.46604,0.43977,0.1917,0.18905,0.43979,0.43178,0.25328,0.26333,0.34947,0.3547,0.41275,0.44895,0.66992,0.81781,0.40571,0.38394,0.4922,0.65215,0.11214,0.29208,0.66204,0.96102,0.0,0.02451,0.44732,0.43617,0.4499,0.41285,0.48431,0.47443,0.39145,0.37515,0.42644,0.46133,0.13089,0.01844,0.73074,1.0,0.22835,0.27547,0.52543,0.59432,0.33606,0.30614,0.75138,0.66988,0.0011,0.00422,0.36573,0.35822,0.23352,0.23665,0.40404,0.44145,0.34436,0.31157,0.41359,0.37435,0.13089,0.01844,0.73074,1.0,0.22835,0.27547,0.52543,0.59432,0.33606,0.30614,0.75138,0.66988
salute,0.13445,0.10522,0.58616,0.73934,0.23061,0.23427,0.50108,0.53323,0.28681,0.28534,0.46203,0.46553,0.38123,0.32743,0.7204,0.853,0.37125,0.44054,0.6662,0.77493,0.2042,0.1925,0.79122,1.0,0.01283,0.02631,0.43016,0.3959,0.44498,0.42368,0.439,0.44998,0.41466,0.41702,0.42046,0.43389,0.13876,0.0,0.72174,0.9552,0.33745,0.35435,0.46725,0.4472,0.36859,0.33702,0.55718,0.58801,0.0455,0.04797,0.43881,0.43683,0.29532,0.29942,0.44818,0.4472,0.39275,0.34569,0.50882,0.46569,0.13876,0.0,0.72174,0.9552,0.33745,0.35435,0.46725,0.4472,0.36859,0.33702,0.55718,0.58801
salute,0.09964,0.06773,0.50392,0.46441,0.23627,0.23416,0.41231,0.37281,0.31386,0.32056,0.43444,0.38694,0.6905,0.79808,0.61467,0.72771,0.2888,0.34232,0.56054,0.46096,0.46562,0.41655,0.54991,0.51788,0.16967,0.09004,0.50378,0.53559,0.433,0.39221,0.52159,0.55817,0.41981,0.42453,0.43159,0.44582,0.19827,0.0,0.69192,1.0,0.30786,0.32394,0.47714,0.51382,0.46502,0.44453,0.73388,0.93875,0.0779,0.0818,0.40667,0.39397,0.24951,0.25485,0.44882,0.4398,0.3705,0.3215,0.47922,0.45359,0.19827,0.0,0.69192,1.0,0.30786,0.32394,0.47714,0.51382,0.46502,0.44453,0.73388,0.93875
salute,0.13914,0.05502,0.51599,0.49069,0.24201,0.23712,0.47746,0.40293,0.29592,0.31173,0.39616,0.41541,0.57138,0.69702,0.71151,1.0,0.46373,0.4134,0.51855,0.56993,0.19495,0.37632,0.68608,0.86888,0.15272,0.08836,0.55125,0.56276,0.45668,0.43059,0.5556,0.56784,0.37787,0.37796,0.4736,0.47574,0.07413,0.0,0.70383,0.75278,0.34287,0.37407,0.53687,0.59789,0.3676,0.2742,0.79799,0.95642,0.06328,0.07072,0.39078,0.38693,0.24729,0.25536,0.45072,0.42992,0.34537,0.33251,0.41867,0.40263,0.07413,0.0,0.70383,0.75278,0.34287,0.37407,0.53687,0.59789,0.3676,0.2742,0.79799,0.95642
salute,0.11542,0.0618,0.63105,0.8316,0.25642,0.26378,0.54251,0.55959,0.29894,0.2822,0.50077,0.50375,0.35418,0.31171,0.72511,0.82222,0.34968,0.3704,0.70074,0.88116,0.2474,0.29133,0.83367,1.0,0.0,0.01044,0.4498,0.45102,0.50994,0.45403,0.53477,0.50384,0.3961,0.41491,0.48528,0.51003,0.12947,0.06343,0.76047,0.90422,0.33801,0.36225,0.51418,0.51435,0.39561,0.26786,0.73727,0.71895,0.03708,0.05038,0.45168,0.42624,0.27982,0.29117,0.47817,0.47938,0.39493,0.34741,0.51944,0.47156,0.12947,0.06343,0.76047,0.90422,0.33801,0.36225,0.51418,0.51435,0.39561,0.26786,0.73727,0.71895
salute,0.06929,0.07018,0.50598,0.45181,0.26588,0.25612,0.4409,0.41452,0.33195,0.34822,0.45487,0.39406,0.57576,0.54993,0.69114,1.0,0.23703,0.26293,0.55315,0.62211,0.47867,0.45569,0.55512,0.52239,0.1342,0.06617,0.55504,0.62558,0.44399,0.39794,0.51231,0.54979,0.38151,0.40396,0.47599,0.47547,0.1475,0.0,0.73924,0.99191,0.32623,0.3303,0.5131,0.53709,0.36996,0.32349,0.78502,0.9192,0.09017,0.10119,0.4195,0.39032,0.26735,0.28713,0.45243,0.4482,0.38477,0.3434,0.47494,0.45876,0.1475,0.0,0.73924,0.99191,0.32623,0.3303,0.5131,0.53709,0.36996,0.32349,0.78502,0.9192
salute,0.03157,0.0,0.4207,0.364,0.18693,0.19053,0.40292,0.37816,0.24482,0.26807,0.35555,0.39892,0.41161,0.33405,0.67164,1.0,0.37261,0.3938,0.46279,0.52109,0.10223,0.27711,0.63556,0.95226,0.06528,0.02135,0.52239,0.6165,0.36817,0.36563,0.41906,0.4024,0.27502,0.29565,0.42112,0.41323,0.02853,0.01957,0.64827,0.70628,0.33516,0.35822,0.4763,0.49633,0.19134,0.23071,0.67593,0.65624,0.02468,0.02135,0.33475,0.3193,0.22284,0.23026,0.37585,0.37742,0.31166,0.30143,0.3526,0.35681,0.02853,0.01957,0.64827,0.70628,0.33516,0.35822,0.4763,0.49633,0.19134,0.23071,0.67593,0.65624
salute,0.11451,0.03459,0.60547,0.78508,0.25816,0.28435,0.50485,0.55847,0.27389,0.27971,0.46172,0.51745,0.31534,0.2568,0.71381,0.71155,0.39353,0.50304,0.66444,0.73253,0.14112,0.10876,0.79968,1.0,0.0,0.00591,0.38879,0.43559,0.42594,0.42566,0.40588,0.41156,0.34115,0.36558,0.41918,0.43022,0.08157,0.06919,0.6294,0.68511,0.38724,0.3989,0.43404,0.43503,0.28938,0.26353,0.5535,0.68711,0.02788,0.03731,0.42538,0.3808,0.28148,0.29445,0.43362,0.43383,0.35223,0.33674,0.46526,0.4303,0.08157,0.06919,0.6294,0.68511,0.38724,0.3989,0.43404,0.43503,0.28938,0.26353,0.5535,0.68711
salute,0.0681,0.03123,0.48552,0.37961,0.22089,0.19978,0.38294,0.373,0.24579,0.24807,0.37712,0.36674,0.55534,0.62975,0.5979,0.79307,0.25294,0.28398,0.52529,0.46147,0.37124,0.34452,0.52044,0.47358,0.11681,0.02821,0.45198,0.53288,0.39231,0.36929,0.42301,0.48487,0.32805,0.33076,0.37589,0.38697,0.06854,0.0,0.61567,0.87369,0.23558,0.28453,0.41846,0.52064,0.33762,0.26114,0.73145,1.0,0.00872,0.01954,0.3551,0.31962,0.20721,0.21973,0.37012,0.41208,0.29873,0.27587,0.40237,0.37383,0.06854,0.0,0.61567,0.87369,0.23558,0.28453,0.41846,0.52064,0.33762,0.26114,0.73145,1.0
salute,0.01891,0.0,0.32804,0.31673,0.14056,0.15953,0.34703,0.3445,0.19609,0.20463,0.29745,0.30939,0.39564,0.49121,0.541,0.76567,0.35652,0.32949,0.40388,0.49907,0.13088,0.27511,0.55643,0.71754,0.09286,0.06043,0.42405,0.54533,0.38902,0.39675,0.38105,0.44649,0.25808,0.25862,0.36336,0.3771,0.12455,0.11546,0.49726,0.64319,0.20796,0.22499,0.40728,0.54655,0.26402,0.24947,0.69492,1.0,0.0235,0.02126,0.29969,0.2956,0.19778,0.21571,0.31452,0.34334,0.29349,0.28246,0.32193,0.31351,0.12455,0.11546,0.49726,0.64319,0.20796,0.22499,0.40728,0.54655,0.26402,0.24947,0.69492,1.0
