Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
sidestep,0.19362,0.19702,0.35421,0.34955,0.3068,0.29997,0.36368,0.37631,0.3082,0.30878,0.34849,0.35188,0.24879,0.05337,0.62531,0.93437,0.24235,0.0,0.65362,1.0,0.18146,0.18506,0.3636,0.37083,0.20779,0.20841,0.35172,0.35639,0.35792,0.34998,0.35602,0.36513,0.27286,0.26788,0.37109,0.38437,0.36715,0.46998,0.60709,0.89651,0.49965,0.50774,0.36848,0.37595,0.48776,0.59744,0.57193,0.45304,0.19379,0.19745,0.36138,0.34776,0.33392,0.3244,0.3682,0.36828,0.32135,0.32347,0.36717,0.34246,0.36208,0.37269,0.45416,0.45132,0.13165,0.1397,0.36848,0.37595,0.42339,0.42162,0.39153,0.3867
sidestep,0.18313,0.18777,0.34382,0.339,0.30515,0.29453,0.36155,0.36744,0.29993,0.30267,0.34619,0.34632,0.27667,0.05911,0.63358,0.97549,0.24477,0.0,0.64926,1.0,0.17413,0.18013,0.35829,0.36607,0.19875,0.1996,0.34342,0.34019,0.35476,0.35097,0.34712,0.35364,0.26569,0.26469,0.36156,0.36499,0.34402,0.40417,0.59382,0.87321,0.48866,0.49686,0.35964,0.36895,0.46829,0.5874,0.5753,0.43495,0.18668,0.19051,0.35463,0.34499,0.32954,0.31687,0.36429,0.37043,0.30958,0.31233,0.36051,0.34697,0.36894,0.36034,0.45063,0.47369,0.11841,0.12665,0.35965,0.36906,0.41853,0.40964,0.38347,0.40982
sidestep,0.18601,0.19182,0.34464,0.33993,0.3116,0.30919,0.36462,0.36733,0.30099,0.3036,0.34914,0.35118,0.26576,0.01591,0.63881,0.97177,0.25637,0.0,0.64959,1.0,0.18578,0.18673,0.36001,0.37242,0.2024,0.2055,0.34531,0.34437,0.35434,0.35669,0.3438,0.34322,0.26612,0.26533,0.34887,0.34759,0.3413,0.40707,0.60141,0.89198,0.49931,0.50351,0.35799,0.36651,0.58027,0.60476,0.46769,0.38557,0.19264,0.19497,0.36692,0.36268,0.33436,0.32581,0.37681,0.37905,0.3179,0.31563,0.37697,0.34989,0.36607,0.36486,0.44008,0.45221,0.13127,0.13543,0.35798,0.36651,0.41139,0.40828,0.36531,0.38621
sidestep,0.17623,0.18268,0.33747,0.33175,0.29573,0.28748,0.35239,0.35552,0.29242,0.29793,0.3367,0.33704,0.29686,0.06901,0.63269,0.96528,0.28295,0.0,0.65102,1.0,0.1807,0.18743,0.34416,0.3606,0.19941,0.20241,0.33827,0.34533,0.34254,0.34698,0.3368,0.33899,0.24744,0.24679,0.33634,0.34414,0.34371,0.4335,0.60475,0.90571,0.48669,0.48709,0.34748,0.34486,0.60129,0.62474,0.43027,0.36604,0.18146,0.18469,0.35753,0.3414,0.32186,0.31075,0.3652,0.35264,0.30984,0.30909,0.36644,0.33535,0.3611,0.35743,0.42138,0.42431,0.1167,0.11713,0.34747,0.34486,0.4165,0.41995,0.34584,0.35955
sidestep,0.16495,0.16996,0.33318,0.32354,0.29153,0.27702,0.35084,0.34728,0.28293,0.28854,0.33208,0.32893,0.31711,0.36252,0.61018,0.93632,0.28985,0.0,0.65138,1.0,0.152,0.15527,0.34098,0.35459,0.18373,0.18724,0.3292,0.33262,0.33881,0.34067,0.32677,0.33173,0.24324,0.23634,0.3333,0.3465,0.38359,0.60233,0.61358,0.92665,0.47931,0.48184,0.34782,0.34318,0.5496,0.60765,0.48335,0.37434,0.17046,0.17247,0.3413,0.32291,0.31324,0.3005,0.35133,0.34196,0.29853,0.29866,0.35901,0.32269,0.35527,0.34377,0.37345,0.38021,0.10006,0.10263,0.34783,0.34321,0.39867,0.40557,0.36618,0.36518
sidestep,0.18542,0.1868,0.34084,0.33483,0.30091,0.28966,0.35616,0.36292,0.29956,0.30448,0.34079,0.33857,0.31181,0.11545,0.62277,0.94256,0.25744,0.0,0.65035,1.0,0.17308,0.18306,0.36075,0.37623,0.1997,0.20277,0.34002,0.33418,0.34337,0.34792,0.35027,0.34494,0.26062,0.26204,0.35227,0.3554,0.41028,0.61011,0.61831,0.94354,0.49158,0.49624,0.36201,0.35896,0.52904,0.60687,0.52288,0.38572,0.18806,0.18896,0.35201,0.33012,0.32306,0.30786,0.36477,0.35842,0.30874,0.307,0.36911,0.33559,0.36023,0.35778,0.37668,0.39428,0.12211,0.12681,0.36203,0.35896,0.41196,0.4105,0.38196,0.37925
sidestep,0.18236,0.18383,0.3355,0.33192,0.3019,0.29068,0.35262,0.35929,0.2984,0.30166,0.33128,0.33784,0.41056,0.60375,0.61298,0.93332,0.29128,0.0,0.65315,1.0,0.17045,0.17385,0.35598,0.37633,0.19826,0.19987,0.33864,0.33634,0.34194,0.34265,0.35155,0.34603,0.26153,0.2636,0.35405,0.35548,0.36841,0.58037,0.61642,0.93439,0.48841,0.48949,0.34074,0.34254,0.56637,0.61758,0.48451,0.36136,0.1838,0.18811,0.34161,0.33452,0.32698,0.30665,0.36741,0.37173,0.30542,0.3033,0.3584,0.33841,0.35593,0.36118,0.39118,0.41428,0.12229,0.12339,0.34074,0.34258,0.41322,0.41856,0.36414,0.3574
sidestep,0.17495,0.17855,0.33691,0.33232,0.30773,0.3082,0.34702,0.35507,0.28801,0.28686,0.32876,0.33773,0.31041,0.29234,0.62427,0.943,0.29372,0.0,0.65431,1.0,0.15965,0.15821,0.35485,0.37667,0.18511,0.18691,0.3352,0.32785,0.34503,0.34794,0.34053,0.3373,0.26738,0.2707,0.34576,0.33535,0.31012,0.27186,0.60816,0.93128,0.48422,0.48552,0.34755,0.35313,0.56409,0.61056,0.48122,0.36658,0.18036,0.18251,0.34907,0.33719,0.323,0.31505,0.36643,0.3841,0.29853,0.29162,0.36163,0.34599,0.36509,0.36921,0.40326,0.41633,0.11383,0.11516,0.34754,0.35313,0.40916,0.41536,0.36257,0.37011
sidestep,0.06584,0.07325,0.25144,0.24556,0.20503,0.19395,0.26249,0.26685,0.20145,0.2049,0.24636,0.25038,0.24078,0.40513,0.57633,0.94529,0.28711,0.59309,0.60422,1.0,0.05936,0.06033,0.28291,0.31629,0.08046,0.08125,0.24748,0.24413,0.25261,0.25786,0.24808,0.2492,0.16508,0.17001,0.25462,0.25778,0.26714,0.49249,0.55753,0.91251,0.41977,0.42401,0.25879,0.25737,0.49781,0.5479,0.42009,0.27032,0.07215,0.07545,0.25889,0.24818,0.21679,0.21062,0.26945,0.26681,0.20289,0.19886,0.26819,0.24499,0.27837,0.26947,0.31438,0.34285,0.0,0.00427,0.25878,0.25733,0.33074,0.3185,0.26652,0.27106
sidestep,0.13595,0.14312,0.30708,0.3043,0.26795,0.25575,0.32118,0.32266,0.26598,0.26853,0.30313,0.30303,0.24596,0.0,0.61449,0.95689,0.32728,0.61968,0.63777,1.0,0.12997,0.13111,0.3288,0.32254,0.15195,0.1529,0.30333,0.30714,0.31324,0.31881,0.30759,0.31107,0.2264,0.23351,0.31412,0.31646,0.32009,0.53029,0.60193,0.9232,0.47265,0.47417,0.31462,0.31565,0.50892,0.59219,0.51845,0.33983,0.14003,0.14181,0.3095,0.30634,0.2786,0.26861,0.32813,0.33009,0.26677,0.26461,0.32255,0.31042,0.33868,0.33521,0.36692,0.40092,0.0772,0.07876,0.31462,0.31565,0.39162,0.39041,0.32357,0.33374
sidestep,0.14717,0.15192,0.31134,0.30668,0.27402,0.26182,0.32112,0.32429,0.26904,0.27175,0.30524,0.30828,0.25978,0.0,0.62633,0.98223,0.29716,0.29055,0.64241,1.0,0.13306,0.13198,0.32026,0.32666,0.16245,0.16354,0.31123,0.31657,0.31983,0.3215,0.31988,0.327,0.2313,0.23354,0.32569,0.33461,0.37361,0.56528,0.59561,0.90344,0.48112,0.48275,0.32637,0.32719,0.52829,0.59845,0.50052,0.37213,0.15235,0.15322,0.31646,0.30538,0.28727,0.26908,0.33896,0.33449,0.27946,0.27741,0.32557,0.31462,0.32843,0.32922,0.3731,0.39773,0.0886,0.09018,0.32637,0.32719,0.38798,0.39586,0.34631,0.36475
sidestep,0.0693,0.07312,0.24933,0.24241,0.20467,0.20002,0.2577,0.26561,0.19727,0.20011,0.24238,0.25177,0.25088,0.45514,0.58524,0.95363,0.22453,0.22409,0.60967,1.0,0.05788,0.05423,0.26908,0.28684,0.08544,0.08618,0.24619,0.24902,0.25767,0.26081,0.25064,0.26241,0.16304,0.16462,0.25621,0.27153,0.28434,0.52052,0.56936,0.90562,0.42189,0.43256,0.27393,0.29136,0.45348,0.54484,0.47148,0.32282,0.07445,0.07674,0.26063,0.24364,0.22857,0.21374,0.27856,0.28241,0.2118,0.20684,0.27449,0.24918,0.26998,0.27247,0.30009,0.33218,0.0,0.0107,0.27393,0.29136,0.32834,0.32668,0.28764,0.30397
