id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-78,433,-1068,-1807,1632,73,365,806,-893,1947,69,-2161,-1066,-556,65,-171,-2499,1399
2,-167,227,-1262,-1634,1921,423,383,814,-1045,2313,87,-2063,-614,-202,-249,195,-2481,1497
3,-158,129,-1344,-1544,2135,774,328,530,-1087,2387,131,-1909,-1315,-123,23,269,-2437,1651
4,-137,-39,-1377,-1598,2464,952,146,307,-1362,-2267,439,-1758,-981,-229,18,613,-2129,1803
5,-83,-190,-1368,-1702,-2213,963,123,175,-1761,-1606,972,-1649,-847,-24,-36,1274,-1596,1911
6,59,-350,-1416,-1949,-2063,958,203,-3,-1684,-1285,1328,-1695,-1024,-68,31,1596,-1240,1866
7,101,-412,-1501,-2220,-1978,963,216,-71,-1651,-1243,1594,-1839,-1005,249,-65,1637,-974,1721
8,96,-515,-1616,-2344,-1894,839,222,-22,-1661,-1409,1862,-2023,-948,-119,27,1472,-706,1537
9,177,-656,-1654,-2424,-1790,606,210,97,-1594,-1557,2103,-2160,-893,-80,155,1323,-465,1400
10,175,-799,-1736,2251,-1634,277,136,203,-1475,-1554,2419,-2328,-979,-50,94,1326,-150,1233
11,217,-762,-1666,2020,-1458,1,100,257,-1311,-1751,-2311,-2454,-940,-39,43,1129,119,1106
12,94,-849,-1670,2082,-1270,-275,83,133,-1072,-1937,-2157,2387,-882,-187,18,943,273,948
13,0,-852,-1500,2096,-1007,-538,67,-40,-855,-2189,-2068,2244,-830,-149,-9,691,362,805
14,-49,-889,-1321,2159,-793,-838,74,-90,-658,-2481,-1988,2145,-842,-115,-21,400,442,706
15,-76,-896,-1137,2177,-642,-1123,151,-108,-573,2390,-2060,2046,-877,-77,-72,272,370,607
16,9,-826,-969,2340,-555,-1418,57,-69,-919,-1878,-1966,1762,-869,-60,-39,1003,464,323
17,99,-822,-929,-2483,-527,-1681,130,-30,-305,-1253,-1800,1467,-871,27,11,1627,630,28
18,94,-835,-827,-2390,-478,-1881,373,15,225,-1952,-2197,1420,-859,-1,3,929,233,-18
19,33,-708,-620,-2360,-449,-2082,406,300,162,2449,2470,1440,-897,-55,25,330,-99,1
