Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
swing,0.2846,0.27877,0.30732,0.33406,0.25698,0.25828,0.35677,0.42795,0.06711,0.04884,0.36844,0.46157,0.26091,0.43907,0.6235,1.0,0.25257,0.16641,0.55254,0.74984,0.17806,0.20403,0.49783,0.60539,0.33744,0.34277,0.30424,0.32662,0.37605,0.36601,0.38349,0.4794,0.18859,0.2312,0.37334,0.43124,0.40733,0.62173,0.62242,0.99547,0.34154,0.40185,0.51684,0.49279,0.23848,0.18227,0.56986,0.87145,0.07524,0.08193,0.30039,0.28581,0.26253,0.25139,0.33991,0.31328,0.25137,0.25297,0.31612,0.3057,0.29783,0.28605,0.39254,0.40953,0.08185,0.0,0.50311,0.60868,0.30385,0.32485,0.53467,0.65147
swing,0.2761,0.29193,0.25736,0.26872,0.18117,0.14108,0.29644,0.37214,0.04996,0.06429,0.29821,0.35758,0.20376,0.38679,0.58464,1.0,0.19081,0.09516,0.51948,0.76113,0.04637,0.0,0.42718,0.60559,0.28899,0.28479,0.25937,0.29432,0.26196,0.21689,0.32326,0.3503,0.125,0.1572,0.31709,0.38625,0.26148,0.45391,0.5637,0.92467,0.31187,0.35475,0.47215,0.5117,0.27953,0.40819,0.50445,0.67359,0.02437,0.0298,0.23864,0.22227,0.18887,0.18729,0.25987,0.24156,0.19568,0.19032,0.25021,0.22603,0.26476,0.24327,0.36309,0.47423,0.1051,0.0465,0.48633,0.5329,0.21215,0.20683,0.4536,0.49006
swing,0.40069,0.4096,0.37811,0.4119,0.3069,0.26114,0.42372,0.5,0.1558,0.15717,0.41228,0.47451,0.1573,0.00821,0.68648,0.67971,0.32343,0.31393,0.64839,0.89397,0.07581,0.0,0.52791,0.54428,0.43291,0.43965,0.38271,0.42843,0.377,0.354,0.41203,0.4721,0.22588,0.22649,0.43747,0.51062,0.26398,0.058,0.68106,1.0,0.49139,0.49694,0.5705,0.70289,0.53806,0.60112,0.60475,0.51127,0.14349,0.14845,0.35771,0.34924,0.32015,0.31113,0.39493,0.36141,0.31981,0.31323,0.38066,0.3513,0.43423,0.48292,0.49347,0.59331,0.23766,0.20715,0.62643,0.66598,0.39596,0.36252,0.45932,0.53215
swing,0.31561,0.29904,0.32121,0.35869,0.29037,0.32595,0.37038,0.4635,0.06166,0.05248,0.36373,0.42263,0.21593,0.0,0.64043,0.9934,0.26612,0.40698,0.58895,0.82475,0.12209,0.08757,0.51975,0.72014,0.37462,0.38396,0.3223,0.33593,0.38218,0.39051,0.38828,0.47389,0.17051,0.19397,0.36659,0.43578,0.32234,0.52821,0.6381,1.0,0.41077,0.41567,0.53056,0.64653,0.34746,0.47931,0.58435,0.8116,0.07349,0.07734,0.3057,0.29454,0.27197,0.25802,0.34262,0.32513,0.2481,0.24687,0.33019,0.32963,0.29379,0.27981,0.42525,0.53384,0.15161,0.12052,0.55743,0.62985,0.30887,0.30498,0.51851,0.54883
swing,0.30228,0.30811,0.28519,0.32823,0.19825,0.15732,0.33268,0.42246,0.01544,0.0,0.32601,0.38715,0.36234,0.57534,0.60171,0.99208,0.18492,0.01027,0.5829,0.89673,0.09394,0.06293,0.437,0.53665,0.30863,0.29827,0.28767,0.32138,0.30822,0.28521,0.35877,0.45521,0.09041,0.10274,0.34937,0.46474,0.30351,0.50803,0.60568,1.0,0.30541,0.36494,0.55267,0.60697,0.30419,0.44542,0.55599,0.81625,0.02431,0.03029,0.25774,0.2409,0.21096,0.2027,0.27983,0.27371,0.20426,0.20612,0.27596,0.24979,0.26251,0.23673,0.39504,0.51648,0.07888,0.06657,0.50132,0.60734,0.29724,0.29602,0.50282,0.53724
swing,0.30848,0.3248,0.31385,0.31885,0.20925,0.18553,0.32803,0.37343,0.08017,0.06746,0.3411,0.41079,0.22622,0.03058,0.61836,1.0,0.20192,0.11565,0.55469,0.85096,0.05693,0.0,0.43414,0.57184,0.31711,0.31599,0.30228,0.33898,0.29158,0.27428,0.33065,0.35848,0.13698,0.17459,0.37589,0.49388,0.19902,0.01152,0.58796,0.90549,0.34539,0.39971,0.54418,0.68536,0.39853,0.50598,0.53121,0.6946,0.06705,0.07181,0.27262,0.26281,0.23179,0.22589,0.30641,0.27762,0.24404,0.23586,0.28562,0.2632,0.37358,0.41065,0.40725,0.49064,0.16069,0.15359,0.49601,0.56061,0.34185,0.28706,0.43393,0.46712
swing,0.33704,0.33785,0.36324,0.38182,0.30132,0.30395,0.39929,0.42827,0.12542,0.11998,0.40313,0.47862,0.17648,0.0,0.64346,0.9498,0.30035,0.35304,0.58507,0.81257,0.10951,0.05055,0.51727,0.74498,0.38519,0.41069,0.37033,0.40996,0.39783,0.41069,0.40377,0.47375,0.22363,0.26967,0.41419,0.4812,0.30101,0.317,0.65687,1.0,0.45308,0.49172,0.54728,0.63985,0.38663,0.48247,0.56615,0.71197,0.11981,0.12534,0.33498,0.33351,0.30586,0.28779,0.37744,0.34379,0.294,0.2912,0.3448,0.32898,0.36512,0.37008,0.48432,0.57601,0.20638,0.14492,0.56064,0.58371,0.30932,0.28272,0.5478,0.59734
swing,0.28831,0.29232,0.29987,0.33769,0.21138,0.20662,0.35793,0.41376,0.03476,0.0,0.34142,0.40985,0.26835,0.44476,0.61724,1.0,0.22594,0.30757,0.54628,0.78333,0.09382,0.07426,0.44657,0.59093,0.30666,0.29345,0.31331,0.36422,0.33577,0.34434,0.35591,0.4461,0.10708,0.11268,0.35651,0.45774,0.30638,0.36432,0.56141,0.84514,0.33441,0.40954,0.50828,0.56497,0.24673,0.29315,0.54019,0.74177,0.04613,0.04882,0.26804,0.2572,0.23417,0.21888,0.30721,0.28326,0.22335,0.22444,0.28581,0.27059,0.22403,0.23279,0.47737,0.6139,0.11639,0.05459,0.51431,0.62219,0.22931,0.22187,0.52949,0.68167
swing,0.27852,0.28346,0.27152,0.3055,0.17666,0.18606,0.3253,0.41917,0.029,0.03171,0.32489,0.42005,0.17426,0.0,0.59514,1.0,0.16245,0.06919,0.53645,0.82758,0.09156,0.04469,0.4839,0.6128,0.27868,0.271,0.27871,0.3089,0.30157,0.31116,0.32834,0.36295,0.08856,0.09823,0.33917,0.4168,0.15959,0.03223,0.51736,0.78516,0.30618,0.38869,0.51762,0.74954,0.27103,0.39971,0.5269,0.76709,0.01961,0.02595,0.24685,0.23044,0.20214,0.19718,0.27512,0.2587,0.21081,0.20789,0.26598,0.23522,0.30244,0.39971,0.4736,0.64183,0.17401,0.14281,0.48575,0.63746,0.25364,0.25062,0.47247,0.55812
swing,0.34545,0.34709,0.33025,0.35278,0.28155,0.30076,0.38063,0.46125,0.0833,0.06929,0.38441,0.47378,0.18279,0.0,0.64407,0.99937,0.34096,0.5079,0.61965,0.89501,0.1477,0.12753,0.56882,0.7589,0.38728,0.371,0.36292,0.3979,0.37362,0.39585,0.3792,0.43618,0.18085,0.1905,0.3907,0.44298,0.33908,0.4584,0.64628,1.0,0.47274,0.50032,0.516,0.59799,0.37482,0.4901,0.58751,0.86526,0.07988,0.08698,0.31506,0.30092,0.28084,0.26401,0.35967,0.32408,0.26942,0.26685,0.3347,0.31655,0.34259,0.32171,0.48021,0.56334,0.16212,0.11489,0.55848,0.6012,0.37896,0.32909,0.51416,0.632
