id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-270,-1249,-395,1070,1288,1491,-889,228,721,906,-1812,-2277,-1031,-1376,1612,-1211,618,1283
2,-202,-1356,-337,1124,1270,1491,-874,335,770,448,-1641,-2362,-1057,-1274,1751,-1670,789,1198
3,-191,-1412,-230,1112,1330,1491,-862,473,807,240,-1475,-2350,-1003,-1458,1743,-1878,955,1210
4,-217,-1306,-306,1355,1359,1491,-760,513,1041,212,-1399,-2340,-982,-1406,1686,-1906,1030,1221
5,-229,-1392,-322,1556,1382,1491,-666,631,1035,234,-1405,-2326,-985,-1138,1564,-1883,1025,1234
6,-233,-1458,-304,1638,1412,1491,-587,950,665,640,-1316,-2265,-990,-1077,1492,-1478,1114,1295
7,-264,-1372,-322,1773,1411,1491,-661,788,586,745,-1288,-2307,-947,-971,1418,-1373,1142,1253
8,-276,-1332,-348,1944,1379,1491,-607,872,590,826,-1288,-2263,-1054,-925,1290,-1291,1142,1297
9,-292,-1298,-406,2132,1316,1491,-680,728,544,865,-1288,-2258,-1023,-961,1059,-1253,1142,1303
10,-314,-1193,-384,2332,1185,1491,-655,656,734,909,-1288,-2326,-1134,-963,899,-1208,1142,1235
11,-414,-1187,-511,2356,1009,1491,-552,726,872,954,-1288,-2340,-1067,-880,787,-1164,1142,1221
12,-563,-1204,-731,1962,972,1491,-528,736,753,1151,-1288,-2345,-1104,-801,642,-967,1142,1216
13,-589,-1008,-706,1560,1158,1491,-426,601,552,1403,-1377,-2362,-1144,-725,620,-714,1053,1198
14,-499,-707,-545,1666,1399,1600,-345,668,541,1318,-1475,-2443,-1105,-500,568,-800,955,1117
15,-404,-541,-532,2038,1550,1841,-280,499,587,1343,-1639,2435,-1118,-208,438,-775,791,996
16,-346,-539,-648,2252,1619,2136,-283,626,575,1262,-1809,2214,-989,38,418,-856,621,775
17,-282,-492,-696,2275,1681,2406,-335,673,548,1229,-1905,2113,-803,1,346,-889,525,675
18,-195,-360,-592,2336,1709,-2421,-312,672,414,1398,-1998,2161,-641,-12,577,-720,432,722
19,-149,-452,-591,2304,1693,-2309,-363,674,327,1570,-2032,2200,-684,244,341,-548,398,761
20,-144,-615,-731,2027,1674,-2206,-405,474,318,1454,-2033,2166,-393,-193,558,-664,397,728
21,-179,-623,-826,1787,1677,-2151,-459,659,415,1025,-2035,2109,-104,2000,2000,-1093,395,670
22,-246,-582,-882,1762,1748,-2228,-345,664,513,1108,-2013,2261,-2000,-1857,-747,-1010,417,822
23,-207,-553,-878,1968,1816,-2355,-451,594,477,767,-2099,2316,931,-416,999,-1351,331,877
24,-134,-645,-856,2132,1827,-2444,-557,892,407,648,-2131,-2478,-2000,-632,-436,-1470,299,1082
25,-35,-769,-925,2172,1694,-2446,-792,1009,333,869,-2168,-2408,-1700,218,-380,-1249,262,1153
26,-138,-858,-1227,2019,1461,-2296,-945,1194,208,1253,-2270,2405,-937,51,81,-864,160,966
27,-314,-784,-1296,1813,1474,-2135,-1134,1422,-218,1379,-2233,2355,-803,80,428,-739,197,917
28,-290,-588,-1070,2015,1585,-2066,-1032,1216,-382,1264,-1993,-2479,-1169,239,141,-853,437,1081
29,-234,-435,-1040,2279,1775,-1972,-920,1178,-225,1662,-1995,-2154,-876,29,105,-456,435,1406
30,-171,-312,-1182,-2330,1907,-1829,-825,1204,-393,2239,-1831,-1871,-923,-92,33,120,599,1689
31,-149,-297,-1161,-1871,2024,-1690,-797,1378,-349,-2085,-1464,-1846,-676,135,99,795,966,1715
32,-136,-603,-996,-1648,2207,-1569,-691,1117,-151,-1433,-1288,-2029,-898,282,65,1448,1142,1532
33,-174,-868,-979,-1953,2473,-1389,-495,729,-143,-1611,-1288,-2266,-898,81,88,1269,1142,1295
34,-134,-763,-888,-2249,-2270,-1228,-489,759,-149,-2438,-1288,-2357,-924,19,111,443,1142,1203
35,-114,-782,-841,-2257,-2016,-1176,-354,925,-28,1883,-1288,-2291,-837,-133,100,-235,1142,1270
36,-79,-782,-728,-2049,-1763,-1187,-269,1085,112,1981,-1365,-2163,-867,-202,66,-136,1065,1398
37,-73,-828,-679,-1846,-1526,-1190,-203,1047,136,2429,-1599,-2088,-1004,89,23,310,831,1472
38,-89,-800,-540,-1568,-1267,-1233,-164,928,204,-2411,-1825,-2108,-992,49,-13,470,605,1453
39,11,-853,-363,-1028,-1002,-1286,-56,930,348,-2168,-2142,-2140,-1008,41,-53,713,288,1420
40,32,-973,-373,-1082,-1210,-1244,30,862,427,-2178,-2437,-2233,-1008,8,-48,702,-6,1327
41,131,-831,-351,-1303,-1564,-1202,139,792,567,2497,2275,-2340,-940,-5,-20,378,-293,1220
42,109,-854,-177,-1098,-2013,-1323,224,861,634,2271,1928,-2425,-920,-46,-51,152,-641,1135
43,29,-1113,-112,-1331,-2316,-1428,177,849,723,2006,1519,2496,-874,-40,-6,-111,-1049,1057
44,-24,-970,-74,-1413,2328,-1573,208,901,823,1682,1068,2468,-1018,86,-78,-436,-1500,1029
45,-76,-1043,-36,-1166,1884,-1770,230,910,775,1647,557,2448,-881,256,145,-471,-2012,1009
46,-160,-1187,-8,-1284,1384,-1864,178,998,784,1894,92,2416,-628,-159,-75,-223,-2476,978
47,-250,-1184,-60,-1554,876,-1934,116,937,760,1954,-357,2376,-728,322,-269,-164,2073,937
48,-339,-1122,-72,-1559,418,-2071,105,978,538,2217,-748,2368,-880,-49,-1145,98,1682,929
49,-408,-1199,-148,-1592,0,-2198,90,956,353,-2159,-919,2423,-607,-423,-1052,722,1511,985
50,-417,-1219,-301,-1800,0,-2177,82,707,179,-1866,-1066,2482,-849,-334,-859,1014,1364,1043
51,-630,-1037,-253,-1873,0,-2181,-22,730,-34,-1725,-1287,2365,-1129,-384,-437,1156,1143,926
52,-2000,2000,-2000,-603,-1318,-1242,-2000,-2000,-2000,0,782,-2240,-1152,-332,-17,-2118,-1787,1321
53,790,-97,-301,1506,1927,-436,1189,2000,-801,2474,1221,775,-905,-195,160,356,-1347,-663
54,-694,60,-382,2477,-2283,-567,94,844,-408,-334,1147,1552,-246,-117,2000,-2452,-1421,113
55,-235,-1809,-372,1697,2415,-610,297,709,241,-1596,1251,1504,-1550,1508,2000,1284,-1317,65
56,116,-761,-211,941,2184,-529,323,1122,200,-1949,875,1759,-367,-1028,-1539,931,-1693,321
57,51,-931,-524,2006,2106,-742,274,1085,-68,-2163,859,1727,-1645,-118,-358,717,-1709,288
58,-41,-1081,-674,2393,2082,-614,163,1379,-251,-1992,881,1621,-647,301,-144,888,-1688,182
59,-98,-1021,-536,-2145,2161,-498,-31,1220,-340,-2186,941,1600,-902,-84,-203,694,-1627,161
60,-149,-1227,-545,-2106,2342,-508,-10,1118,-301,2406,1046,1724,-927,88,-208,287,-1523,285
