Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
turnclap,0.16905,0.17223,0.24814,0.23711,0.03051,0.02956,0.27623,0.26233,0.09342,0.09917,0.25314,0.24652,0.31215,0.50828,0.54367,0.88512,0.33794,0.49181,0.5182,0.59776,0.04242,0.0,0.43244,0.40696,0.14009,0.14379,0.27071,0.2619,0.35315,0.35485,0.26864,0.24848,0.20914,0.16924,0.2898,0.35359,0.30558,0.43362,0.50856,0.8259,0.20475,0.35083,0.49896,0.75615,0.29832,0.51829,0.57278,1.0,0.02231,0.02554,0.25981,0.22444,0.16479,0.18842,0.29526,0.24853,0.23131,0.19824,0.32178,0.28833,0.15285,0.15614,0.35675,0.43325,0.1626,0.13491,0.39518,0.54743,0.34093,0.34278,0.28754,0.35251
turnclap,0.19237,0.20876,0.31378,0.31676,0.00662,0.0003,0.35088,0.34114,0.11127,0.10938,0.3033,0.27016,0.5578,0.68071,0.61407,0.38654,0.47229,0.6132,0.61145,0.53945,0.06864,0.00358,0.59878,0.55494,0.16907,0.17022,0.32848,0.34076,0.47019,0.47162,0.33646,0.32413,0.22991,0.19692,0.3384,0.37615,0.47219,0.66496,0.66318,0.54531,0.30895,0.50374,0.67015,1.0,0.6706,0.69494,0.38768,0.39687,0.0,0.01202,0.33784,0.31173,0.16221,0.19616,0.40618,0.41967,0.29769,0.25662,0.41108,0.4288,0.22722,0.22362,0.40594,0.4424,0.18663,0.15195,0.4781,0.65463,0.32134,0.33421,0.34969,0.39133
turnclap,0.25511,0.24854,0.33633,0.35233,0.10221,0.10861,0.35503,0.35684,0.1762,0.17483,0.34787,0.3571,0.44352,0.62376,0.63866,0.91669,0.50709,0.58875,0.52356,0.55354,0.13197,0.0,0.58595,0.59024,0.23919,0.23345,0.37721,0.41962,0.48184,0.48055,0.34291,0.3399,0.30022,0.31639,0.36942,0.39005,0.44454,0.62109,0.65065,1.0,0.21008,0.02217,0.62095,0.85771,0.57939,0.64552,0.5196,0.49364,0.09501,0.10256,0.35928,0.32425,0.21845,0.2586,0.41293,0.41587,0.34043,0.30366,0.40073,0.40119,0.29832,0.28139,0.42708,0.46602,0.30279,0.34996,0.50878,0.63079,0.35887,0.39031,0.41256,0.45673
turnclap,0.22603,0.22421,0.29773,0.30463,0.07156,0.08258,0.31723,0.31689,0.12652,0.11995,0.30211,0.29757,0.33555,0.53089,0.62047,1.0,0.5456,0.63182,0.49594,0.342,0.16487,0.03384,0.5371,0.84715,0.21189,0.20851,0.33568,0.37152,0.43722,0.43811,0.3053,0.29423,0.26474,0.27923,0.34636,0.38084,0.38045,0.53805,0.59848,0.91408,0.19782,0.0,0.5553,0.76795,0.51769,0.62348,0.52536,0.40702,0.06466,0.07415,0.29723,0.27643,0.19389,0.22725,0.32277,0.34778,0.28845,0.25353,0.33779,0.32169,0.251,0.22627,0.38973,0.444,0.24554,0.29727,0.48009,0.68875,0.34784,0.37338,0.37037,0.38162
turnclap,0.20515,0.20403,0.28938,0.30965,0.12398,0.13512,0.32782,0.34506,0.11053,0.11254,0.28898,0.291,0.31113,0.52113,0.61047,0.98072,0.44508,0.59366,0.5682,0.38913,0.13453,0.0,0.53782,0.83801,0.22649,0.23808,0.31039,0.33883,0.43389,0.4319,0.3021,0.30089,0.28623,0.28089,0.32129,0.32993,0.37455,0.55049,0.60256,1.0,0.26677,0.22634,0.60308,0.94924,0.59183,0.63719,0.4292,0.3139,0.08188,0.08978,0.31054,0.28527,0.20446,0.23428,0.34824,0.37288,0.2995,0.26517,0.3569,0.35323,0.25534,0.26228,0.35139,0.40002,0.25429,0.24431,0.39539,0.46441,0.36958,0.37997,0.32399,0.3176
turnclap,0.21477,0.21148,0.30278,0.31074,0.13615,0.13934,0.31137,0.32229,0.12299,0.11077,0.31602,0.31171,0.28266,0.47094,0.5918,0.94272,0.33893,0.53938,0.58907,0.96128,0.00569,0.0,0.35101,0.36013,0.22639,0.242,0.32112,0.3413,0.41737,0.41794,0.29893,0.29182,0.26866,0.2674,0.3125,0.29447,0.27884,0.46856,0.60409,1.0,0.39776,0.52438,0.55053,0.6322,0.58953,0.61231,0.33975,0.31969,0.08537,0.09242,0.30107,0.26572,0.23418,0.23847,0.32115,0.27141,0.25011,0.23838,0.32486,0.28389,0.27262,0.30285,0.38676,0.41287,0.17436,0.16959,0.39648,0.40431,0.33578,0.3585,0.3397,0.31969
turnclap,0.19549,0.18566,0.32064,0.34084,0.09142,0.10637,0.34462,0.36812,0.12725,0.12607,0.32076,0.32567,0.44684,0.56486,0.54857,0.60396,0.52913,0.62257,0.51188,0.33291,0.10884,0.0,0.52321,0.51704,0.17201,0.1634,0.33566,0.38875,0.41512,0.418,0.29769,0.29622,0.31063,0.31124,0.33484,0.35462,0.42297,0.51699,0.52823,0.49222,0.37354,0.50753,0.57601,0.89895,0.39534,0.61292,0.62124,1.0,0.06982,0.07387,0.30643,0.27253,0.20114,0.22663,0.33977,0.33192,0.29872,0.25273,0.36883,0.3922,0.18013,0.16961,0.41996,0.4445,0.20609,0.1632,0.44279,0.53546,0.38891,0.40254,0.38666,0.37772
turnclap,0.25568,0.24403,0.36311,0.38552,0.18043,0.19097,0.37462,0.38911,0.20571,0.20113,0.36281,0.36392,0.38638,0.52104,0.58068,0.84819,0.39728,0.56953,0.59178,0.86795,0.17315,0.05321,0.53442,0.57425,0.25991,0.27575,0.37388,0.40308,0.43738,0.43508,0.34424,0.34231,0.33713,0.34864,0.3777,0.38115,0.40083,0.50191,0.57704,0.88609,0.41797,0.59125,0.5747,0.84056,0.22324,0.0,0.63502,1.0,0.15765,0.16074,0.3718,0.3351,0.25746,0.27252,0.39191,0.40949,0.34743,0.32062,0.41243,0.42957,0.2887,0.30826,0.43605,0.48935,0.27594,0.25489,0.44296,0.4359,0.46405,0.48113,0.38984,0.3662
turnclap,0.19624,0.19806,0.28054,0.30013,0.05002,0.04667,0.27003,0.28429,0.09586,0.0853,0.28902,0.27096,0.30955,0.46181,0.55856,0.86817,0.2598,0.50799,0.59971,1.0,0.08772,0.0,0.51356,0.57697,0.1843,0.18002,0.28917,0.28674,0.4025,0.39288,0.26682,0.27841,0.20766,0.19884,0.3131,0.3468,0.32148,0.52437,0.59538,0.99877,0.36958,0.58486,0.56365,0.90528,0.27657,0.45779,0.56896,0.98412,0.02266,0.0404,0.30853,0.27321,0.14685,0.19149,0.33285,0.36028,0.25276,0.21463,0.34774,0.31508,0.25328,0.24424,0.35143,0.40617,0.19268,0.17119,0.39453,0.35974,0.30085,0.28522,0.36016,0.45906
turnclap,0.22064,0.22557,0.28945,0.29791,0.0963,0.08953,0.29073,0.29274,0.11843,0.12195,0.29438,0.28049,0.30996,0.45052,0.57671,0.91411,0.40098,0.55029,0.55711,0.67798,0.15462,0.0,0.54882,0.85911,0.21897,0.21345,0.3079,0.32893,0.41896,0.41245,0.2836,0.29988,0.25081,0.23824,0.32172,0.36979,0.42206,0.57462,0.55132,0.38209,0.18247,0.0158,0.59441,1.0,0.55263,0.57346,0.36379,0.37105,0.06734,0.08261,0.30081,0.29638,0.18861,0.2227,0.35326,0.3675,0.29163,0.24497,0.35807,0.38425,0.25675,0.24506,0.34569,0.34851,0.26357,0.26545,0.39673,0.39121,0.30362,0.31753,0.33547,0.37262
turnclap,0.234,0.23744,0.32623,0.31452,0.13397,0.12958,0.3368,0.32491,0.12464,0.11697,0.33129,0.32263,0.36923,0.541,0.61751,0.95888,0.50355,0.65408,0.56774,0.37627,0.10658,0.0,0.53471,0.50794,0.23951,0.24266,0.3466,0.37632,0.44557,0.44007,0.31564,0.31034,0.24655,0.2364,0.34298,0.34857,0.36186,0.56415,0.62475,1.0,0.24901,0.36001,0.61512,0.99113,0.60633,0.6372,0.40057,0.36238,0.08729,0.09837,0.32073,0.28497,0.24162,0.24617,0.34848,0.29099,0.27482,0.2512,0.35209,0.30574,0.29589,0.28231,0.40323,0.44723,0.19639,0.23156,0.45569,0.49362,0.35313,0.36911,0.3577,0.36423
turnclap,0.13147,0.13701,0.24016,0.23377,0.06158,0.05482,0.25954,0.24658,0.02664,0.0257,0.23817,0.2153,0.35429,0.48553,0.47752,0.4183,0.33206,0.55888,0.55038,1.0,0.12148,0.04855,0.46902,0.77972,0.13804,0.1337,0.25602,0.26736,0.35608,0.3497,0.23397,0.22539,0.18421,0.19608,0.26265,0.30141,0.35144,0.52644,0.50058,0.44553,0.20019,0.27165,0.50133,0.75585,0.50544,0.52893,0.27476,0.24575,0.0,0.01547,0.23829,0.23419,0.13431,0.15176,0.28336,0.25225,0.21499,0.17986,0.27506,0.30353,0.18181,0.18208,0.30314,0.30072,0.15867,0.16263,0.36834,0.50695,0.24989,0.26437,0.26155,0.24575
turnclap,0.16714,0.15953,0.26488,0.27529,0.09013,0.07709,0.27616,0.2995,0.08488,0.07419,0.28099,0.29467,0.2625,0.45797,0.54606,0.89669,0.20366,0.29643,0.57826,1.0,0.11476,0.0,0.45095,0.73387,0.20144,0.20417,0.27206,0.27661,0.37996,0.3793,0.26683,0.24955,0.23646,0.24109,0.27528,0.29463,0.29787,0.4856,0.53071,0.87577,0.22689,0.32782,0.51519,0.7576,0.53169,0.54786,0.33104,0.27797,0.03797,0.04885,0.26357,0.25994,0.17397,0.18873,0.31223,0.27775,0.23865,0.2025,0.31515,0.32146,0.24602,0.22425,0.35928,0.39009,0.1965,0.18777,0.38143,0.52695,0.29761,0.2973,0.26453,0.28143
turnclap,0.25008,0.2564,0.32662,0.31877,0.10015,0.09226,0.33991,0.33512,0.16365,0.16384,0.34251,0.33705,0.45583,0.61046,0.61732,0.77766,0.46174,0.58724,0.60134,0.56866,0.08474,0.0,0.52061,0.4819,0.24704,0.24724,0.3415,0.34026,0.47134,0.47442,0.33334,0.31724,0.27704,0.26261,0.35497,0.38109,0.42196,0.6464,0.63739,1.0,0.36623,0.53796,0.64241,0.94939,0.63586,0.64202,0.41638,0.36459,0.0857,0.09226,0.34038,0.30706,0.21766,0.25009,0.37793,0.34143,0.30753,0.26709,0.41212,0.31556,0.31934,0.28145,0.44454,0.49733,0.22492,0.21985,0.45701,0.49224,0.36408,0.35192,0.34251,0.37294
turnclap,0.26729,0.26708,0.35015,0.35453,0.12946,0.12886,0.34862,0.35591,0.17138,0.17638,0.33785,0.33284,0.47475,0.62457,0.63133,0.50527,0.51164,0.60189,0.56754,0.39929,0.14856,0.0,0.63814,0.98334,0.24989,0.24648,0.35874,0.36089,0.49444,0.49344,0.33714,0.34541,0.32268,0.32121,0.36205,0.4055,0.53682,0.69122,0.62116,0.41664,0.22309,0.02968,0.66713,1.0,0.6266,0.65474,0.51818,0.39505,0.1113,0.11831,0.37321,0.35138,0.23555,0.26353,0.42278,0.39776,0.35868,0.30139,0.44385,0.43138,0.31428,0.29774,0.39272,0.3849,0.33265,0.32998,0.45154,0.51947,0.40452,0.37691,0.36512,0.41107
turnclap,0.22655,0.22962,0.31359,0.30829,0.10749,0.0993,0.32715,0.30754,0.12349,0.12463,0.3021,0.28577,0.38906,0.60786,0.60163,0.94874,0.45226,0.59715,0.5482,0.45322,0.07947,0.0,0.51727,0.48528,0.22116,0.22364,0.32015,0.32869,0.4325,0.43657,0.32462,0.29625,0.25038,0.23967,0.32705,0.34571,0.37367,0.59648,0.61135,1.0,0.31443,0.4343,0.58353,0.93375,0.53743,0.58851,0.50223,0.38872,0.06926,0.08081,0.31726,0.26874,0.22652,0.23066,0.34306,0.28022,0.26158,0.23806,0.35873,0.27259,0.28798,0.26633,0.37024,0.40134,0.22231,0.19718,0.44,0.56205,0.35343,0.32788,0.33193,0.38488
turnclap,0.18212,0.19075,0.2854,0.2693,0.04253,0.02812,0.30848,0.28967,0.07658,0.07731,0.27708,0.25896,0.48548,0.63086,0.54803,0.38372,0.57949,0.62848,0.40144,0.32353,0.16261,0.03581,0.58671,0.91115,0.16051,0.16529,0.29247,0.30213,0.4222,0.42207,0.30174,0.26654,0.22236,0.21123,0.30863,0.33274,0.45656,0.62273,0.58157,0.36996,0.27289,0.40073,0.60573,1.0,0.58632,0.60323,0.39284,0.31638,0.0,0.0226,0.2928,0.27797,0.16041,0.19259,0.34308,0.36113,0.27103,0.20776,0.34567,0.36687,0.22325,0.20397,0.3393,0.34032,0.22407,0.18132,0.42761,0.5081,0.30842,0.29476,0.2999,0.32814
turnclap,0.20063,0.20323,0.29302,0.31567,0.08327,0.08973,0.31444,0.33482,0.10086,0.1007,0.30863,0.29352,0.30949,0.51885,0.61579,1.0,0.36175,0.54893,0.57591,0.94462,0.17595,0.0,0.59245,0.89808,0.20939,0.21045,0.31731,0.34382,0.4277,0.43248,0.31988,0.30048,0.25502,0.26095,0.32273,0.30759,0.33784,0.54151,0.6124,0.99756,0.21154,0.00752,0.58273,0.89259,0.52187,0.61457,0.52252,0.38345,0.03891,0.04979,0.30389,0.29667,0.19251,0.2137,0.36165,0.36978,0.28613,0.24225,0.36703,0.40789,0.23543,0.24256,0.41434,0.40545,0.26099,0.28981,0.4393,0.60217,0.3459,0.34397,0.32936,0.36053
turnclap,0.22959,0.23012,0.29629,0.30415,0.13514,0.13855,0.31911,0.32065,0.11564,0.10266,0.32038,0.29049,0.36879,0.55832,0.60174,0.93427,0.36057,0.60448,0.6302,1.0,0.02994,0.0,0.42918,0.38308,0.24076,0.23422,0.31624,0.32895,0.4235,0.4331,0.32945,0.31562,0.22369,0.21324,0.32936,0.35734,0.37855,0.61529,0.61349,0.99469,0.43123,0.54033,0.52052,0.43016,0.51564,0.60457,0.51736,0.38793,0.08681,0.08932,0.29912,0.27538,0.23284,0.23487,0.31503,0.28788,0.24615,0.23515,0.32064,0.29343,0.27486,0.28485,0.411,0.3649,0.16592,0.11086,0.42215,0.42825,0.35418,0.35487,0.3412,0.35347
turnclap,0.25884,0.24988,0.32638,0.33643,0.16696,0.16765,0.34491,0.35883,0.13612,0.13626,0.32379,0.32588,0.54124,0.68442,0.62984,0.436,0.62944,0.70745,0.53364,0.44047,0.1629,0.0,0.62208,0.96982,0.24964,0.2455,0.33995,0.34488,0.48478,0.48839,0.33177,0.33852,0.292,0.29478,0.36837,0.40398,0.6282,0.71494,0.57017,0.35902,0.26909,0.04918,0.6609,1.0,0.65049,0.64963,0.3516,0.38463,0.1047,0.12042,0.35369,0.35562,0.24332,0.26611,0.40108,0.35698,0.34256,0.3044,0.41142,0.41846,0.31765,0.31296,0.34347,0.3563,0.29615,0.30644,0.45106,0.57231,0.37083,0.37001,0.35157,0.38463
turnclap,0.21495,0.21171,0.30313,0.29684,0.1033,0.10118,0.33025,0.32561,0.12003,0.11062,0.31458,0.31559,0.3584,0.58521,0.62719,1.0,0.42396,0.55495,0.56347,0.65223,0.15002,0.04529,0.54509,0.87921,0.22121,0.21306,0.32131,0.32609,0.43704,0.43729,0.29731,0.28976,0.25356,0.2569,0.33525,0.35013,0.44707,0.64312,0.59973,0.72807,0.1675,0.0,0.57434,0.84365,0.55787,0.59292,0.42794,0.32739,0.05904,0.07324,0.3044,0.30662,0.19659,0.21277,0.3475,0.29106,0.2822,0.23397,0.3766,0.37446,0.27969,0.27666,0.35077,0.32652,0.25452,0.27068,0.44639,0.51742,0.32074,0.31906,0.33032,0.34122
turnclap,0.20393,0.19747,0.31455,0.31253,0.06543,0.05702,0.34311,0.33549,0.11448,0.10826,0.323,0.30499,0.41405,0.61191,0.64068,1.0,0.46436,0.67562,0.62775,0.72544,0.10991,0.0,0.55915,0.56209,0.19968,0.18931,0.33986,0.34388,0.46461,0.46126,0.30871,0.3076,0.25077,0.22989,0.34931,0.37431,0.49263,0.67063,0.63058,0.36128,0.3807,0.54072,0.61564,0.97727,0.63099,0.67211,0.46506,0.3458,0.03991,0.04682,0.31988,0.3046,0.16955,0.18217,0.33064,0.35317,0.27838,0.23114,0.37199,0.38491,0.26035,0.23851,0.37531,0.37352,0.18797,0.14317,0.47902,0.56425,0.35203,0.35379,0.34681,0.3517
turnclap,0.22167,0.21785,0.31499,0.31694,0.12742,0.12569,0.32931,0.35609,0.15497,0.15496,0.33222,0.32982,0.48628,0.61631,0.56559,0.47181,0.51794,0.61299,0.51078,0.43722,0.13977,0.0,0.5896,0.9144,0.2338,0.23144,0.33253,0.3606,0.46468,0.45841,0.30938,0.32122,0.30402,0.29091,0.32896,0.36507,0.52096,0.65175,0.58798,0.35609,0.21438,0.03325,0.63404,1.0,0.61752,0.6394,0.42332,0.34345,0.09672,0.10451,0.3418,0.32953,0.22362,0.22811,0.38089,0.39936,0.32024,0.28141,0.39282,0.44288,0.2867,0.27286,0.3513,0.36616,0.29029,0.2987,0.42951,0.48634,0.37381,0.36673,0.33254,0.34212
turnclap,0.25461,0.25461,0.33905,0.35688,0.15998,0.16313,0.35019,0.35978,0.17982,0.15926,0.37056,0.3655,0.51335,0.62588,0.56584,0.43711,0.51969,0.62717,0.55181,0.50493,0.07184,0.0,0.50565,0.49982,0.27298,0.25968,0.34855,0.36324,0.4707,0.47233,0.35616,0.34365,0.28227,0.27757,0.35703,0.37044,0.42726,0.63086,0.64574,0.97768,0.32447,0.4881,0.6329,1.0,0.56583,0.61167,0.49325,0.45048,0.12353,0.1315,0.34348,0.31806,0.28093,0.28034,0.375,0.32949,0.29728,0.27388,0.38899,0.34378,0.31511,0.30902,0.42004,0.42729,0.2445,0.20389,0.45906,0.50009,0.36775,0.36822,0.39656,0.43259
turnclap,0.23621,0.23779,0.2981,0.30319,0.14641,0.14795,0.3197,0.34391,0.10785,0.09925,0.33383,0.3078,0.44703,0.58331,0.56352,0.45888,0.39363,0.63644,0.62556,1.0,0.14439,0.0,0.55932,0.90795,0.20435,0.19711,0.31845,0.32223,0.42034,0.41692,0.32139,0.30351,0.28283,0.26463,0.35302,0.41323,0.39402,0.52474,0.57806,0.63833,0.34907,0.50371,0.57039,0.86344,0.36838,0.48407,0.60086,0.97035,0.08341,0.09279,0.32173,0.30969,0.19733,0.2305,0.37042,0.38394,0.30242,0.27598,0.36016,0.40931,0.22421,0.24628,0.41519,0.45879,0.23066,0.16861,0.43107,0.55481,0.38161,0.41055,0.39,0.47406
