id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,1374,692,1204,-2118,1650,-877,861,-1255,927,1082,547,1786,-216,100,-60,-1036,-2021,347
2,1169,593,1143,-1481,1162,-795,787,-1010,954,762,426,1272,-324,54,-95,-1356,-2142,-166
3,987,269,1134,-721,665,-706,669,-710,879,262,349,844,-420,-38,-140,-1856,-2219,-594
4,668,-109,1030,-230,218,-450,565,-52,982,0,351,558,-615,-77,-176,-2118,-2217,-880
5,399,-500,956,-55,0,-154,468,537,1157,0,229,418,-287,818,2000,-2118,-2339,-1020
6,52,-974,511,-87,0,-34,344,959,928,0,38,341,-2000,654,823,-2118,2469,-1097
7,-461,-1511,-411,-738,0,41,158,1786,-24,0,-58,431,-646,-847,-2000,-2118,2372,-1007
8,-763,-1595,-1043,-937,61,-74,220,2000,-691,968,248,808,-1006,-349,209,-1149,-2320,-630
9,-1015,-2000,-1763,-1290,849,-327,200,2000,-915,2333,645,1397,-1794,281,-330,214,-1924,-40
10,-1134,-2000,-2000,-1907,1815,-621,46,2000,-1491,-1851,1098,1855,-838,233,-698,1029,-1470,416
11,-1129,-2000,-2000,2169,-1843,-945,-13,2000,-1433,-1692,1635,2381,-1287,84,-434,1188,-933,943
12,-739,-2000,-1933,1626,-845,-1132,178,2000,-915,-1857,2146,-2194,-1067,-144,-610,1023,-422,1366
13,-577,-2000,-1198,1459,-158,-1346,370,1828,-464,-1688,2327,-1889,-1483,43,-565,1193,-241,1671
14,-303,-2000,-352,745,0,-1577,618,1456,107,-1107,2372,-1573,-1179,-295,-445,1773,-196,1987
15,165,-2000,641,0,0,-1837,902,691,646,-799,2303,-1344,-895,-424,64,2082,-265,2216
16,455,-1433,1121,0,0,-1780,874,324,1061,-641,2057,-1296,-910,464,755,2239,-511,2264
17,795,-281,1277,0,-19,-1709,943,-202,1112,-239,1839,-1492,-968,112,255,-2357,-729,2069
18,1453,896,1686,510,-522,-1746,1029,-1170,1465,-674,1798,-1707,-461,183,95,2206,-770,1854
19,1866,1148,1853,-2347,-1488,-1891,1257,-2000,1920,2491,1329,-2167,-380,247,0,372,-1239,1393
20,1794,778,1734,-1667,2471,-1618,1105,-2000,1395,1014,519,2140,-265,4,-51,-1104,-2049,701
21,1516,809,1617,-1759,1551,-1137,837,-1452,761,1181,253,1414,-277,-28,-124,-936,-2315,-24
22,1144,705,1329,-1225,915,-847,822,-1197,679,1080,277,972,-240,-36,-176,-1037,-2291,-466
23,755,357,1089,-366,474,-694,647,-572,762,290,312,702,-341,-17,-220,-1827,-2256,-736
24,476,-180,946,0,94,-503,519,341,896,0,386,491,-435,-62,-210,-2118,-2182,-946
25,113,-866,463,0,0,-244,385,1213,728,259,247,479,-389,-19,549,-1859,-2321,-958
26,-471,-1557,-525,-262,0,14,299,1921,191,867,217,729,-2000,629,380,-1251,-2351,-709
27,-511,-1271,-776,-434,325,-46,258,2000,-223,1284,288,1237,-257,-560,-2000,-833,-2280,-201
28,-1128,-2000,-1855,-690,976,-273,188,2000,-740,1786,481,1655,-1868,-404,-73,-332,-2087,216
29,-1364,-2000,-2000,-1789,2128,-557,-25,2000,-1417,-2401,590,1977,-1444,45,-309,480,-1979,538
30,-1062,-2000,-2000,-2363,-1774,-1003,-365,2000,-1774,-1286,1178,2288,-935,275,-682,1595,-1390,849
31,-797,-2000,-1802,1790,-1017,-1235,-195,1862,-1220,-1037,1928,-2428,-1504,75,-571,1844,-640,1133
32,-565,-2000,-961,397,-499,-1382,-20,1426,-847,-1338,2467,-2324,-1371,-35,-724,1542,-101,1237
33,-225,-1866,-259,0,-112,-1435,119,1400,-343,-1093,-2162,-2189,-1180,0,-353,1787,268,1372
34,378,-1347,453,0,0,-1557,559,1088,379,-376,-1831,-2079,-701,-208,131,-2494,599,1481
35,698,-876,832,0,-173,-1594,1510,224,1525,-16,-1860,-2002,-893,549,529,-2135,570,1558
36,809,41,870,15,-271,-1551,1159,-358,1589,-442,2425,-1962,-829,191,302,2439,-144,1598
37,1258,453,1378,895,-314,-1582,991,-458,1197,-685,2159,-2035,-536,149,141,2196,-409,1525
38,1853,928,1947,2110,-1175,-1595,1252,-1320,1691,-1101,2094,-2090,-414,93,41,1779,-474,1471
39,1673,813,1614,-2237,-2195,-1428,1331,-2000,2000,2114,1476,-2262,-380,-16,22,-4,-1092,1298
40,1558,814,1418,-1753,2048,-1231,1037,-1330,1345,887,828,2220,-369,23,-56,-1230,-1740,781
41,1299,543,1242,-1048,1328,-1000,957,-805,982,1042,651,1718,-343,36,-64,-1075,-1917,279
42,1028,166,1092,-419,800,-810,979,-650,1199,741,469,1378,-375,-2,-107,-1377,-2099,-60
43,704,-302,957,-51,357,-611,770,-185,1229,0,241,1130,-500,15,-167,-2118,-2327,-308
44,419,-590,827,0,0,-404,563,499,1172,0,45,835,-556,36,-13,-2118,2476,-603
45,-64,-1084,276,0,0,-201,326,1051,887,0,-238,596,-867,1797,1527,-2118,2192,-842
46,-533,-1487,-532,-387,0,3,136,2000,-18,488,-375,720,-2000,-367,-1247,-1629,2055,-718
47,-760,-1725,-1199,-938,312,3,202,2000,-794,1396,-92,1043,-73,-734,-409,-722,2338,-394
48,-1264,-2000,-2000,-1506,1184,-210,55,2000,-1439,2185,250,1400,-2000,-221,-380,66,-2319,-38
49,-1294,-2000,-2000,-2361,2453,-591,-124,2000,-1843,-1316,703,1791,-880,-204,-493,1565,-1866,353
50,-986,-2000,-2000,-2369,-1623,-1070,-363,2000,-1861,-781,1516,2181,-1033,107,-307,2099,-1052,743
51,-717,-2000,-1659,2317,-921,-1434,-106,1734,-1092,-1033,2371,2445,-890,-184,-409,1847,-197,1007
52,-538,-2000,-960,1263,-423,-1613,65,1420,-512,-1384,-2205,-2320,-988,-149,-352,1496,225,1241
53,-299,-1841,-360,329,-32,-1645,222,1326,97,-1332,-2037,-2023,-1189,-73,-366,1549,393,1537
54,-7,-1174,250,271,0,-1687,472,1047,585,-737,-2071,-1885,-1288,91,-372,2144,359,1676
55,384,-787,748,697,0,-1739,726,515,959,-474,-2114,-1853,-1335,-173,-335,2407,316,1707
56,756,-646,1087,782,0,-1736,879,-25,1192,-614,-2266,-1889,-661,458,-47,2266,164,1672
57,1193,-84,1432,690,-363,-1594,1114,-378,1325,-791,-2459,-2010,-751,237,353,2089,-28,1550
58,1570,493,1646,1112,-1004,-1428,1372,-1149,1568,-962,2277,-2129,-724,296,508,1918,-291,1431
59,1669,759,1755,1740,-1725,-1346,1427,-1936,1872,-2106,1833,-2392,-609,-94,359,774,-735,1168
60,1624,797,1467,2364,2466,-1301,1216,-1763,1645,1492,1135,2190,-449,142,183,-625,-1434,752
61,1380,607,1232,-2119,1793,-1165,935,-1092,1078,1057,687,1764,-369,132,21,-1061,-1881,325
62,1171,431,1103,-1589,1290,-978,957,-849,1099,1162,528,1398,-377,83,-62,-955,-2040,-40
63,994,118,970,-1080,862,-834,880,-625,1204,580,284,1090,-423,63,-53,-1538,-2284,-348
64,760,-74,852,-623,450,-654,678,-41,1290,0,106,834,-490,93,-87,-2118,-2463,-604
65,529,-413,834,-178,64,-456,506,395,1263,0,-40,656,-592,39,-244,-2118,2390,-782
66,142,-836,569,-108,0,-277,341,743,1141,0,-274,451,-342,521,1267,-2118,2156,-986
67,-276,-1238,-104,-415,0,-127,141,1315,465,0,-433,298,-2000,102,648,-2118,1996,-1140
68,-545,-1000,-709,-469,4,-34,29,1704,-402,768,-347,266,-876,-691,-1861,-1350,2083,-1172
69,-786,-1628,-1171,-334,581,-9,-182,2000,-928,1863,279,521,-1552,0,-85,-254,-2289,-917
70,-1103,-2000,-1795,-1052,1473,0,-260,2000,-870,2277,826,943,-1189,29,-305,158,-1743,-495
71,-1076,-2000,-2000,-2038,-2474,-194,-479,2000,-1151,2425,1426,1502,-940,190,-347,307,-1142,64
72,-1036,-2000,-1800,2218,-1680,-615,-559,2000,-905,-2015,2238,2497,-1074,90,-267,865,-330,1058
73,-898,-2000,-1394,2178,-1102,-1158,-218,2000,-387,-1914,-2357,-1766,-837,-26,-292,966,73,1794
74,-859,-2000,-977,1749,-524,-1605,-48,2000,-30,-1511,-2216,-1298,-890,-84,-215,1369,214,2263
75,-610,-2000,-327,734,0,-1904,188,1462,381,-1011,-2160,-1093,-1019,-145,-296,1870,270,2467
76,-230,-1728,404,55,0,-2075,321,949,697,-437,-2208,-1020,-1246,-43,-299,2443,222,-2459
77,147,-914,932,46,0,-2082,659,403,1022,0,-2088,-1047,-1298,-149,-386,-2118,342,-2486
78,869,-459,1479,408,0,-1988,885,-124,1395,0,-2174,-1141,-1161,-204,-197,-2118,256,2419
79,1536,48,1846,853,-489,-2044,859,-609,1465,0,-2397,-1250,-674,-213,58,-2118,33,2311
80,1525,335,1477,1414,-1473,-1904,1244,-1952,1892,-892,2240,-1699,-736,378,492,1988,-328,1861
81,1525,752,1195,1727,-2140,-1583,1319,-2000,1758,2215,1404,-2452,-721,365,444,96,-1164,1109
82,1573,1064,1111,-2451,2334,-1306,875,-1483,1386,1536,792,1801,-564,417,250,-582,-1776,362
