Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,acc_lh_x_mean,acc_lh_x_median,acc_lh_x_std,acc_lh_x_iqr,acc_lh_y_mean,acc_lh_y_median,acc_lh_y_std,acc_lh_y_iqr,acc_lh_z_mean,acc_lh_z_median,acc_lh_z_std,acc_lh_z_iqr,gyro_lh_x_mean,gyro_lh_x_median,gyro_lh_x_std,gyro_lh_x_iqr,gyro_lh_y_mean,gyro_lh_y_median,gyro_lh_y_std,gyro_lh_y_iqr,gyro_lh_z_mean,gyro_lh_z_median,gyro_lh_z_std,gyro_lh_z_iqr,acc_leg_x_mean,acc_leg_x_median,acc_leg_x_std,acc_leg_x_iqr,acc_leg_y_mean,acc_leg_y_median,acc_leg_y_std,acc_leg_y_iqr,acc_leg_z_mean,acc_leg_z_median,acc_leg_z_std,acc_leg_z_iqr,gyro_leg_x_mean,gyro_leg_x_median,gyro_leg_x_std,gyro_leg_x_iqr,gryo_leg_y_mean,gryo_leg_y_median,gryo_leg_y_std,gryo_leg_y_iqr,gryo_leg_z_mean,gryo_leg_z_median,gryo_leg_z_std,gryo_leg_z_iqr
wipers,0.27019,0.26092,0.44785,0.62123,0.03831,0.00665,0.47238,0.73701,0.24468,0.36312,0.51912,0.72715,0.16409,0.17204,0.52752,0.65627,0.25042,0.22514,0.47925,0.49816,0.00501,0.0,0.37034,0.51135,0.33758,0.33731,0.33811,0.40469,0.35231,0.4192,0.53253,0.82452,0.32159,0.39592,0.459,0.59238,0.23816,0.22514,0.50037,0.65845,0.31018,0.30967,0.54257,0.57168,0.23151,0.34694,0.58925,0.92448,0.02978,0.03406,0.33716,0.39357,0.23561,0.2326,0.30732,0.28558,0.20085,0.19199,0.37082,0.32888,0.1823,0.08671,0.59778,1.0,0.07937,0.05299,0.5712,0.74091,0.31965,0.30542,0.48742,0.69245
wipers,0.26298,0.23704,0.43502,0.58674,0.04551,0.01015,0.44833,0.63652,0.23978,0.29257,0.49571,0.69215,0.19623,0.15758,0.53995,0.76856,0.22534,0.23517,0.47041,0.46309,0.01489,0.0,0.36592,0.45807,0.32445,0.29443,0.34603,0.41818,0.36066,0.43243,0.51073,0.74867,0.34514,0.37742,0.44098,0.57218,0.22011,0.23517,0.48043,0.58995,0.25613,0.27848,0.56167,0.71676,0.21254,0.32126,0.56504,0.83383,0.05598,0.05905,0.32806,0.37001,0.23885,0.24087,0.29525,0.28392,0.21428,0.19207,0.35833,0.32261,0.2128,0.16928,0.58572,1.0,0.19866,0.19694,0.5429,0.59352,0.35689,0.38342,0.48343,0.68599
wipers,0.2778,0.24851,0.41847,0.55299,0.06274,0.03148,0.42731,0.60739,0.25144,0.31496,0.47287,0.62188,0.1875,0.1371,0.52152,0.74939,0.21467,0.22923,0.44439,0.42053,0.00572,0.0,0.35517,0.45506,0.32855,0.30167,0.33741,0.42393,0.32656,0.34884,0.48989,0.72236,0.34856,0.40899,0.42769,0.55773,0.16665,0.15518,0.44785,0.463,0.25384,0.25711,0.54492,0.70122,0.18158,0.24821,0.5562,0.82553,0.06276,0.07045,0.33606,0.38116,0.23099,0.22813,0.29977,0.27899,0.21081,0.18876,0.34129,0.31411,0.22206,0.22643,0.58164,1.0,0.22962,0.21274,0.52866,0.57267,0.37283,0.42948,0.45262,0.62908
wipers,0.32707,0.33385,0.44681,0.61653,0.09692,0.05169,0.45979,0.6643,0.28952,0.39697,0.49742,0.66382,0.20406,0.18429,0.55476,0.80543,0.25369,0.24752,0.4895,0.51401,0.01167,0.0,0.37214,0.45793,0.36722,0.36255,0.37007,0.47376,0.33745,0.34264,0.51643,0.75661,0.37269,0.45374,0.45852,0.60695,0.2008,0.22571,0.48878,0.5488,0.24995,0.26267,0.57049,0.88566,0.21248,0.33745,0.61352,0.94853,0.07101,0.07668,0.35459,0.38484,0.25521,0.2525,0.3271,0.31775,0.22899,0.21024,0.3473,0.35815,0.22643,0.22242,0.60992,1.0,0.23531,0.23407,0.56909,0.65985,0.38209,0.44866,0.46568,0.64259
wipers,0.30187,0.27456,0.44082,0.60803,0.07094,0.04352,0.44108,0.6527,0.27011,0.36369,0.4868,0.62842,0.17383,0.11384,0.54861,0.818,0.22828,0.23651,0.48103,0.5006,0.02129,0.0,0.34623,0.41562,0.34586,0.30136,0.36872,0.46881,0.3602,0.38272,0.48531,0.72728,0.36288,0.42697,0.45211,0.59931,0.23941,0.23651,0.47253,0.5611,0.20364,0.1911,0.53536,0.72944,0.22201,0.37536,0.62427,1.0,0.05764,0.06811,0.32805,0.35928,0.24394,0.24733,0.30696,0.29816,0.2158,0.20781,0.33878,0.34535,0.14443,0.03143,0.58123,0.92516,0.26572,0.28696,0.55391,0.84028,0.3575,0.41657,0.41749,0.55984
wipers,0.27723,0.25593,0.43555,0.60135,0.048,0.02282,0.42316,0.59313,0.25157,0.33171,0.48202,0.6686,0.16957,0.09473,0.55625,0.82362,0.21782,0.23175,0.46469,0.47087,0.03248,0.0,0.35614,0.45491,0.32967,0.28482,0.36004,0.4445,0.3799,0.44811,0.47393,0.69006,0.34849,0.40216,0.44892,0.63055,0.24247,0.23175,0.46231,0.58026,0.1762,0.177,0.52053,0.69038,0.23869,0.39807,0.61777,1.0,0.05104,0.06825,0.32594,0.37028,0.23523,0.24085,0.29813,0.29654,0.20718,0.19584,0.33748,0.33035,0.15878,0.06385,0.58154,0.98676,0.28163,0.29916,0.5526,0.83561,0.34091,0.38886,0.40671,0.54006
wipers,0.29939,0.2692,0.46468,0.61771,0.07565,0.02773,0.46908,0.63232,0.2692,0.34134,0.50577,0.70217,0.22962,0.14501,0.61586,0.95118,0.25909,0.25932,0.51,0.5588,0.0472,0.0,0.41891,0.51944,0.35353,0.31074,0.39265,0.48656,0.40595,0.47424,0.51132,0.73611,0.35901,0.37299,0.47471,0.64942,0.23599,0.25932,0.52938,0.68427,0.20444,0.21205,0.5625,0.79183,0.29762,0.42972,0.63197,1.0,0.07004,0.08584,0.34762,0.3825,0.26043,0.26612,0.31513,0.32105,0.22885,0.21895,0.35842,0.35074,0.27276,0.28482,0.59879,0.91034,0.30039,0.32179,0.57994,0.84766,0.37924,0.41326,0.45585,0.5894
wipers,0.28379,0.28006,0.44961,0.62248,0.07112,0.04312,0.47073,0.65306,0.26019,0.34782,0.47677,0.6568,0.20785,0.09614,0.61464,0.97245,0.22475,0.24156,0.50737,0.56242,0.0681,0.0,0.50358,0.62276,0.33829,0.297,0.37766,0.47366,0.38694,0.45199,0.48669,0.67039,0.34375,0.37444,0.4701,0.62919,0.18336,0.21813,0.5252,0.6623,0.17397,0.16027,0.55079,0.74788,0.21968,0.34815,0.62494,1.0,0.04383,0.04774,0.32194,0.3663,0.24131,0.24002,0.3,0.30442,0.20952,0.20097,0.33465,0.31988,0.2558,0.28941,0.58392,0.91101,0.31913,0.35398,0.56089,0.77604,0.37292,0.41921,0.46514,0.62743
wipers,0.28688,0.28917,0.44795,0.61834,0.06919,0.06426,0.4665,0.65988,0.27418,0.38109,0.46516,0.62694,0.18747,0.08583,0.60146,0.92231,0.22284,0.23581,0.50344,0.54289,0.05194,0.0,0.51783,0.70256,0.34615,0.32314,0.35899,0.44277,0.37469,0.41184,0.48906,0.6822,0.36417,0.44799,0.46314,0.61914,0.19087,0.23581,0.51335,0.6371,0.15917,0.1548,0.57102,0.82604,0.16265,0.25027,0.62189,0.93671,0.02825,0.03741,0.31687,0.36784,0.24052,0.23972,0.29802,0.30013,0.20798,0.19255,0.32447,0.32985,0.21862,0.16903,0.60973,1.0,0.29865,0.29904,0.56989,0.82391,0.38225,0.4636,0.48389,0.6822
wipers,0.33273,0.35162,0.49801,0.66661,0.13314,0.1358,0.49869,0.6963,0.3369,0.44921,0.52232,0.66874,0.25754,0.2275,0.63374,0.96561,0.27421,0.27913,0.53139,0.54948,0.05951,0.0,0.50464,0.64898,0.38809,0.38349,0.38459,0.45723,0.37464,0.37094,0.54602,0.76088,0.4316,0.52377,0.49976,0.65788,0.23869,0.27913,0.54397,0.67595,0.23173,0.25719,0.61316,0.89165,0.22193,0.20425,0.63541,0.91665,0.08469,0.08689,0.35492,0.41008,0.29082,0.28579,0.32837,0.31952,0.25632,0.23689,0.35947,0.37476,0.26509,0.2156,0.63433,1.0,0.28485,0.30348,0.59699,0.75203,0.43083,0.49517,0.53459,0.73167
