id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-144,-1715,333,2225,-1924,-1927,-837,-23,-328,139,-402,-173,-798,-344,45,-968,-126,650
2,-173,-1743,252,2096,-1936,-1927,-934,-68,-330,-519,-352,-347,-979,85,85,-1627,-76,476
3,-208,-1771,96,2393,-1833,-1927,-1051,119,-282,-868,-251,-496,-928,-95,38,-1975,24,327
4,-270,-1832,-116,2464,-1663,-1927,-1166,286,-252,-683,-169,-592,-935,-107,6,-1790,106,231
5,-368,-1727,-256,2417,-1443,-1927,-1209,305,-194,-291,-98,-642,-1159,-64,-87,-1398,177,181
6,-352,-1597,-395,2472,-1173,-1927,-1241,288,-160,-222,-59,-665,-1569,-203,-185,-1329,215,158
7,-353,-1572,-493,2440,-918,-1927,-1164,287,-136,-358,-6,-668,-1901,-646,-248,-1466,269,155
8,-369,-1355,-572,2308,-670,-1927,-1012,369,-97,-489,84,-652,-1957,-714,-46,-1596,360,171
9,-347,-1142,-485,2304,-498,-1927,-886,443,-22,-556,158,-619,-1056,-1256,493,-1663,434,204
10,-300,-880,-473,2305,-349,-1927,-749,446,63,-567,193,-608,-593,-536,1660,-1674,468,215
11,-212,-654,-362,2273,-185,-1927,-704,426,152,-625,195,-636,-454,-1134,1503,-1733,470,187
12,-132,-449,-181,2277,-38,-1927,-684,466,237,-635,153,-732,-419,-1411,685,-1742,429,91
13,-35,-171,-76,2392,34,-1927,-722,504,269,-599,107,-876,-373,-1050,301,-1706,382,-52
14,54,121,-2,-2381,6,-1927,-736,567,296,-529,72,-979,-401,197,-93,-1636,347,-155
15,115,231,42,-2266,-68,-1927,-719,567,344,-535,56,-1001,-571,249,141,-1642,332,-177
16,147,325,103,-2345,-123,-1927,-706,527,373,-601,23,-971,-463,-157,29,-1709,299,-147
17,183,556,223,-2322,-126,-1706,-706,508,376,-685,-12,-923,-460,-425,127,-1792,263,-99
18,194,743,354,-1942,-103,-1449,-723,513,382,-717,-40,-876,-569,-371,147,-1824,234,-52
19,211,796,439,-1425,-70,-1198,-732,519,394,-703,-82,-840,-612,-248,271,-1810,193,-16
20,237,785,491,-935,-60,-980,-748,507,409,-705,-113,-823,-673,-578,328,-1812,161,0
21,229,764,546,-587,-59,-793,-740,494,417,-724,-143,-820,-781,-513,410,-1831,131,3
22,249,807,663,-242,-58,-582,-718,479,387,-734,-171,-824,-926,-235,503,-1842,104,0
23,261,793,695,132,-96,-356,-692,465,370,-755,-202,-836,-1036,-173,544,-1863,72,-12
24,308,783,762,559,-164,-106,-707,468,348,-741,-234,-863,-1141,-222,572,-1848,41,-39
25,357,755,828,994,-289,195,-726,453,337,-698,-257,-912,-1168,-149,612,-1806,17,-88
26,332,626,851,1264,-459,540,-750,443,321,-679,-269,-967,-1201,-160,620,-1787,5,-143
27,195,648,848,1264,-635,979,-813,421,319,-707,-272,-1024,-1230,-107,659,-1815,2,-200
28,-2,696,920,1264,-746,1611,-872,397,302,-772,-256,-1076,-1132,8,803,-1879,18,-252
29,-386,587,970,1264,-854,2462,-963,418,296,-817,-244,-1132,-780,170,993,-1925,30,-308
30,-844,419,863,1264,-984,-1927,-1065,427,261,-832,-226,-1203,-526,173,1072,-1939,48,-379
31,-1416,135,611,1264,-1174,-1927,-1194,449,198,-786,-187,-1302,-282,100,1212,-1894,87,-478
32,-1990,-199,285,1133,-1321,-1927,-1216,444,117,-746,-114,-1359,167,-61,1513,-1854,160,-535
33,-2000,-368,-29,126,-1559,-1927,-1153,425,78,-801,-49,-1303,-429,-587,2000,-1908,226,-479
34,-2000,-520,-266,-514,-1908,-1927,-1086,436,46,-842,-21,-1151,-2000,371,-2000,-1950,253,-327
35,-2000,-779,-300,-679,-2179,-1927,-1051,497,-18,-801,-74,-947,-2000,154,1147,-1909,200,-123
36,-2000,-1016,-160,-601,-2378,-1927,-1082,583,-21,-604,-225,-780,1273,332,439,-1711,49,43
37,-2000,-1733,-20,-1014,2424,-1927,-1256,585,-107,-296,-341,-771,-1011,40,328,-1403,-66,52
38,-2000,-2000,-834,-1623,-2490,-1927,-1290,604,-187,23,-413,-875,-2000,615,518,-1083,-137,-51
39,-2000,-2000,-993,-2099,-2205,-1927,-1298,628,-266,219,-410,-992,-865,401,-74,-887,-134,-168
