id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
1,-490,-1734,-1196,-1427,2500,-2498,-190,2000,-594,754,2500,2500,-1704,698,123,754,2500,2500
2,-366,-630,-546,-140,2500,-2500,-125,1699,47,1877,2500,2500,-1258,499,0,1877,2500,2500
3,-425,-245,-185,235,2500,-2500,-209,923,694,2500,2500,2500,-1173,239,43,2500,2500,2500
4,-524,-142,-12,18,2500,-2500,-67,-285,1233,2500,2500,2500,-733,-58,341,2500,2500,2500
5,-263,-264,733,-1556,2500,-2500,69,-702,1760,2500,2490,2500,-564,53,467,2500,2490,2500
6,357,976,1629,-2160,2500,-2500,565,-1702,2000,1348,1641,2406,-511,91,452,1348,1641,2406
7,724,1050,1533,-1044,2500,-2292,677,-1774,1880,-501,616,1445,-494,64,235,-501,616,1445
8,1300,1633,2000,-255,1508,-1427,807,-1783,1827,-1170,-166,424,-379,164,315,-1170,-166,424
9,1723,1625,2000,558,104,-463,850,-1496,1631,-1215,-904,-502,-354,131,281,-1215,-904,-502
10,1521,1249,1936,624,-1068,565,690,-1200,1267,-1096,-1396,-1270,-311,93,215,-1096,-1396,-1270
11,1165,1176,1643,407,-2117,1568,546,-1041,1180,-937,-1810,-1933,-294,61,218,-937,-1810,-1933
12,827,1235,1543,487,-2500,2315,460,-1027,1347,-1080,-2305,-2447,-349,26,245,-1080,-2305,-2447
13,293,1070,1317,795,-2500,2500,257,-995,1384,-1798,-2500,-2500,-409,38,280,-1798,-2500,-2500
14,-318,631,868,1042,-2500,2500,-308,-828,1242,-2500,-2500,-2500,-494,32,208,-2500,-2500,-2500
15,-909,130,373,1130,-2500,2500,-929,-58,1187,-2500,-2500,-2500,-479,70,224,-2500,-2500,-2500
16,-1166,-140,352,1072,-2500,2500,-1324,781,1171,-2500,-2500,-2500,-482,89,337,-2500,-2500,-2500
17,-1567,-231,1,1274,-2500,2500,-1471,1827,706,-2500,-2500,-2500,-550,168,365,-2500,-2500,-2500
18,-1929,-516,-10,1090,-2500,2500,-1912,2000,-933,-2463,-2396,-2500,-545,205,364,-2463,-2396,-2500
19,-2000,-1551,-675,1039,-2500,2500,-1636,2000,-823,-463,-1565,-2495,-480,-861,833,-463,-1565,-2495
20,-2000,-2000,-2000,812,-2500,2379,-925,2000,-1148,709,-1049,-1304,-1540,1068,122,709,-1049,-1304
21,-2000,-2000,-2000,245,-965,1010,-719,2000,-1931,783,-37,-163,-2000,-368,-505,783,-37,-163
