id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
0,0.98343,0.08741,0.35743,-5.96637,-0.60274,1.00711,0.98343,0.08741,0.35743,-5.96637,-0.60274,1.00711,0.98343,0.08741,0.35743,-5.96637,-0.60274,1.00711
1,0.98563,0.08472,0.35524,-5.97400,-0.75533,0.48067,0.98563,0.08472,0.35524,-5.97400,-0.75533,0.48067,0.98563,0.08472,0.35524,-5.97400,-0.75533,0.48067
2,0.98196,0.07886,0.36280,-5.88244,-0.73244,-0.16022,0.98196,0.07886,0.36280,-5.88244,-0.73244,-0.16022,0.98196,0.07886,0.36280,-5.88244,-0.73244,-0.16022
3,0.98441,0.08277,0.34986,-5.82141,-0.81637,0.40437,0.98441,0.08277,0.34986,-5.82141,-0.81637,0.40437,0.98441,0.08277,0.34986,-5.82141,-0.81637,0.40437
4,0.98636,0.08252,0.35646,-6.08844,-0.71718,0.70193,0.98636,0.08252,0.35646,-6.08844,-0.71718,0.70193,0.98636,0.08252,0.35646,-6.08844,-0.71718,0.70193
5,0.98489,0.08130,0.34400,-6.04267,-0.55696,0.75533,0.98489,0.08130,0.34400,-6.04267,-0.55696,0.75533,0.98489,0.08130,0.34400,-6.04267,-0.55696,0.75533
6,0.97879,0.07984,0.35963,-5.91296,-0.80874,0.06104,0.97879,0.07984,0.35963,-5.91296,-0.80874,0.06104,0.97879,0.07984,0.35963,-5.91296,-0.80874,0.06104
7,0.98709,0.08545,0.34938,-5.82904,-0.80111,0.17548,0.98709,0.08545,0.34938,-5.82904,-0.80111,0.17548,0.98709,0.08545,0.34938,-5.82904,-0.80111,0.17548
8,0.98465,0.08032,0.35450,-5.98926,-0.74770,0.74770,0.98465,0.08032,0.35450,-5.98926,-0.74770,0.74770,0.98465,0.08032,0.35450,-5.98926,-0.74770,0.74770
9,0.98221,0.07886,0.34620,-5.99689,-0.65615,0.24415,0.98221,0.07886,0.34620,-5.99689,-0.65615,0.24415,0.98221,0.07886,0.34620,-5.99689,-0.65615,0.24415
