id,acc_rh_x,acc_rh_y,acc_rh_z,gyro_rh_x,gyro_rh_y,gyro_rh_z,acc_lh_x,acc_lh_y,acc_lh_z,gyro_lh_x,gyro_lh_y,gyro_lh_z,acc_leg_x,acc_leg_y,acc_leg_z,gyro_leg_x,gryo_leg_y,gryo_leg_z
0,1.00565,-0.02930,0.15528,-22.40822,-14.83200,-20.64577,1.00565,-0.02930,0.15528,-22.40822,-14.83200,-20.64577,1.00565,-0.02930,0.15528,-22.40822,-14.83200,-20.64577
1,1.05008,0.00366,0.15040,-21.57659,-22.07251,-28.01599,1.05008,0.00366,0.15040,-21.57659,-22.07251,-28.01599,1.05008,0.00366,0.15040,-21.57659,-22.07251,-28.01599
2,1.05472,0.03125,0.13697,-27.97784,-26.13910,-18.75362,1.05472,0.03125,0.13697,-27.97784,-26.13910,-18.75362,1.05472,0.03125,0.13697,-27.97784,-26.13910,-18.75362
3,1.01151,0.07398,0.10791,-18.27296,-37.26310,-20.16511,1.01151,0.07398,0.10791,-18.27296,-37.26310,-20.16511,1.01151,0.07398,0.10791,-18.27296,-37.26310,-20.16511
4,0.97928,0.00806,0.13306,-11.12400,-35.30228,-13.13059,0.97928,0.00806,0.13306,-11.12400,-35.30228,-13.13059,0.97928,0.00806,0.13306,-11.12400,-35.30228,-13.13059
5,0.89480,-0.02149,0.11866,-8.99533,-37.04184,-14.58022,0.89480,-0.02149,0.11866,-8.99533,-37.04184,-14.58022,0.89480,-0.02149,0.11866,-8.99533,-37.04184,-14.58022
6,0.87722,0.01172,0.12525,3.31126,-30.25147,-23.45347,0.87722,0.01172,0.12525,3.31126,-30.25147,-23.45347,0.87722,0.01172,0.12525,3.31126,-30.25147,-23.45347
7,0.93191,-0.00562,0.12500,1.52593,-39.49858,-8.98007,0.93191,-0.00562,0.12500,1.52593,-39.49858,-8.98007,0.93191,-0.00562,0.12500,1.52593,-39.49858,-8.98007
8,0.95096,0.04785,0.06665,7.97296,-35.76769,-2.80007,0.95096,0.04785,0.06665,7.97296,-35.76769,-2.80007,0.95096,0.04785,0.06665,7.97296,-35.76769,-2.80007
9,0.97220,0.08936,0.03394,3.22733,-20.11170,17.85333,0.97220,0.08936,0.03394,3.22733,-20.11170,17.85333,0.97220,0.08936,0.03394,3.22733,-20.11170,17.85333
