Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_x_max,acc_rh_x_min,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_y_max,acc_rh_y_min,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,acc_rh_z_max,acc_rh_z_min,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_x_max,gyro_rh_x_min,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_y_max,gyro_rh_y_min,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,gyro_rh_z_max,gyro_rh_z_min
uptodown,0.98854,0.75453,0.0,0.0,0.01858,0.01858,0.0,0.0,0.00337,0.07045,0.0,0.0,0.99669,1.0,0.37877,0.38675,0.2935,0.2935,0.66633,0.86208,0.25349,0.16996,0.08282,0.08282,0.1061,0.15056,0.0,0.02332,0.05569,0.05569,0.27184,0.3959,0.07551,0.16127,0.02744,0.02744
uptodown,0.8883,0.73257,0.1703,0.16955,1.0,1.0,0.06867,0.06385,0.02741,0.0,0.07441,0.07441,0.80186,0.57183,0.6801,0.77611,0.82136,0.82136,0.70954,0.82493,0.21214,0.0,0.34792,0.34792,0.28297,0.33598,0.31793,0.21214,0.27041,0.27041,0.32637,0.48298,0.10402,0.24469,0.07846,0.07846
uptodown,0.85555,0.69796,0.26888,0.26196,1.0,1.0,0.09508,0.1207,0.03638,0.10592,0.07441,0.07441,0.74128,0.51529,0.87535,0.86738,0.82136,0.82136,0.60592,0.70325,0.23132,0.09062,0.34792,0.34792,0.38032,0.27353,0.49759,0.38615,0.75777,0.75777,0.33971,0.66033,0.08754,0.19563,0.07846,0.07846
uptodown,0.90862,0.80505,0.33493,0.47879,0.0,0.0,0.1013,0.10083,0.00645,0.07448,0.00926,0.00926,0.70893,0.51529,0.91271,1.0,0.39367,0.39367,0.47345,0.55916,0.23068,0.076,0.26117,0.26117,0.45107,0.3246,0.49571,0.37759,0.75777,0.75777,0.35018,0.68062,0.0538,0.12176,0.08793,0.08793
uptodown,0.80389,0.73201,0.44791,0.53989,0.75368,0.75368,0.11896,0.11426,0.07761,0.18746,0.091,0.091,0.74637,0.41705,0.82993,0.86982,0.38052,0.38052,0.537,0.62318,0.29009,0.09508,0.28716,0.28716,0.40254,0.23542,0.49719,0.29321,0.86572,0.86572,0.46496,0.66054,0.16073,0.22729,0.31711,0.31711
uptodown,0.65997,0.46184,0.51496,0.55746,0.75368,0.75368,0.08023,0.11586,0.13292,0.27758,0.091,0.091,0.70924,0.38091,0.74087,0.6965,0.38052,0.38052,0.63347,0.74767,0.24201,0.0652,0.28716,0.28716,0.57495,0.35915,0.67491,0.5125,0.86572,0.86572,0.57576,0.96999,0.19703,0.31635,0.31711,0.31711
uptodown,0.8963,0.71169,0.52046,0.65946,0.25261,0.25261,0.13745,0.15717,0.14171,0.2992,0.04733,0.04733,0.708,0.44918,0.6011,0.6428,0.31904,0.31904,0.51987,0.55114,0.07072,0.07537,0.0502,0.0502,0.60446,0.42739,0.63355,0.55097,0.8597,0.8597,0.62116,0.87888,0.10924,0.28719,0.13193,0.13193
uptodown,1.0,1.0,0.52276,0.6733,0.14984,0.14984,0.17309,0.15504,0.08688,0.26191,0.04733,0.04733,0.70923,0.49799,0.46092,0.5983,0.20341,0.20341,0.44903,0.46809,0.0,0.05635,0.00393,0.00393,0.36924,0.21628,0.5812,0.45205,0.71725,0.71725,0.50694,0.6153,0.09615,0.33821,0.06017,0.06017
uptodown,0.80443,0.84844,0.60267,0.7148,0.35868,0.35868,0.06693,0.05258,0.13395,0.25843,0.09345,0.09345,0.64419,0.45628,0.45733,0.62212,0.14424,0.14424,0.57149,0.53677,0.54627,0.177,0.80464,0.80464,0.53407,0.20414,0.76459,0.67716,1.0,1.0,0.41629,0.56753,0.14168,0.3259,0.12317,0.12317
uptodown,0.74445,0.76716,0.7045,0.73833,0.64018,0.64018,0.07284,0.04935,0.21702,0.4226,0.09345,0.09345,0.60537,0.48749,0.50056,0.51711,0.24441,0.24441,0.59872,0.59369,0.6088,0.28344,0.80464,0.80464,0.54332,0.1028,0.74616,0.62209,1.0,1.0,0.23971,0.32298,0.31324,0.43615,0.16153,0.16153
uptodown,0.9014,0.89484,0.69543,0.77983,1.0,1.0,0.18645,0.20387,0.21966,0.42024,0.22148,0.22148,0.605,0.48996,0.66794,0.58735,0.82831,0.82831,0.51951,0.58753,0.17642,0.18153,0.13947,0.13947,0.61636,0.24066,0.74423,0.56601,1.0,1.0,0.51372,0.60199,0.51934,0.49421,1.0,1.0
uptodown,0.78162,0.71279,0.56108,0.72248,1.0,1.0,0.27729,0.27093,0.09923,0.10538,0.22148,0.22148,0.56196,0.38214,0.5533,0.56024,0.82831,0.82831,0.46071,0.51978,0.09852,0.07356,0.13947,0.13947,0.79841,0.71813,0.62471,0.55345,1.0,1.0,0.73366,0.85479,0.35355,0.24064,1.0,1.0
uptodown,0.81369,0.69715,0.55315,0.76963,0.25261,0.25261,0.26138,0.28381,0.0,0.07741,0.04,0.04,0.62227,0.43064,0.52429,0.68434,0.19607,0.19607,0.47167,0.46659,0.06788,0.07147,0.00869,0.00869,0.60562,0.40357,0.5589,0.49455,0.93138,0.93138,0.55367,0.55696,0.05654,0.12035,0.1198,0.1198
uptodown,0.75827,0.75343,0.5601,0.74207,0.25261,0.25261,0.35197,0.30525,0.2944,0.35973,0.21991,0.21991,0.49925,0.27618,0.71609,0.82357,0.19607,0.19607,0.40839,0.44457,0.39592,0.23879,0.28304,0.28304,0.62646,0.41753,0.64924,0.46756,1.0,1.0,0.44728,0.60706,0.49954,0.30722,1.0,1.0
uptodown,0.60599,0.70895,0.49099,0.55917,0.05861,0.05861,0.40342,0.3648,0.31203,0.53084,0.21991,0.21991,0.25969,0.14859,0.43241,0.4707,0.05802,0.05802,0.53744,0.63382,0.45639,0.33456,0.28304,0.28304,0.62724,0.52178,0.57136,0.44891,1.0,1.0,0.40772,0.56457,0.55013,0.37882,1.0,1.0
