Activity,attr_x_chest_acc_mean,attr_x_chest_acc_median,attr_x_chest_acc_std,attr_x_chest_acc_iqr,attr_x_chest_acc_max,attr_x_chest_acc_min,attr_y_chest_acc_mean,attr_y_chest_acc_median,attr_y_chest_acc_std,attr_y_chest_acc_iqr,attr_y_chest_acc_max,attr_y_chest_acc_min,attr_z_chest_acc_mean,attr_z_chest_acc_median,attr_z_chest_acc_std,attr_z_chest_acc_iqr,attr_z_chest_acc_max,attr_z_chest_acc_min,attr_x_thigh_acc_mean,attr_x_thigh_acc_median,attr_x_thigh_acc_std,attr_x_thigh_acc_iqr,attr_x_thigh_acc_max,attr_x_thigh_acc_min,attr_y_thigh_acc_mean,attr_y_thigh_acc_median,attr_y_thigh_acc_std,attr_y_thigh_acc_iqr,attr_y_thigh_acc_max,attr_y_thigh_acc_min,attr_z_thigh_acc_mean,attr_z_thigh_acc_median,attr_z_thigh_acc_std,attr_z_thigh_acc_iqr,attr_z_thigh_acc_max,attr_z_thigh_acc_min,attr_x_waist_acc_mean,attr_x_waist_acc_median,attr_x_waist_acc_std,attr_x_waist_acc_iqr,attr_x_waist_acc_max,attr_x_waist_acc_min,attr_y_waist_acc_mean,attr_y_waist_acc_median,attr_y_waist_acc_std,attr_y_waist_acc_iqr,attr_y_waist_acc_max,attr_y_waist_acc_min,attr_z_waist_acc_mean,attr_z_waist_acc_median,attr_z_waist_acc_std,attr_z_waist_acc_iqr,attr_z_waist_acc_max,attr_z_waist_acc_min,attr_x_chest_gyr_mean,attr_x_chest_gyr_median,attr_x_chest_gyr_std,attr_x_chest_gyr_iqr,attr_x_chest_gyr_max,attr_x_chest_gyr_min,attr_y_chest_gyr_mean,attr_y_chest_gyr_median,attr_y_chest_gyr_std,attr_y_chest_gyr_iqr,attr_y_chest_gyr_max,attr_y_chest_gyr_min,attr_z_chest_gyr_mean,attr_z_chest_gyr_median,attr_z_chest_gyr_std,attr_z_chest_gyr_iqr,attr_z_chest_gyr_max,attr_z_chest_gyr_min,attr_x_thigh_gyr_mean,attr_x_thigh_gyr_median,attr_x_thigh_gyr_std,attr_x_thigh_gyr_iqr,attr_x_thigh_gyr_max,attr_x_thigh_gyr_min,attr_y_thigh_gyr_mean,attr_y_thigh_gyr_median,attr_y_thigh_gyr_std,attr_y_thigh_gyr_iqr,attr_y_thigh_gyr_max,attr_y_thigh_gyr_min,attr_z_thigh_gyr_mean,attr_z_thigh_gyr_median,attr_z_thigh_gyr_std,attr_z_thigh_gyr_iqr,attr_z_thigh_gyr_max,attr_z_thigh_gyr_min,attr_x_waist_gyr_mean,attr_x_waist_gyr_median,attr_x_waist_gyr_std,attr_x_waist_gyr_iqr,attr_x_waist_gyr_max,attr_x_waist_gyr_min,attr_y_waist_gyr_mean,attr_y_waist_gyr_median,attr_y_waist_gyr_std,attr_y_waist_gyr_iqr,attr_y_waist_gyr_max,attr_y_waist_gyr_min,attr_z_waist_gyr_mean,attr_z_waist_gyr_median,attr_z_waist_gyr_std,attr_z_waist_gyr_iqr,attr_z_waist_gyr_max,attr_z_waist_gyr_min
climbingdown,0.11587,0.22671,0.00098,0.00123,0.00026,0.00026,0.99353,0.99903,0.00214,0.00277,0.36455,0.36455,0.20896,0.23119,0.00634,0.01091,7e-05,7e-05,0.0,0.0,0.00027,0.00035,0.0,0.0,0.67441,0.79208,0.00037,0.00074,0.00192,0.00192,0.64285,0.6626,0.0003,0.00072,0.11685,0.11685,0.00439,0.35573,0.0026,0.00345,0.00421,0.00421,0.32632,0.28673,0.0,0.0,0.00037,0.00037,0.99721,0.99734,0.00387,0.00953,0.28797,0.28797,0.57972,0.63783,0.00071,0.00177,0.00057,0.00057,0.77476,0.73898,0.0,0.0,0.0,0.0,0.5262,0.48356,0.00203,0.00226,0.00327,0.00327,0.53197,0.42448,2e-05,0.00011,0.00042,0.00042,0.59344,0.59122,0.00032,0.00083,0.00057,0.00057,0.6934,0.64299,0.00019,0.00027,0.0,0.0,0.55747,0.583,0.00032,0.00036,0.02053,0.02053,0.50053,0.27857,0.00395,0.00127,0.00689,0.00689,0.68995,0.66413,0.00167,0.0,0.00878,0.00878
climbingdown,0.11316,0.22388,0.0009,0.00162,0.00026,0.00026,0.99415,0.99954,0.00243,0.0047,0.36518,0.36518,0.20852,0.22561,0.00536,0.00909,0.00078,0.00078,0.00032,0.0011,0.00027,0.00018,0.00045,0.00045,0.67474,0.79284,0.00026,0.00079,0.0,0.0,0.64257,0.66195,0.00048,0.00109,0.11682,0.11682,0.00288,0.35646,0.00141,0.0013,0.00421,0.00421,0.32853,0.2896,1e-05,0.00282,0.00037,0.00037,0.99993,1.0,0.00075,0.0,0.29261,0.29261,0.57942,0.63767,8e-05,0.0002,0.0,0.0,0.77695,0.74014,0.00398,0.00317,0.00653,0.00653,0.52368,0.48037,0.0017,0.00263,0.00327,0.00327,0.53276,0.42567,0.00015,0.00034,5e-05,5e-05,0.59325,0.59108,9e-05,0.0011,0.0,0.0,0.69459,0.64422,6e-05,0.00027,0.00021,0.00021,0.55753,0.58231,0.0,0.0,0.02185,0.02185,0.50317,0.29436,0.00305,0.00812,0.00689,0.00689,0.68959,0.66413,0.00063,0.0,0.00712,0.00712
climbingdown,0.11369,0.22455,0.0,0.00036,0.0,0.0,0.99455,1.0,0.0,0.0,0.36518,0.36518,0.20336,0.22115,0.00477,0.00714,0.00078,0.00078,0.00151,0.00204,0.00039,0.00033,0.00048,0.00048,0.67541,0.79284,0.00024,0.00066,0.00012,0.00012,0.64219,0.66173,0.00073,0.00145,0.11682,0.11682,0.0005,0.35418,0.0,0.0,0.0,0.0,0.32983,0.29044,7e-05,0.00168,0.0,0.0,1.0,0.99566,0.0,6e-05,0.29261,0.29261,0.57956,0.63684,0.00014,0.0,0.00179,0.00179,0.77878,0.74381,0.00412,0.00262,0.00653,0.00653,0.52345,0.4826,0.0,0.0,0.00178,0.00178,0.53208,0.42507,0.00036,0.00054,5e-05,5e-05,0.59257,0.59025,0.0005,0.00159,0.00026,0.00026,0.6931,0.64299,0.00052,0.00082,0.00021,0.00021,0.55787,0.58231,0.0009,0.00183,0.02246,0.02246,0.47638,0.26177,0.00027,0.00822,0.0,0.0,0.69114,0.66763,0.00082,0.00077,0.00712,0.00712
climbingdown,0.11388,0.2245,0.00074,2e-05,0.00047,0.00047,0.99428,0.99979,0.00194,0.00302,0.36408,0.36408,0.19908,0.21752,0.00375,0.00491,0.0,0.0,0.00297,0.00345,0.00031,0.00044,0.00048,0.00048,0.67606,0.79322,0.00016,0.00027,0.00128,0.00128,0.64189,0.66144,0.00033,0.00036,0.11718,0.11718,0.0,0.35211,0.00084,0.00132,0.00242,0.00242,0.33068,0.29179,0.00049,0.00262,0.0,0.0,0.99999,0.99734,0.00108,0.00116,0.29246,0.29246,0.58021,0.63742,0.0,0.00035,0.00179,0.00179,0.77471,0.73879,0.00548,0.00407,0.00829,0.00829,0.53194,0.48739,0.00167,0.00395,0.00178,0.00178,0.53142,0.42418,0.00029,0.00052,0.0,0.0,0.59288,0.59067,0.00078,0.00104,0.00126,0.00126,0.69292,0.64299,0.00067,0.00116,0.00014,0.00014,0.55796,0.58274,0.00079,0.00101,0.02246,0.02246,0.49404,0.27297,0.0,0.0,0.00407,0.00407,0.69105,0.66572,0.0,0.00077,0.00629,0.00629
climbingdown,0.11511,0.22563,0.00092,0.0,0.00047,0.00047,0.99385,0.99975,0.00352,0.00371,0.36468,0.36468,0.1987,0.21752,0.00799,0.01227,0.0017,0.0017,0.00266,0.00329,0.0,0.0,0.00055,0.00055,0.67668,0.79322,0.0,0.0,0.00128,0.00128,0.6421,0.66144,0.0,0.0,0.11718,0.11718,0.0717,0.35904,0.08271,0.00575,0.27704,0.27704,0.44959,0.29922,0.11485,0.0258,0.08484,0.08484,0.93194,0.99146,0.17719,0.08623,0.30303,0.30303,0.58008,0.63717,0.00488,0.00056,0.0178,0.0178,0.77361,0.73569,0.00961,0.00883,0.00924,0.00924,0.51386,0.48165,0.01519,0.00188,0.00129,0.00129,0.53203,0.42493,6e-05,0.00019,0.0,0.0,0.59346,0.59108,2e-05,0.0,0.00126,0.00126,0.69511,0.64483,0.00015,0.00034,0.00014,0.00014,0.55121,0.58283,0.14899,0.01111,0.11202,0.11202,0.0,0.24904,0.31093,0.22455,0.00407,0.00407,0.69849,0.66158,0.18339,0.01563,0.24297,0.24297
climbingdown,0.16696,0.2265,0.23551,0.01394,0.31452,0.31452,0.95941,0.99869,0.1774,0.07872,0.4093,0.4093,0.0,0.19455,0.49372,0.26672,0.06514,0.06514,0.00418,0.00424,5e-05,0.00033,0.00071,0.00071,0.67712,0.79347,0.00011,0.00039,0.00017,0.00017,0.64123,0.66012,0.00014,0.00043,0.11648,0.11648,0.45301,0.56518,0.25134,0.14754,0.43413,0.43413,0.30178,0.28521,0.25415,0.39004,0.16272,0.16272,0.63433,0.58444,0.36836,0.87708,0.30303,0.30303,0.54977,0.63858,0.38468,0.09972,0.15136,0.15136,0.74544,0.7355,0.38287,0.03284,0.38556,0.38556,0.61314,0.47909,0.53391,0.09343,0.34531,0.34531,0.5316,0.42448,0.0,0.0,0.00047,0.00047,0.59319,0.59094,0.0,0.00049,0.00017,0.00017,0.69416,0.6436,0.0,0.0,0.00028,0.00028,0.56415,0.59823,0.2472,0.19214,0.23056,0.23056,0.1583,0.0,0.46953,0.51762,0.16361,0.16361,0.70034,0.64342,0.26582,0.18298,0.27178,0.27178
climbingdown,0.14672,0.21299,0.28151,0.24541,0.31452,0.31452,0.95254,0.96794,0.32087,0.477,0.56565,0.56565,0.1469,0.20618,0.70307,0.64416,0.31285,0.31285,0.0141,0.00706,0.01073,0.00399,0.00981,0.00981,0.67862,0.79334,0.01029,0.0015,0.027,0.027,0.63791,0.65954,0.01344,0.00147,0.12465,0.12465,0.65344,0.66815,0.25484,0.11581,0.43413,0.43413,0.23582,0.06923,0.30775,0.33517,0.2003,0.2003,0.48331,0.47349,0.23615,0.41785,0.22685,0.22685,0.54029,0.68924,0.49276,0.37875,0.25393,0.25393,0.8262,0.82251,0.45484,0.36316,0.38556,0.38556,0.55498,0.33833,0.5675,0.40746,0.34531,0.34531,0.54657,0.42448,0.00991,0.00114,0.01461,0.01461,0.58692,0.59025,0.03297,0.00241,0.01018,0.01018,0.71983,0.64483,0.03221,0.00197,0.0258,0.0258,0.56558,0.56459,0.25864,0.20604,0.24054,0.24054,0.76145,0.52354,0.38269,0.44851,0.17181,0.17181,0.67314,0.66285,0.40388,0.29739,0.27178,0.27178
climbingdown,0.09871,0.25121,0.20335,0.19746,0.15121,0.15121,0.95289,0.90508,0.40918,0.49696,0.59057,0.59057,0.62803,0.63824,0.52352,0.42865,0.50741,0.50741,0.3156,0.08095,0.22409,0.26399,0.28331,0.28331,0.67007,0.78929,0.11827,0.03234,0.41679,0.41679,0.66181,0.6599,0.14139,0.03899,0.25043,0.25043,0.45568,0.60261,0.25023,0.14706,0.5409,0.5409,0.55248,0.44292,0.28313,0.40588,0.2003,0.2003,0.58821,0.56982,0.20492,0.2989,0.27262,0.27262,0.56343,0.65257,0.38919,0.26601,0.25393,0.25393,0.75387,0.65081,0.40374,0.39945,0.3116,0.3116,0.38976,0.32269,0.31493,0.31291,0.14396,0.14396,0.58791,0.42789,0.08059,0.02258,0.13633,0.13633,0.57327,0.58569,0.12725,0.03925,0.15884,0.15884,0.82833,0.71648,0.11047,0.08415,0.09797,0.09797,0.55844,0.59575,0.28953,0.22014,0.24054,0.24054,0.43984,0.20473,0.28332,0.33761,0.17181,0.17181,0.69152,0.68006,0.57061,0.64734,0.35178,0.35178
climbingdown,0.01741,0.12856,0.32384,0.27737,0.46389,0.46389,0.97458,0.92806,0.44178,0.4524,0.67644,0.67644,0.63801,0.57091,0.53899,0.51413,0.50741,0.50741,0.53742,0.62425,0.24248,0.25494,0.28331,0.28331,0.72585,0.73222,0.15458,0.0979,0.41679,0.41679,0.50468,0.58793,0.30757,0.34235,0.25043,0.25043,0.51664,0.55815,0.49707,0.2865,1.0,1.0,0.41596,0.41405,0.47663,0.50968,0.49044,0.49044,0.46452,0.42745,0.34381,0.5081,0.50129,0.50129,0.58039,0.65671,0.3497,0.29796,0.18423,0.18423,0.77121,0.65352,0.523,0.54633,0.33296,0.33296,0.527,0.51037,0.40689,0.49742,0.21995,0.21995,0.47384,0.49733,0.25699,0.1086,0.15099,0.15099,0.58346,0.57297,0.23297,0.11469,0.22216,0.22216,0.71174,0.76353,0.3116,0.13177,0.09797,0.09797,0.51199,0.58197,0.4101,0.40015,0.2433,0.2433,0.38456,0.20626,0.44361,0.56979,0.32084,0.32084,0.61384,0.53033,0.64281,0.6884,0.35178,0.35178
climbingdown,0.0,0.0,0.52217,0.293,0.64008,0.64008,1.0,0.9281,0.81592,0.71929,1.0,1.0,0.44144,0.47484,0.64583,0.54626,0.48217,0.48217,0.45786,0.51757,0.20979,0.17981,0.23989,0.23989,0.71898,0.76386,0.15361,0.11113,0.40651,0.40651,0.34776,0.27024,0.2987,0.38317,0.18503,0.18503,0.67621,0.48051,0.73734,0.38227,1.0,1.0,0.32257,0.14032,0.60645,0.56267,0.49044,0.49044,0.36922,0.31426,0.35056,0.33818,0.50129,0.50129,0.57712,0.63882,0.47564,0.35746,0.43769,0.43769,0.80742,0.95804,0.74428,0.74508,0.41584,0.41584,0.57546,0.48867,0.52956,0.53013,0.38142,0.38142,0.53826,0.52715,0.27807,0.10373,0.1776,0.1776,0.58311,0.56232,0.26725,0.19187,0.22216,0.22216,0.58546,0.66328,0.31842,0.21429,0.08748,0.08748,0.52272,0.57812,0.43625,0.40066,0.28009,0.28009,0.55369,0.5546,0.57237,0.72161,0.32084,0.32084,0.57095,0.45164,0.57254,0.56934,0.3151,0.3151
