Activity,attr_x_chest_acc_mean,attr_x_chest_acc_median,attr_x_chest_acc_std,attr_x_chest_acc_iqr,attr_x_chest_acc_max,attr_x_chest_acc_min,attr_y_chest_acc_mean,attr_y_chest_acc_median,attr_y_chest_acc_std,attr_y_chest_acc_iqr,attr_y_chest_acc_max,attr_y_chest_acc_min,attr_z_chest_acc_mean,attr_z_chest_acc_median,attr_z_chest_acc_std,attr_z_chest_acc_iqr,attr_z_chest_acc_max,attr_z_chest_acc_min,attr_x_thigh_acc_mean,attr_x_thigh_acc_median,attr_x_thigh_acc_std,attr_x_thigh_acc_iqr,attr_x_thigh_acc_max,attr_x_thigh_acc_min,attr_y_thigh_acc_mean,attr_y_thigh_acc_median,attr_y_thigh_acc_std,attr_y_thigh_acc_iqr,attr_y_thigh_acc_max,attr_y_thigh_acc_min,attr_z_thigh_acc_mean,attr_z_thigh_acc_median,attr_z_thigh_acc_std,attr_z_thigh_acc_iqr,attr_z_thigh_acc_max,attr_z_thigh_acc_min,attr_x_waist_acc_mean,attr_x_waist_acc_median,attr_x_waist_acc_std,attr_x_waist_acc_iqr,attr_x_waist_acc_max,attr_x_waist_acc_min,attr_y_waist_acc_mean,attr_y_waist_acc_median,attr_y_waist_acc_std,attr_y_waist_acc_iqr,attr_y_waist_acc_max,attr_y_waist_acc_min,attr_z_waist_acc_mean,attr_z_waist_acc_median,attr_z_waist_acc_std,attr_z_waist_acc_iqr,attr_z_waist_acc_max,attr_z_waist_acc_min,attr_x_chest_gyr_mean,attr_x_chest_gyr_median,attr_x_chest_gyr_std,attr_x_chest_gyr_iqr,attr_x_chest_gyr_max,attr_x_chest_gyr_min,attr_y_chest_gyr_mean,attr_y_chest_gyr_median,attr_y_chest_gyr_std,attr_y_chest_gyr_iqr,attr_y_chest_gyr_max,attr_y_chest_gyr_min,attr_z_chest_gyr_mean,attr_z_chest_gyr_median,attr_z_chest_gyr_std,attr_z_chest_gyr_iqr,attr_z_chest_gyr_max,attr_z_chest_gyr_min,attr_x_thigh_gyr_mean,attr_x_thigh_gyr_median,attr_x_thigh_gyr_std,attr_x_thigh_gyr_iqr,attr_x_thigh_gyr_max,attr_x_thigh_gyr_min,attr_y_thigh_gyr_mean,attr_y_thigh_gyr_median,attr_y_thigh_gyr_std,attr_y_thigh_gyr_iqr,attr_y_thigh_gyr_max,attr_y_thigh_gyr_min,attr_z_thigh_gyr_mean,attr_z_thigh_gyr_median,attr_z_thigh_gyr_std,attr_z_thigh_gyr_iqr,attr_z_thigh_gyr_max,attr_z_thigh_gyr_min,attr_x_waist_gyr_mean,attr_x_waist_gyr_median,attr_x_waist_gyr_std,attr_x_waist_gyr_iqr,attr_x_waist_gyr_max,attr_x_waist_gyr_min,attr_y_waist_gyr_mean,attr_y_waist_gyr_median,attr_y_waist_gyr_std,attr_y_waist_gyr_iqr,attr_y_waist_gyr_max,attr_y_waist_gyr_min,attr_z_waist_gyr_mean,attr_z_waist_gyr_median,attr_z_waist_gyr_std,attr_z_waist_gyr_iqr,attr_z_waist_gyr_max,attr_z_waist_gyr_min
jumping,0.09681,0.14202,0.0,0.00017,0.0,0.0,0.842,0.99647,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92926,0.7653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86858,0.73851,0.0,0.0,0.0,0.0,0.06264,0.48143,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3721,0.3721,0.72057,0.6776,0.0,0.0,0.0,0.0,0.33738,0.37272,0.0,0.0,0.0,0.0,0.4047,0.51664,0.0,0.00051,0.0,0.0,0.29481,0.61874,0.0,0.0,0.0,0.0,0.38835,0.22445,0.0,0.0,0.0,0.0,0.38577,0.10892,0.0,0.0,0.0,0.0,0.3454,0.24941,0.0,0.0,0.0,0.0,0.4383,0.63875,0.0,0.0,0.0,0.0,0.531,0.31643,0.0,0.0,0.0,0.0
jumping,0.07086,0.13674,0.16644,0.0,0.22112,0.22112,0.91383,0.99182,0.19321,0.00024,0.90411,0.90411,0.97553,0.99,0.08127,0.00358,0.08565,0.08565,0.18434,0.02554,0.31377,0.24457,0.18291,0.18291,0.99165,0.7653,0.627,0.15517,1.0,1.0,0.28687,0.02696,0.32185,0.08301,0.48352,0.48352,0.88822,0.7383,0.5587,0.04142,1.0,1.0,0.29456,0.51731,0.27957,0.1131,0.31663,0.31663,0.83669,0.98672,0.36833,0.33397,0.79789,0.79789,0.72304,0.69399,0.12266,0.00392,0.14163,0.14163,0.36875,0.3768,0.15156,0.01623,0.28833,0.28833,0.49099,0.52438,0.09868,0.0,0.1141,0.1141,0.39143,0.61781,0.28831,0.07841,0.54146,0.54146,0.3661,0.21378,0.22034,0.1005,0.27615,0.27615,0.4948,0.11806,0.3751,0.12487,0.47266,0.47266,0.3863,0.25892,0.18615,0.06747,0.22852,0.22852,0.17542,0.63836,0.18547,0.11575,0.2613,0.2613,0.42807,0.3032,0.22303,0.09096,0.21391,0.21391
jumping,0.16309,0.13607,0.60237,0.33102,0.42006,0.42006,0.73111,0.98659,0.57454,0.30277,1.0,1.0,0.78854,0.948,0.21222,0.19496,0.22441,0.22441,0.32289,0.62952,0.44812,0.55847,0.19576,0.19576,0.71597,0.75576,0.95894,0.94157,1.0,1.0,0.51707,0.30457,0.39574,0.23521,0.49306,0.49306,0.8492,0.70557,0.84891,0.85999,1.0,1.0,0.62303,0.93518,0.40837,0.50607,0.49092,0.49092,0.65389,0.5491,0.44246,0.43787,0.81498,0.81498,0.69319,0.68852,0.32204,0.23762,0.24805,0.24805,0.39116,0.37844,0.2561,0.14293,0.28833,0.28833,0.35037,0.52818,0.24509,0.1736,0.18751,0.18751,0.51855,0.55937,0.37043,0.35418,0.54146,0.54146,0.30045,0.0305,0.32202,0.37602,0.27615,0.27615,0.39136,0.13703,0.53844,0.43215,0.47266,0.47266,0.37098,0.34927,0.3189,0.2378,0.24091,0.24091,0.241,0.52755,0.28378,0.2556,0.2613,0.2613,0.39798,0.15546,0.35565,0.30009,0.28306,0.28306
jumping,0.06634,0.36243,0.84184,0.92055,0.4373,0.4373,0.81645,0.7666,0.77269,0.8445,1.0,1.0,0.70203,0.39178,0.29747,0.31183,0.22441,0.22441,0.29537,0.6743,0.43273,0.45981,0.19576,0.19576,0.78885,0.87926,0.98718,0.97602,1.0,1.0,0.53465,0.36598,0.37307,0.26177,0.56426,0.56426,0.73849,0.59145,0.88225,0.8982,1.0,1.0,0.62024,0.61611,0.40403,0.39916,0.49092,0.49092,0.62015,0.46485,0.42539,0.36884,0.81498,0.81498,0.77823,0.73989,0.41103,0.43882,0.30369,0.30369,0.30932,0.39804,0.31629,0.24105,0.26068,0.26068,0.32089,0.54876,0.31248,0.28219,0.23076,0.23076,0.43895,0.53451,0.31536,0.33719,0.34849,0.34849,0.32969,0.07855,0.30857,0.37458,0.17815,0.17815,0.34758,0.19747,0.45626,0.39277,0.3238,0.3238,0.2858,0.26209,0.39133,0.25871,0.28387,0.28387,0.44856,0.68991,0.29089,0.21463,0.21384,0.21384,0.35086,0.15105,0.38811,0.31137,0.31823,0.31823
jumping,0.04964,0.25238,0.82841,0.92001,0.44162,0.44162,0.80636,0.71488,0.76942,0.8745,1.0,1.0,0.69791,0.462,0.29521,0.2992,0.2007,0.2007,0.35216,0.70282,0.3871,0.37519,0.23461,0.23461,0.85377,0.87926,0.96244,0.9553,1.0,1.0,0.5509,0.32122,0.36195,0.27662,0.56426,0.56426,0.93286,0.85333,0.86364,0.88657,1.0,1.0,0.34789,0.36816,0.4065,0.3727,0.34343,0.34343,0.60778,0.4625,0.40076,0.40453,0.6611,0.6611,0.77752,0.52313,0.41804,0.44693,0.30369,0.30369,0.26506,0.36891,0.29367,0.19977,0.2251,0.2251,0.38282,0.57533,0.31666,0.28838,0.23076,0.23076,0.58839,0.54323,0.31676,0.35128,0.35775,0.35775,0.36763,0.13218,0.27303,0.29489,0.17815,0.17815,0.46113,0.2052,0.39666,0.36941,0.33722,0.33722,0.33624,0.31466,0.38125,0.20537,0.2961,0.2961,0.38616,0.65139,0.29205,0.22548,0.24559,0.24559,0.53048,0.26792,0.39503,0.33411,0.33112,0.33112
jumping,0.14815,0.41515,0.79191,0.8764,0.47226,0.47226,0.64643,0.47499,0.74906,0.76066,1.0,1.0,0.75823,0.55089,0.26974,0.37768,0.16567,0.16567,0.38999,0.82222,0.42446,0.40198,0.23461,0.23461,0.72148,0.62407,0.95352,0.95662,1.0,1.0,0.54205,0.22411,0.36088,0.26525,0.41143,0.41143,0.79513,0.68273,0.8812,0.89974,1.0,1.0,0.24601,0.309,0.47971,0.38316,0.54503,0.54503,0.57481,0.43332,0.38302,0.34488,0.65505,0.65505,0.67799,0.29144,0.44739,0.47062,0.30188,0.30188,0.3053,0.38769,0.24308,0.19551,0.16421,0.16421,0.45206,0.60044,0.32744,0.30038,0.21045,0.21045,0.32239,0.45213,0.31574,0.36392,0.35775,0.35775,0.33793,0.10168,0.26121,0.33947,0.16217,0.16217,0.21182,0.0,0.47988,0.40091,0.44304,0.44304,0.37314,0.32972,0.36503,0.24415,0.35096,0.35096,0.53324,0.67825,0.32043,0.24278,0.24559,0.24559,0.57248,0.33076,0.3809,0.35058,0.35905,0.35905
jumping,0.02369,0.14414,0.78935,0.86071,0.47954,0.47954,0.92609,0.96639,0.75068,0.79763,1.0,1.0,0.87144,0.616,0.25149,0.39012,0.16567,0.16567,0.30858,0.69088,0.52323,0.43265,0.26192,0.26192,1.0,0.93301,0.92116,0.90692,1.0,1.0,0.60807,0.31883,0.37464,0.3033,0.38916,0.38916,0.74041,0.57378,0.87371,0.89163,1.0,1.0,0.28755,0.60227,0.50871,0.37237,0.54503,0.54503,0.56547,0.44828,0.40811,0.3477,0.99121,0.99121,0.75231,0.5224,0.43409,0.41626,0.29523,0.29523,0.33576,0.39586,0.22709,0.17922,0.23303,0.23303,0.45086,0.55372,0.36216,0.3767,0.25272,0.25272,0.48976,0.49221,0.34903,0.41252,0.37034,0.37034,0.37121,0.15125,0.28884,0.40224,0.16217,0.16217,0.33784,0.32537,0.57009,0.5171,0.44304,0.44304,0.37409,0.35271,0.39694,0.27884,0.35096,0.35096,0.55726,0.76279,0.32499,0.23587,0.30704,0.30704,0.54842,0.28115,0.40889,0.37225,0.35925,0.35925
jumping,0.12704,0.22874,0.80507,0.88394,0.50002,0.50002,0.68645,0.60147,0.76938,0.81049,1.0,1.0,0.81583,0.52244,0.25445,0.32769,0.26936,0.26936,0.27022,0.63217,0.50182,0.39336,0.26192,0.26192,0.6672,0.69546,0.92584,0.89188,1.0,1.0,0.56631,0.26616,0.3732,0.30154,0.38916,0.38916,1.0,0.88668,0.85382,0.89435,1.0,1.0,0.41002,0.72876,0.55304,0.42109,0.55612,0.55612,0.56549,0.42389,0.42707,0.2814,0.99121,0.99121,0.70015,0.53151,0.41343,0.43012,0.44171,0.44171,0.37206,0.45603,0.24376,0.17642,0.27901,0.27901,0.33599,0.48336,0.37399,0.40901,0.25272,0.25272,0.7186,0.70019,0.3774,0.3721,0.37034,0.37034,0.35406,0.15709,0.26518,0.38634,0.10528,0.10528,0.54486,0.45116,0.57992,0.52945,0.49038,0.49038,0.35112,0.31361,0.37116,0.30533,0.28569,0.28569,0.47369,0.61545,0.3139,0.24121,0.33925,0.33925,0.47632,0.27233,0.45574,0.4419,0.43524,0.43524
jumping,0.10414,0.2395,0.83034,0.92332,0.56776,0.56776,0.66168,0.56733,0.78554,0.83216,1.0,1.0,0.81512,0.548,0.26988,0.30602,0.26936,0.26936,0.22747,0.64345,0.53576,0.46363,0.2553,0.2553,0.65357,0.5641,0.94393,0.8878,1.0,1.0,0.60253,0.26616,0.40769,0.4101,0.38563,0.38563,0.63653,0.47781,0.87512,0.9025,1.0,1.0,0.42436,0.58464,0.54754,0.41829,0.55612,0.55612,0.51196,0.35844,0.38162,0.2228,0.93175,0.93175,0.68577,0.48852,0.39005,0.33597,0.44171,0.44171,0.32433,0.40893,0.25467,0.20694,0.27901,0.27901,0.52288,0.53358,0.41207,0.38437,0.36853,0.36853,0.26021,0.62041,0.38691,0.38884,0.35645,0.35645,0.36231,0.09634,0.24879,0.35214,0.11278,0.11278,0.28325,0.23612,0.5777,0.53527,0.49038,0.49038,0.34754,0.27635,0.34733,0.24507,0.32882,0.32882,0.54217,0.7377,0.37856,0.23757,0.33925,0.33925,0.38465,0.25138,0.48166,0.45336,0.44618,0.44618
jumping,0.02803,0.13349,0.83455,0.90635,0.56776,0.56776,0.8713,0.83889,0.78332,0.80631,1.0,1.0,0.74793,0.46733,0.2599,0.25343,0.22701,0.22701,0.32663,0.799,0.54877,0.48567,0.24625,0.24625,0.84283,0.73927,0.91842,0.87983,1.0,1.0,0.64148,0.33548,0.42207,0.4373,0.37986,0.37986,0.72762,0.5347,0.89151,0.91809,1.0,1.0,0.28954,0.44871,0.45503,0.35244,0.4986,0.4986,0.49403,0.33451,0.39082,0.25382,0.70221,0.70221,0.80408,0.54863,0.37589,0.35202,0.44194,0.44194,0.29454,0.37163,0.23658,0.20962,0.25804,0.25804,0.37889,0.37664,0.4693,0.46191,0.36853,0.36853,0.59207,0.73228,0.43379,0.42431,0.45724,0.45724,0.36922,0.11464,0.28184,0.35429,0.197,0.197,0.42055,0.33872,0.55164,0.51754,0.4038,0.4038,0.35864,0.30172,0.37165,0.28682,0.32882,0.32882,0.51937,0.7221,0.40666,0.27273,0.35621,0.35621,0.6352,0.31974,0.48478,0.4863,0.44618,0.44618
