Activity,attr_x_chest_acc_mean,attr_x_chest_acc_median,attr_x_chest_acc_std,attr_x_chest_acc_iqr,attr_x_chest_acc_max,attr_x_chest_acc_min,attr_y_chest_acc_mean,attr_y_chest_acc_median,attr_y_chest_acc_std,attr_y_chest_acc_iqr,attr_y_chest_acc_max,attr_y_chest_acc_min,attr_z_chest_acc_mean,attr_z_chest_acc_median,attr_z_chest_acc_std,attr_z_chest_acc_iqr,attr_z_chest_acc_max,attr_z_chest_acc_min,attr_x_thigh_acc_mean,attr_x_thigh_acc_median,attr_x_thigh_acc_std,attr_x_thigh_acc_iqr,attr_x_thigh_acc_max,attr_x_thigh_acc_min,attr_y_thigh_acc_mean,attr_y_thigh_acc_median,attr_y_thigh_acc_std,attr_y_thigh_acc_iqr,attr_y_thigh_acc_max,attr_y_thigh_acc_min,attr_z_thigh_acc_mean,attr_z_thigh_acc_median,attr_z_thigh_acc_std,attr_z_thigh_acc_iqr,attr_z_thigh_acc_max,attr_z_thigh_acc_min,attr_x_waist_acc_mean,attr_x_waist_acc_median,attr_x_waist_acc_std,attr_x_waist_acc_iqr,attr_x_waist_acc_max,attr_x_waist_acc_min,attr_y_waist_acc_mean,attr_y_waist_acc_median,attr_y_waist_acc_std,attr_y_waist_acc_iqr,attr_y_waist_acc_max,attr_y_waist_acc_min,attr_z_waist_acc_mean,attr_z_waist_acc_median,attr_z_waist_acc_std,attr_z_waist_acc_iqr,attr_z_waist_acc_max,attr_z_waist_acc_min,attr_x_chest_gyr_mean,attr_x_chest_gyr_median,attr_x_chest_gyr_std,attr_x_chest_gyr_iqr,attr_x_chest_gyr_max,attr_x_chest_gyr_min,attr_y_chest_gyr_mean,attr_y_chest_gyr_median,attr_y_chest_gyr_std,attr_y_chest_gyr_iqr,attr_y_chest_gyr_max,attr_y_chest_gyr_min,attr_z_chest_gyr_mean,attr_z_chest_gyr_median,attr_z_chest_gyr_std,attr_z_chest_gyr_iqr,attr_z_chest_gyr_max,attr_z_chest_gyr_min,attr_x_thigh_gyr_mean,attr_x_thigh_gyr_median,attr_x_thigh_gyr_std,attr_x_thigh_gyr_iqr,attr_x_thigh_gyr_max,attr_x_thigh_gyr_min,attr_y_thigh_gyr_mean,attr_y_thigh_gyr_median,attr_y_thigh_gyr_std,attr_y_thigh_gyr_iqr,attr_y_thigh_gyr_max,attr_y_thigh_gyr_min,attr_z_thigh_gyr_mean,attr_z_thigh_gyr_median,attr_z_thigh_gyr_std,attr_z_thigh_gyr_iqr,attr_z_thigh_gyr_max,attr_z_thigh_gyr_min,attr_x_waist_gyr_mean,attr_x_waist_gyr_median,attr_x_waist_gyr_std,attr_x_waist_gyr_iqr,attr_x_waist_gyr_max,attr_x_waist_gyr_min,attr_y_waist_gyr_mean,attr_y_waist_gyr_median,attr_y_waist_gyr_std,attr_y_waist_gyr_iqr,attr_y_waist_gyr_max,attr_y_waist_gyr_min,attr_z_waist_gyr_mean,attr_z_waist_gyr_median,attr_z_waist_gyr_std,attr_z_waist_gyr_iqr,attr_z_waist_gyr_max,attr_z_waist_gyr_min
walking,0.55647,0.55666,0.0,0.0,0.05811,0.05811,0.76369,0.58781,0.00461,0.00234,0.01048,0.01048,0.96952,0.9624,0.00756,0.01524,0.17174,0.17174,0.42288,0.41424,0.00014,0.0,0.0,0.0,0.65384,0.4072,0.0,0.0,0.0,0.0,0.34561,0.55954,0.0,0.0,0.02437,0.02437,0.12721,0.50283,0.00839,0.00897,0.00367,0.00367,0.38655,0.49396,0.00343,0.00101,0.00639,0.00639,0.98538,0.98507,0.0111,0.01541,0.03576,0.03576,0.3248,0.40399,0.0,0.0,0.0,0.0,0.19938,0.2396,0.00065,0.0,0.00347,0.00347,0.6085,0.47592,0.00054,0.0,0.00224,0.00224,0.55988,0.46096,0.00145,0.00142,0.00151,0.00151,0.23678,0.31081,0.00164,0.00117,0.0,0.0,0.76607,0.61391,0.0,0.0,0.0,0.0,0.19718,0.20927,0.0055,0.0053,0.00799,0.00799,0.64483,0.72484,0.0261,0.04142,0.02673,0.02673,0.54133,0.44107,0.00845,0.0035,0.00967,0.00967
walking,0.56171,0.56167,0.00377,0.0062,0.05811,0.05811,0.76337,0.5894,0.01061,0.01178,0.01048,0.01048,0.97976,0.9764,0.00814,0.01911,0.17174,0.17174,0.43891,0.41836,0.00095,0.00281,0.00297,0.00297,0.65597,0.40879,0.00057,0.00091,0.00411,0.00411,0.32802,0.54547,0.00394,0.00511,0.02437,0.02437,0.14997,0.50786,0.00742,0.00685,0.01411,0.01411,0.4038,0.5131,0.00431,0.00447,0.0,0.0,0.96783,0.96927,0.0083,0.00624,0.03408,0.03408,0.35029,0.42089,0.01276,0.02745,0.03078,0.03078,0.19531,0.23642,0.00052,0.00225,0.00296,0.00296,0.62109,0.48774,0.00199,0.00219,0.0028,0.0028,0.56658,0.4636,0.00165,0.00176,0.0024,0.0024,0.23778,0.31101,0.0012,0.00061,0.0,0.0,0.77029,0.61954,0.0004,8e-05,0.00018,0.00018,0.20123,0.21295,0.00468,0.00465,0.00847,0.00847,0.62369,0.69599,0.00824,0.02523,0.00137,0.00137,0.52547,0.43155,0.00981,0.00646,0.01407,0.01407
walking,0.57489,0.57807,0.00332,0.00671,0.06005,0.06005,0.76164,0.58391,0.01042,0.01122,0.00865,0.00865,0.97138,0.96872,0.00082,0.00617,0.1567,0.1567,0.46364,0.43368,0.0018,0.00318,0.007,0.007,0.6586,0.41167,0.00113,0.00172,0.00411,0.00411,0.29794,0.5183,0.00047,0.00327,0.02048,0.02048,0.16831,0.50975,0.0077,0.00781,0.01411,0.01411,0.43136,0.54263,0.00295,0.00463,0.00425,0.00425,0.94834,0.95004,0.00386,0.00521,0.01909,0.01909,0.36831,0.43088,0.01095,0.01815,0.03078,0.03078,0.19349,0.23414,0.0,0.00091,0.0054,0.0054,0.62496,0.48949,0.0,0.00082,0.0028,0.0028,0.56465,0.46316,0.00037,0.00116,0.0024,0.0024,0.23927,0.31074,0.0,0.0,0.00166,0.00166,0.76375,0.61453,0.00107,0.00132,0.00018,0.00018,0.20487,0.21583,0.00318,0.00191,0.01181,0.01181,0.63229,0.71006,0.01087,0.01753,0.01073,0.01073,0.53349,0.4381,0.00764,0.00306,0.01407,0.01407
walking,0.57232,0.57746,0.01064,0.00787,0.06637,0.06637,0.75555,0.58125,0.01007,0.01057,0.01809,0.01809,0.99019,0.98902,0.00291,0.01484,0.1765,0.1765,0.46596,0.43396,0.00147,0.0037,0.007,0.007,0.65943,0.41153,0.00078,0.0007,0.00363,0.00363,0.30256,0.521,0.00019,0.00177,0.0216,0.0216,0.19814,0.51447,0.00637,0.00859,0.01075,0.01075,0.44381,0.56103,0.00334,0.00564,0.00425,0.00425,0.91727,0.90625,0.00973,0.01608,0.01466,0.01466,0.3316,0.40476,0.0081,0.0159,0.00503,0.00503,0.19505,0.2356,0.00019,0.001,0.0054,0.0054,0.60233,0.47154,0.00484,0.00319,0.0,0.0,0.55645,0.4614,0.0,0.0,0.0,0.0,0.2397,0.31074,0.00224,0.00227,0.00346,0.00346,0.75806,0.61119,0.00173,0.00148,0.00134,0.00134,0.20976,0.21762,0.01347,0.00853,0.03221,0.03221,0.62697,0.70303,0.0064,0.0,0.01073,0.01073,0.55878,0.45238,0.00868,0.0081,0.00967,0.00967
walking,0.5517,0.54919,0.01432,0.01607,0.06637,0.06637,0.76884,0.59454,0.00844,0.00716,0.01809,0.01809,1.0,1.0,0.00763,0.01239,0.22277,0.22277,0.44494,0.42233,0.00134,0.00155,0.00554,0.00554,0.65703,0.40937,0.00088,0.00094,0.00363,0.00363,0.3403,0.54316,0.00653,0.0111,0.029,0.029,0.22822,0.52721,0.02856,0.01123,0.0732,0.0732,0.43881,0.55452,0.01423,0.01412,0.00868,0.00868,0.89839,0.89174,0.03736,0.00557,0.13862,0.13862,0.39077,0.43856,0.00806,0.01335,0.02152,0.02152,0.1988,0.23942,0.00405,0.00377,0.00553,0.00553,0.59811,0.46979,0.00587,0.0021,0.00867,0.00867,0.55132,0.45759,0.0034,0.00256,0.0038,0.0038,0.23671,0.31067,0.00532,0.00447,0.00489,0.00489,0.75837,0.61057,0.00308,0.00268,0.00642,0.00642,0.20605,0.21762,0.03182,0.01444,0.03221,0.03221,0.64873,0.70866,0.02725,0.01009,0.04117,0.04117,0.54828,0.44762,0.01738,0.0185,0.01253,0.01253
walking,0.53477,0.53071,0.00548,0.00239,0.04992,0.04992,0.76883,0.59436,0.00518,3e-05,0.01448,0.01448,0.97616,0.97119,0.00936,0.00953,0.22277,0.22277,0.42886,0.41495,0.00156,0.0005,0.00286,0.00286,0.65485,0.4085,0.00126,0.0016,0.00262,0.00262,0.36902,0.58844,0.00466,0.00694,0.029,0.029,0.25028,0.54357,0.02812,0.00699,0.0732,0.0732,0.44569,0.5666,0.01422,0.00984,0.00868,0.00868,0.8716,0.85556,0.04204,0.02816,0.13862,0.13862,0.40974,0.42704,0.00617,0.01455,0.02152,0.02152,0.20835,0.24907,0.00832,0.00717,0.01529,0.01529,0.61279,0.47548,0.00603,0.00684,0.00867,0.00867,0.55796,0.46126,0.00402,0.00358,0.0038,0.0038,0.23448,0.30624,0.00574,0.00369,0.00733,0.00733,0.75822,0.61161,0.00293,0.00219,0.00642,0.00642,0.19581,0.20882,0.02358,0.00459,0.0198,0.0198,0.63475,0.71569,0.03662,0.03877,0.04117,0.04117,0.52252,0.42619,0.01306,0.00952,0.01253,0.01253
walking,0.53505,0.53169,0.01298,0.00641,0.06484,0.06484,0.76206,0.5855,0.00745,0.00198,0.02542,0.02542,0.95776,0.94978,0.02684,0.0,0.33264,0.33264,0.43307,0.41524,0.00594,0.00362,0.01221,0.01221,0.65549,0.40836,0.00177,0.00103,0.00935,0.00935,0.35483,0.57187,0.01196,0.00867,0.03915,0.03915,0.22936,0.54357,0.01598,0.00498,0.01198,0.01198,0.48715,0.58165,0.039,0.00136,0.08382,0.08382,0.84039,0.828,0.01141,0.00175,0.0134,0.0134,0.32216,0.39324,0.03528,0.0126,0.01127,0.01127,0.20806,0.24889,0.01413,0.01261,0.01722,0.01722,0.60692,0.47504,0.01306,0.00675,0.01035,0.01035,0.56778,0.46375,0.01399,0.00551,0.02612,0.02612,0.23062,0.30477,0.06492,0.00956,0.07412,0.07412,0.76368,0.61474,0.01289,0.00256,0.02266,0.02266,0.17208,0.20738,0.10926,0.0,0.0,0.0,0.6232,0.72343,0.057,0.00531,0.04098,0.04098,0.45802,0.43631,0.09839,0.01171,0.00132,0.00132
walking,0.52629,0.52178,0.0175,0.01607,0.06484,0.06484,0.7737,0.58302,0.01306,0.00684,0.02542,0.02542,0.96684,0.95815,0.03528,0.02096,0.33264,0.33264,0.45247,0.42659,0.00628,0.0054,0.01221,0.01221,0.65555,0.40793,0.00114,8e-05,0.00935,0.00935,0.33637,0.55183,0.0115,0.00903,0.03915,0.03915,0.36648,0.52517,0.2693,0.0758,0.45415,0.45415,0.5918,0.58871,0.24987,0.18029,0.29603,0.29603,0.84115,0.83475,0.30224,0.16825,0.42599,0.42599,0.35656,0.40937,0.0511,0.0273,0.03963,0.03963,0.1955,0.23514,0.01378,0.00635,0.01722,0.01722,0.59787,0.47154,0.01036,0.00228,0.01035,0.01035,0.57161,0.46566,0.01471,0.0065,0.02612,0.02612,0.2342,0.31087,0.06638,0.01797,0.07412,0.07412,0.77262,0.62017,0.01306,0.00276,0.02266,0.02266,0.0,0.0608,0.31718,0.33683,0.00203,0.00203,0.62967,0.72343,0.2722,0.12852,0.41463,0.41463,0.29374,0.43214,0.28901,0.18135,0.2412,0.2412
walking,0.49935,0.48899,0.00812,0.01163,0.04263,0.04263,0.77297,0.59029,0.00654,0.00035,0.02254,0.02254,0.96973,0.96529,0.00999,0.00742,0.20011,0.20011,0.53462,0.46631,0.01381,0.01726,0.02873,0.02873,0.66614,0.41196,0.00317,0.00165,0.03299,0.03299,0.28208,0.49942,0.00814,0.01813,0.02304,0.02304,0.30393,0.3218,0.58147,0.37849,0.76746,0.76746,0.57103,0.72283,0.42222,0.54694,0.43428,0.43428,0.81612,0.95994,0.50087,0.54637,0.68741,0.68741,0.38811,0.40476,0.01738,0.00315,0.03963,0.03963,0.19368,0.23596,0.00288,0.00091,0.0,0.0,0.60247,0.47373,0.00375,0.0,0.00224,0.00224,0.57329,0.46713,0.00348,0.00278,0.00497,0.00497,0.24966,0.31785,0.01028,0.00922,0.00691,0.00691,0.78183,0.6256,0.00244,0.00087,0.00357,0.00357,0.01922,0.0,0.48361,0.3703,0.51211,0.51211,0.76659,0.68966,0.45079,0.42804,0.41463,0.41463,0.41975,0.20357,0.51333,0.55981,0.59301,0.59301
walking,0.35003,0.47222,0.29619,0.04753,0.04174,0.04174,0.7375,0.58373,0.07696,0.00527,0.27574,0.27574,0.9535,0.96844,0.08071,0.00898,0.21973,0.21973,0.60364,0.52007,0.01102,0.0126,0.03803,0.03803,0.67179,0.41988,0.00756,0.00322,0.03299,0.03299,0.22628,0.44432,0.00609,0.0034,0.01897,0.01897,0.33095,0.29711,0.85815,0.72997,1.0,1.0,0.49082,0.65484,0.5099,0.51863,0.43428,0.43428,0.78311,0.92534,0.5982,0.62668,0.73921,0.73921,0.78879,0.43779,0.2532,0.03255,0.30477,0.30477,0.09978,0.23332,0.22074,0.22213,0.0,0.0,0.69533,0.47592,0.28999,0.0103,0.42897,0.42897,0.55816,0.45891,0.00329,0.00378,0.00184,0.00184,0.24829,0.31631,0.00993,0.00787,0.00793,0.00793,0.75961,0.61579,0.00552,0.00722,0.00357,0.00357,0.23726,0.25481,0.52891,0.47884,0.51211,0.51211,0.65266,0.65165,0.60356,0.67392,0.51727,0.51727,0.64617,0.5494,0.72179,0.8065,0.69437,0.69437
