Activity,attr_x_chest_acc_mean,attr_x_chest_acc_median,attr_x_chest_acc_std,attr_x_chest_acc_iqr,attr_x_chest_acc_max,attr_x_chest_acc_min,attr_y_chest_acc_mean,attr_y_chest_acc_median,attr_y_chest_acc_std,attr_y_chest_acc_iqr,attr_y_chest_acc_max,attr_y_chest_acc_min,attr_z_chest_acc_mean,attr_z_chest_acc_median,attr_z_chest_acc_std,attr_z_chest_acc_iqr,attr_z_chest_acc_max,attr_z_chest_acc_min,attr_x_thigh_acc_mean,attr_x_thigh_acc_median,attr_x_thigh_acc_std,attr_x_thigh_acc_iqr,attr_x_thigh_acc_max,attr_x_thigh_acc_min,attr_y_thigh_acc_mean,attr_y_thigh_acc_median,attr_y_thigh_acc_std,attr_y_thigh_acc_iqr,attr_y_thigh_acc_max,attr_y_thigh_acc_min,attr_z_thigh_acc_mean,attr_z_thigh_acc_median,attr_z_thigh_acc_std,attr_z_thigh_acc_iqr,attr_z_thigh_acc_max,attr_z_thigh_acc_min,attr_x_waist_acc_mean,attr_x_waist_acc_median,attr_x_waist_acc_std,attr_x_waist_acc_iqr,attr_x_waist_acc_max,attr_x_waist_acc_min,attr_y_waist_acc_mean,attr_y_waist_acc_median,attr_y_waist_acc_std,attr_y_waist_acc_iqr,attr_y_waist_acc_max,attr_y_waist_acc_min,attr_z_waist_acc_mean,attr_z_waist_acc_median,attr_z_waist_acc_std,attr_z_waist_acc_iqr,attr_z_waist_acc_max,attr_z_waist_acc_min,attr_x_chest_gyr_mean,attr_x_chest_gyr_median,attr_x_chest_gyr_std,attr_x_chest_gyr_iqr,attr_x_chest_gyr_max,attr_x_chest_gyr_min,attr_y_chest_gyr_mean,attr_y_chest_gyr_median,attr_y_chest_gyr_std,attr_y_chest_gyr_iqr,attr_y_chest_gyr_max,attr_y_chest_gyr_min,attr_z_chest_gyr_mean,attr_z_chest_gyr_median,attr_z_chest_gyr_std,attr_z_chest_gyr_iqr,attr_z_chest_gyr_max,attr_z_chest_gyr_min,attr_x_thigh_gyr_mean,attr_x_thigh_gyr_median,attr_x_thigh_gyr_std,attr_x_thigh_gyr_iqr,attr_x_thigh_gyr_max,attr_x_thigh_gyr_min,attr_y_thigh_gyr_mean,attr_y_thigh_gyr_median,attr_y_thigh_gyr_std,attr_y_thigh_gyr_iqr,attr_y_thigh_gyr_max,attr_y_thigh_gyr_min,attr_z_thigh_gyr_mean,attr_z_thigh_gyr_median,attr_z_thigh_gyr_std,attr_z_thigh_gyr_iqr,attr_z_thigh_gyr_max,attr_z_thigh_gyr_min,attr_x_waist_gyr_mean,attr_x_waist_gyr_median,attr_x_waist_gyr_std,attr_x_waist_gyr_iqr,attr_x_waist_gyr_max,attr_x_waist_gyr_min,attr_y_waist_gyr_mean,attr_y_waist_gyr_median,attr_y_waist_gyr_std,attr_y_waist_gyr_iqr,attr_y_waist_gyr_max,attr_y_waist_gyr_min,attr_z_waist_gyr_mean,attr_z_waist_gyr_median,attr_z_waist_gyr_std,attr_z_waist_gyr_iqr,attr_z_waist_gyr_max,attr_z_waist_gyr_min
climbingdown,0.9915799999999999,0.62174,0.26975,0.10833,0.42467,0.42467,0.41389,0.92306,0.09694,0.00695,0.02263,0.02263,0.89881,0.90197,0.01027,0.0,0.1284,0.1284,0.78789,0.9962,0.0,0.00614,0.0,0.0,0.40173000000000003,0.79711,0.13305999999999998,0.0,0.08784,0.08784,0.15522,0.07735,0.1763,0.16221,0.13484000000000002,0.13484000000000002,0.12383,0.9212899999999999,0.1031,0.0,0.0,0.0,0.0,0.04005,0.06654,0.0,0.0,0.0,0.54672,0.46843999999999997,0.10486,0.08986,0.14499,0.14499,0.34531999999999996,0.37335,0.0,0.0,0.0,0.0,0.9097,0.92875,0.0,0.0,0.30487,0.30487,0.34492,0.31951,0.0,0.0,0.0936,0.0936,0.41868999999999995,0.29611,0.22414,0.0,0.05284,0.05284,0.94831,0.89681,0.08288999999999999,0.0,0.16913,0.16913,0.78715,0.56824,0.12667,0.0,0.10045,0.10045,0.90725,0.9379799999999999,0.13673,0.0,0.5698300000000001,0.5698300000000001,0.57586,0.36856,0.05038,0.0367,0.08014,0.08014,0.5184,0.72678,0.33316999999999997,0.0,0.12102,0.12102
climbingdown,0.79466,0.6010800000000001,0.64354,0.46493,0.42913999999999997,0.42913999999999997,0.46413999999999994,0.80666,0.65366,0.36426,1.0,1.0,0.70189,0.80533,0.4083,0.36618,0.46258999999999995,0.46258999999999995,0.59613,0.8692,0.43817,0.25824,0.33759,0.33759,0.22484,0.74645,0.5594100000000001,0.32465,1.0,1.0,0.6228199999999999,0.60932,0.44414,0.63683,0.36496999999999996,0.36496999999999996,0.33002,0.74641,0.66425,0.27374,1.0,1.0,0.17077,0.0,0.53375,0.33462,1.0,1.0,0.63264,0.544,0.48427,0.35936,0.68965,0.68965,0.32164,0.47695,0.23955,0.15879000000000001,0.24919000000000002,0.24919000000000002,0.8966299999999999,0.90974,0.26254,0.31312,0.637,0.637,0.33303,0.32104,0.32525,0.32149,0.72497,0.72497,0.40081999999999995,0.34609,0.64682,0.47275,0.6100899999999999,0.6100899999999999,0.8927700000000001,0.83254,0.33358000000000004,0.29756,0.44525,0.44525,0.72743,0.55037,0.38009,0.29733000000000004,0.24094000000000002,0.24094000000000002,0.90064,0.9209200000000001,0.34535,0.39478,0.85749,0.85749,0.54669,0.5177,0.49493000000000004,0.36401999999999995,0.20182999999999998,0.20182999999999998,0.64405,0.7700600000000001,0.80737,0.62341,0.77074,0.77074
climbingdown,0.37723,0.24716999999999997,0.8388700000000001,0.68028,0.8054399999999999,0.8054399999999999,0.6140800000000001,0.20027999999999999,1.0,0.86044,1.0,1.0,0.51785,0.49687,0.68534,0.83845,0.6403800000000001,0.6403800000000001,0.53398,0.8103100000000001,0.8561200000000001,0.8285100000000001,0.71955,0.71955,0.28046,0.46201000000000003,0.88718,0.7188,1.0,1.0,0.8417,0.80574,0.71485,0.80561,0.54569,0.54569,0.58205,0.46879,0.99241,0.76339,1.0,1.0,0.44016000000000005,0.39166999999999996,0.7753800000000001,0.56619,1.0,1.0,0.715,0.7045399999999999,0.7937,0.60135,1.0,1.0,0.36898000000000003,0.43288000000000004,0.44703000000000004,0.42853,0.59535,0.59535,0.8345,0.8443200000000001,0.46038,0.59441,0.87005,0.87005,0.3912,0.34447,0.43961000000000006,0.51831,0.8146,0.8146,0.49433999999999995,0.40736,0.83785,0.7519100000000001,0.77842,0.77842,0.81396,0.76108,0.48766000000000004,0.55487,0.75215,0.75215,0.7190300000000001,0.58448,0.68048,0.47938000000000003,0.26650999999999997,0.26650999999999997,0.8214100000000001,0.8135,0.6281800000000001,0.5253800000000001,1.0,1.0,0.19428,0.45064,0.77941,0.58807,0.28296,0.28296,0.87785,0.44183999999999996,0.96905,1.0,0.77074,0.77074
climbingdown,0.45424,0.47707,0.8237700000000001,0.72629,0.8054399999999999,0.8054399999999999,0.22311999999999999,0.00813,0.99751,0.8971399999999999,1.0,1.0,0.52077,0.52932,0.71658,0.9289200000000001,0.6403800000000001,0.6403800000000001,0.64841,0.69199,0.9136200000000001,0.90801,0.71955,0.71955,0.0,0.07584,0.8914,0.73651,1.0,1.0,0.8930299999999999,0.8312799999999999,0.77132,1.0,0.54569,0.54569,0.10313,0.32726,0.9720700000000001,0.64268,1.0,1.0,0.44845,0.78214,0.8094,0.57582,0.81062,0.81062,0.54643,0.54098,0.8026300000000001,0.58831,1.0,1.0,0.49735,0.54787,0.49066000000000004,0.41141000000000005,0.59535,0.59535,0.65203,0.5653699999999999,0.72242,0.75516,0.87515,0.87515,0.42798,0.43049,0.50484,0.5542,0.8146,0.8146,0.42626000000000003,0.0018800000000000002,0.86192,0.68309,0.7923600000000001,0.7923600000000001,0.61949,0.62563,0.54702,0.63493,0.75215,0.75215,0.5460699999999999,0.41511000000000003,0.74846,0.69813,0.26650999999999997,0.26650999999999997,0.54155,0.58796,0.77847,0.6784600000000001,1.0,1.0,0.47392,0.7237100000000001,0.7522300000000001,0.6507,0.28296,0.28296,0.78894,0.59423,0.95541,0.88487,0.74457,0.74457
climbingdown,0.59673,0.6359,0.76712,0.67006,0.66518,0.66518,0.5203300000000001,0.31311,0.91405,0.80571,1.0,1.0,0.5413899999999999,0.57034,0.55719,0.6705399999999999,0.5836600000000001,0.5836600000000001,0.72658,0.59891,0.7982199999999999,0.6955100000000001,0.80476,0.80476,0.19614,0.18731,0.78489,0.6440100000000001,1.0,1.0,0.88955,0.93579,0.60123,0.75713,0.40095,0.40095,0.5929800000000001,0.09829,0.9329799999999999,0.7418600000000001,1.0,1.0,0.29989,0.49018999999999996,0.78897,0.5918,0.81062,0.81062,0.442,0.55813,0.72112,0.53259,0.44726000000000005,0.44726000000000005,0.46028,0.58739,0.50879,0.54647,0.5129100000000001,0.5129100000000001,0.63244,0.6088100000000001,0.6957800000000001,0.66403,0.87515,0.87515,0.4321,0.4616,0.5738,0.72206,0.9703700000000001,0.9703700000000001,0.10882,0.00146,0.90092,0.80602,0.7923600000000001,0.7923600000000001,0.5654,0.5395300000000001,0.5626899999999999,0.6379199999999999,0.37449,0.37449,0.43982,0.47766000000000003,0.67373,0.71078,0.23071,0.23071,0.51437,0.48533999999999994,0.68419,0.77637,0.70332,0.70332,0.49632,0.58208,0.7226600000000001,0.7146100000000001,0.35361,0.35361,0.47693,0.34806,1.0,0.83767,1.0,1.0
climbingdown,0.73315,0.75085,0.79077,0.68442,0.66518,0.66518,0.69409,0.4065,0.91565,0.76551,1.0,1.0,0.60142,0.58378,0.48941,0.50275,0.5836600000000001,0.5836600000000001,0.75241,0.60841,0.7339,0.70399,0.80476,0.80476,0.0932,0.0,0.77054,0.78245,1.0,1.0,1.0,1.0,0.52852,0.61238,0.43368,0.43368,0.5948,0.34296,0.91274,0.79614,0.9923,0.9923,0.0984,0.12135,0.78291,0.64854,0.53823,0.53823,0.69466,0.72207,0.6981,0.5363899999999999,0.44726000000000005,0.44726000000000005,0.33981999999999996,0.41135,0.48988000000000004,0.5162100000000001,0.5129100000000001,0.5129100000000001,0.7955800000000001,0.8112,0.44133,0.52984,0.71423,0.71423,0.32897,0.34715999999999997,0.48281999999999997,0.63448,0.9703700000000001,0.9703700000000001,0.3251,0.39189,0.9002899999999999,0.8756799999999999,0.53128,0.53128,0.8067300000000001,0.7368100000000001,0.5173,0.5899,0.6247699999999999,0.6247699999999999,0.5725,0.6311899999999999,0.62731,0.6269899999999999,0.25585,0.25585,0.78384,0.7905300000000001,0.55666,0.79999,0.6641699999999999,0.6641699999999999,0.65596,0.63466,0.77242,0.72517,0.49001999999999996,0.49001999999999996,0.34712,0.27773000000000003,0.88646,0.76851,1.0,1.0
climbingdown,0.6631199999999999,0.74887,0.77423,0.78413,0.46106,0.46106,0.49906000000000006,0.48463,0.9237799999999999,0.83772,1.0,1.0,0.78714,0.76825,0.49355,0.57911,0.39165,0.39165,0.73761,0.7671600000000001,0.62217,0.68243,0.41236000000000006,0.41236000000000006,0.11392999999999999,0.16852,0.75467,0.68748,1.0,1.0,0.94804,0.9344399999999999,0.5737899999999999,0.68903,0.43368,0.43368,0.29328000000000004,0.35828000000000004,0.8952700000000001,0.7078,0.90805,0.90805,0.32406999999999997,0.22906999999999997,0.72736,0.65262,0.53823,0.53823,0.9558700000000001,0.9383799999999999,0.62216,0.45691000000000004,0.69043,0.69043,0.29389,0.29053,0.35857,0.36812,0.46913,0.46913,0.89112,0.90575,0.33264,0.43409,0.61069,0.61069,0.27284,0.29263,0.30046999999999996,0.42953,0.18323,0.18323,0.75252,0.62673,0.8266100000000001,0.73405,0.53128,0.53128,0.943,0.8442,0.39069,0.4781,0.6247699999999999,0.6247699999999999,0.71812,0.48863,0.57175,0.5090899999999999,0.38600999999999996,0.38600999999999996,0.91653,0.96701,0.3556,0.50236,0.64218,0.64218,0.7146600000000001,0.67489,0.56943,0.5184,0.49001999999999996,0.49001999999999996,0.64294,0.71326,0.77679,0.7196899999999999,0.62593,0.62593
climbingdown,0.45383,0.3641,0.71517,0.6583399999999999,0.43204,0.43204,0.3957,0.5453100000000001,0.8946700000000001,0.86392,0.88215,0.88215,0.9131100000000001,0.89618,0.46988,0.56607,0.39165,0.39165,0.5254,0.43908,0.59983,0.75764,0.37135,0.37135,0.40514,0.39591,0.71527,0.61349,0.9670700000000001,0.9670700000000001,0.77503,0.7361300000000001,0.58854,0.70531,0.56114,0.56114,0.2348,0.29546,0.8663799999999999,0.78228,0.90194,0.90194,0.55983,0.49058999999999997,0.56748,0.54335,0.50597,0.50597,0.9283,0.8554700000000001,0.53791,0.40852,0.69043,0.69043,0.29517,0.37183,0.38778,0.3106,0.37421,0.37421,0.9111,0.85045,0.26293,0.36891999999999997,0.58332,0.58332,0.35406,0.38978,0.27779,0.40213000000000004,0.47416,0.47416,0.6465,0.5481,0.76764,0.60645,0.79938,0.79938,0.93071,0.9426399999999999,0.44469,0.51808,0.46312,0.46312,0.8754799999999999,0.57067,0.5613199999999999,0.54169,0.38600999999999996,0.38600999999999996,0.9263399999999999,0.9317700000000001,0.30174,0.46173000000000003,0.78579,0.78579,0.22514,0.51234,0.51552,0.43828,0.41446000000000005,0.41446000000000005,0.9831799999999999,0.98106,0.7984600000000001,0.71305,0.62593,0.62593
climbingdown,0.0,0.09966,0.7385,0.67362,0.42841999999999997,0.42841999999999997,0.60434,0.6734100000000001,0.8555,0.8235299999999999,0.79393,0.79393,1.0,1.0,0.54583,0.66085,0.60102,0.60102,0.45258000000000004,0.27381,0.6674100000000001,0.8372200000000001,0.45806,0.45806,0.59806,0.46798999999999996,0.67387,0.54797,1.0,1.0,0.6361,0.56804,0.61155,0.85509,0.56114,0.56114,0.5666800000000001,0.53509,0.80183,0.8504700000000001,0.85635,0.85635,0.60831,0.52423,0.59753,0.63395,0.49961000000000005,0.49961000000000005,0.84765,0.82514,0.58929,0.64628,0.62258,0.62258,0.44382,0.48252,0.46148,0.40725,0.47168999999999994,0.47168999999999994,0.69128,0.68517,0.44683999999999996,0.46495,0.6866399999999999,0.6866399999999999,0.36107,0.30914,0.33841,0.47463999999999995,0.47416,0.47416,0.53628,0.57005,0.77274,0.72004,0.79938,0.79938,0.66813,0.68583,0.49973999999999996,0.63555,0.46312,0.46312,0.8398,0.74898,0.5986,0.5364899999999999,0.27239,0.27239,0.63068,0.62969,0.54352,0.63715,0.78579,0.78579,0.43671000000000004,0.5332600000000001,0.6300600000000001,0.5250199999999999,0.41446000000000005,0.41446000000000005,0.58629,0.63931,0.81742,0.68335,0.64139,0.64139
climbingdown,0.12900999999999999,0.28991999999999996,0.80804,0.7136,0.75647,0.75647,0.85525,0.8455299999999999,0.67687,0.55213,0.79393,0.79393,0.7743399999999999,0.7942100000000001,0.6373800000000001,0.6631100000000001,0.60102,0.60102,0.40164,0.51832,0.75502,0.81538,0.45806,0.45806,1.0,0.97272,0.67004,0.5112899999999999,1.0,1.0,0.36282,0.25947,0.6958,0.91822,0.64335,0.64335,0.85434,0.8222200000000001,0.68283,0.69389,0.85635,0.85635,0.69126,0.5502600000000001,0.6454300000000001,0.68428,0.49961000000000005,0.49961000000000005,0.52757,0.43377,0.8536299999999999,1.0,0.7648,0.7648,0.67694,0.6380399999999999,0.50029,0.5404899999999999,0.5655899999999999,0.5655899999999999,0.46341000000000004,0.37473,0.56786,0.46124,0.76557,0.76557,0.4342,0.37519,0.49546999999999997,0.51771,0.5056,0.5056,0.30695,0.57005,0.77825,0.82395,0.42099,0.42099,0.31313,0.40841,0.66246,0.71025,0.6477,0.6477,0.38181,0.39358000000000004,0.8669600000000001,0.56975,0.8239200000000001,0.8239200000000001,0.27629000000000004,0.30068,0.52236,0.5079100000000001,0.5421199999999999,0.5421199999999999,0.40133,0.40236,0.69967,0.64312,0.55479,0.55479,0.27978000000000003,0.3706,0.66503,0.49105,0.64139,0.64139
