Activity,attr_x_chest_acc_mean,attr_x_chest_acc_median,attr_x_chest_acc_std,attr_x_chest_acc_iqr,attr_x_chest_acc_max,attr_x_chest_acc_min,attr_y_chest_acc_mean,attr_y_chest_acc_median,attr_y_chest_acc_std,attr_y_chest_acc_iqr,attr_y_chest_acc_max,attr_y_chest_acc_min,attr_z_chest_acc_mean,attr_z_chest_acc_median,attr_z_chest_acc_std,attr_z_chest_acc_iqr,attr_z_chest_acc_max,attr_z_chest_acc_min,attr_x_thigh_acc_mean,attr_x_thigh_acc_median,attr_x_thigh_acc_std,attr_x_thigh_acc_iqr,attr_x_thigh_acc_max,attr_x_thigh_acc_min,attr_y_thigh_acc_mean,attr_y_thigh_acc_median,attr_y_thigh_acc_std,attr_y_thigh_acc_iqr,attr_y_thigh_acc_max,attr_y_thigh_acc_min,attr_z_thigh_acc_mean,attr_z_thigh_acc_median,attr_z_thigh_acc_std,attr_z_thigh_acc_iqr,attr_z_thigh_acc_max,attr_z_thigh_acc_min,attr_x_waist_acc_mean,attr_x_waist_acc_median,attr_x_waist_acc_std,attr_x_waist_acc_iqr,attr_x_waist_acc_max,attr_x_waist_acc_min,attr_y_waist_acc_mean,attr_y_waist_acc_median,attr_y_waist_acc_std,attr_y_waist_acc_iqr,attr_y_waist_acc_max,attr_y_waist_acc_min,attr_z_waist_acc_mean,attr_z_waist_acc_median,attr_z_waist_acc_std,attr_z_waist_acc_iqr,attr_z_waist_acc_max,attr_z_waist_acc_min,attr_x_chest_gyr_mean,attr_x_chest_gyr_median,attr_x_chest_gyr_std,attr_x_chest_gyr_iqr,attr_x_chest_gyr_max,attr_x_chest_gyr_min,attr_y_chest_gyr_mean,attr_y_chest_gyr_median,attr_y_chest_gyr_std,attr_y_chest_gyr_iqr,attr_y_chest_gyr_max,attr_y_chest_gyr_min,attr_z_chest_gyr_mean,attr_z_chest_gyr_median,attr_z_chest_gyr_std,attr_z_chest_gyr_iqr,attr_z_chest_gyr_max,attr_z_chest_gyr_min,attr_x_thigh_gyr_mean,attr_x_thigh_gyr_median,attr_x_thigh_gyr_std,attr_x_thigh_gyr_iqr,attr_x_thigh_gyr_max,attr_x_thigh_gyr_min,attr_y_thigh_gyr_mean,attr_y_thigh_gyr_median,attr_y_thigh_gyr_std,attr_y_thigh_gyr_iqr,attr_y_thigh_gyr_max,attr_y_thigh_gyr_min,attr_z_thigh_gyr_mean,attr_z_thigh_gyr_median,attr_z_thigh_gyr_std,attr_z_thigh_gyr_iqr,attr_z_thigh_gyr_max,attr_z_thigh_gyr_min,attr_x_waist_gyr_mean,attr_x_waist_gyr_median,attr_x_waist_gyr_std,attr_x_waist_gyr_iqr,attr_x_waist_gyr_max,attr_x_waist_gyr_min,attr_y_waist_gyr_mean,attr_y_waist_gyr_median,attr_y_waist_gyr_std,attr_y_waist_gyr_iqr,attr_y_waist_gyr_max,attr_y_waist_gyr_min,attr_z_waist_gyr_mean,attr_z_waist_gyr_median,attr_z_waist_gyr_std,attr_z_waist_gyr_iqr,attr_z_waist_gyr_max,attr_z_waist_gyr_min
climbingdown,0.41113,0.45946,0.00122,0.00257,0.04731,0.04731,0.94594,0.77027,0.00375,0.00284,0.01481,0.01481,0.8895,0.83213,0.0,0.0,0.24562,0.24562,0.55124,0.53064,0.00378,0.00403,0.0018,0.0018,0.85817,0.80411,0.00045,0.00084,0.0,0.0,0.09707,0.17678,0.00548,0.00721,0.01092,0.01092,0.85821,0.87967,0.0,0.00048,0.0,0.0,0.51443,0.46252,0.0,0.0,0.00505,0.00505,1.0,0.97284,0.00801,0.00947,0.04277,0.04277,0.46436,0.51969,0.0,0.0,0.01076,0.01076,0.58544,0.61898,0.01273,0.01726,0.04479,0.04479,0.6113,0.57718,0.00023,0.0,0.00302,0.00302,0.50258,0.48451,0.00169,0.00227,0.00155,0.00155,0.54925,0.57646,0.00493,0.00595,0.00682,0.00682,0.71395,0.62227,0.00147,0.00223,0.00085,0.00085,0.56828,0.6016,0.0,0.0,0.0,0.0,0.51088,0.49427,0.01302,0.00555,0.01889,0.01889,0.6537,0.54475,0.0,0.0,0.0,0.0
climbingdown,0.409,0.45705,0.00165,0.00329,0.05174,0.05174,0.94824,0.77186,0.00149,0.0,0.01481,0.01481,0.91062,0.85088,0.01631,0.02091,0.26989,0.26989,0.559,0.54042,0.00412,0.00625,0.0018,0.0018,0.85687,0.80411,0.00028,0.00071,0.0,0.0,0.09279,0.1715,0.00575,0.00723,0.01092,0.01092,0.85643,0.87974,0.00226,0.0,0.00928,0.00928,0.50873,0.46064,0.00538,0.00194,0.00505,0.00505,0.99455,0.96815,0.0,0.0,0.03674,0.03674,0.44272,0.50015,0.00971,0.00434,0.00745,0.00745,0.59841,0.63119,0.00041,0.0,0.05195,0.05195,0.61155,0.57658,0.00115,0.0034,0.00229,0.00229,0.50491,0.48474,0.00081,0.00184,0.0,0.0,0.55054,0.57632,0.00491,0.00564,0.00682,0.00682,0.71326,0.62227,0.00031,0.0,0.00085,0.00085,0.57861,0.6125,0.00985,0.00175,0.03568,0.03568,0.48566,0.46809,0.0,0.0,0.0,0.0,0.66909,0.56882,0.00981,0.00691,0.00991,0.00991
climbingdown,0.40306,0.45193,0.00327,0.0,0.05174,0.05174,0.9501,0.77355,0.0,1e-05,0.00461,0.00461,0.93408,0.88256,0.01363,0.01866,0.28994,0.28994,0.56172,0.54068,0.00276,0.00719,7e-05,7e-05,0.85707,0.80463,0.00036,0.0,0.00114,0.00114,0.08744,0.16421,0.00293,0.00336,0.00765,0.00765,0.89331,0.87576,0.14005,0.01376,0.44423,0.44423,0.50079,0.44643,0.13189,0.04245,0.10047,0.10047,0.96273,0.96735,0.16303,0.03396,0.09631,0.09631,0.43629,0.50725,0.01444,0.01804,0.00745,0.00745,0.59522,0.62935,0.00198,0.00078,0.05195,0.05195,0.60978,0.57568,0.0018,0.00387,0.00229,0.00229,0.50128,0.48078,0.00064,0.00124,0.00078,0.00078,0.54855,0.57533,0.00148,0.00325,0.00188,0.00188,0.71693,0.62251,0.00143,0.00198,0.00233,0.00233,0.58353,0.61772,0.17377,0.04894,0.27943,0.27943,0.41972,0.38789,0.18658,0.08894,0.13111,0.13111,0.7154,0.57315,0.21321,0.05015,0.24596,0.24596
climbingdown,0.38539,0.43093,0.0,0.00248,0.04233,0.04233,0.95132,0.77494,0.00043,0.00102,0.00313,0.00313,0.94434,0.89143,0.01199,0.00905,0.30344,0.30344,0.56019,0.53429,0.00184,0.00435,0.00106,0.00106,0.85783,0.80509,0.00024,0.00023,0.00114,0.00114,0.09104,0.16862,0.00119,0.00035,0.00765,0.00765,0.87514,0.8213,0.45086,0.20548,1.0,1.0,0.3745,0.37741,0.41712,0.26527,0.34995,0.34995,0.94084,0.9301,0.28252,0.19857,0.25509,0.25509,0.47997,0.55434,0.00793,0.00643,0.02056,0.02056,0.58957,0.6232,0.0,0.00309,0.04126,0.04126,0.61022,0.57628,0.0,0.00197,0.00027,0.00027,0.50541,0.48381,0.00282,0.00258,0.00405,0.00405,0.54965,0.57604,0.00817,0.00621,0.00753,0.00753,0.71326,0.61863,0.00253,0.00471,0.00233,0.00233,0.53558,0.58806,0.35839,0.27081,0.31009,0.31009,0.52778,0.34043,0.31697,0.35072,0.27399,0.27399,0.69366,0.51444,0.39158,0.37556,0.24613,0.24613
climbingdown,0.40324,0.44253,0.02078,0.01647,0.05887,0.05887,0.94824,0.77454,0.0025,0.00316,0.0,0.0,0.92711,0.87422,0.02434,0.03555,0.30344,0.30344,0.56148,0.53611,0.0,0.0,0.00106,0.00106,0.85749,0.8045,0.0,0.00023,0.00102,0.00102,0.08397,0.16274,0.00092,0.00266,0.0039,0.0039,0.70838,0.54743,0.61894,0.36856,1.0,1.0,0.28865,0.3197,0.72271,0.49662,0.68085,0.68085,0.93534,0.93912,0.37979,0.35225,0.42137,0.42137,0.50209,0.57388,0.00272,0.00681,0.02056,0.02056,0.58762,0.61975,0.01687,0.009,0.06861,0.06861,0.6188,0.5964,0.01156,0.0064,0.00594,0.00594,0.50636,0.48486,0.00295,0.004,0.00405,0.00405,0.54984,0.57732,0.01021,0.0076,0.00753,0.00753,0.70982,0.61693,0.00083,0.00168,0.0,0.0,0.50563,0.53448,0.44564,0.38403,0.31009,0.31009,0.53495,0.7054,0.50591,0.42707,0.39474,0.39474,0.61877,0.50818,0.48584,0.51328,0.27447,0.27447
climbingdown,0.42738,0.46917,0.1992,0.09959,0.17336,0.17336,0.93889,0.76834,0.10651,0.01556,0.24459,0.24459,0.87536,0.84592,0.1154,0.10096,0.26408,0.26408,0.56271,0.53885,0.0008,0.00433,0.0,0.0,0.85736,0.80405,0.00046,3e-05,0.00132,0.00132,0.07919,0.15665,0.0,0.0,0.0,0.0,0.64557,0.57344,0.63118,0.40052,1.0,1.0,0.41476,0.41714,0.71756,0.53783,0.68085,0.68085,0.90124,0.88875,0.3796,0.36571,0.42137,0.42137,0.55379,0.58425,0.15432,0.09826,0.15427,0.15427,0.57956,0.61629,0.12533,0.06634,0.12702,0.12702,0.69591,0.61562,0.11092,0.0767,0.11916,0.11916,0.50051,0.48183,0.00043,0.00117,0.00039,0.00039,0.54836,0.57668,0.0037,0.0011,0.00444,0.00444,0.71465,0.62276,0.00057,0.00164,0.00057,0.00057,0.42331,0.43578,0.48226,0.42786,0.30167,0.30167,0.39363,0.49264,0.54296,0.44749,0.39474,0.39474,0.60128,0.49038,0.48175,0.55415,0.27447,0.27447
climbingdown,0.47358,0.49112,0.36314,0.41724,0.24794,0.24794,0.92442,0.71667,0.40575,0.19281,1.0,1.0,0.82055,0.77089,0.2565,0.16691,0.33371,0.33371,0.44137,0.54211,0.223,0.02758,0.26502,0.26502,0.95624,0.80548,0.15914,0.00843,0.81296,0.81296,0.0931,0.16062,0.19983,0.01421,0.25106,0.25106,0.7667,0.62806,0.64294,0.36925,1.0,1.0,0.36909,0.36349,0.56761,0.54617,0.4126,0.4126,0.88806,0.87301,0.42674,0.36272,0.44273,0.44273,0.46105,0.557,0.25634,0.25954,0.15427,0.15427,0.54394,0.61637,0.37086,0.25654,0.24963,0.24963,0.63804,0.64835,0.19759,0.16052,0.11916,0.11916,0.50699,0.48567,0.0,0.0,0.00322,0.00322,0.54989,0.57796,0.0,0.0,0.0,0.0,0.71143,0.61936,0.0,0.0005,0.00057,0.00057,0.18195,0.27239,0.65793,0.55621,0.22886,0.22886,0.54567,0.56192,0.57174,0.43945,0.43983,0.43983,0.67976,0.71559,0.55337,0.60687,0.32991,0.32991
climbingdown,0.51486,0.47524,0.53783,0.48857,0.52089,0.52089,0.87305,0.46134,0.56207,0.34772,1.0,1.0,0.82631,0.79891,0.31882,0.15694,0.4381,0.4381,0.30168,0.35724,0.36576,0.33951,0.31667,0.31667,0.86519,0.77175,0.45504,0.21612,1.0,1.0,0.27643,0.23739,0.39306,0.36529,0.37686,0.37686,0.76499,0.58874,0.60544,0.34186,1.0,1.0,0.35933,0.39365,0.67849,0.52132,0.62291,0.62291,0.89568,0.8863,0.45475,0.34979,0.44273,0.44273,0.37428,0.45366,0.239,0.23446,0.13909,0.13909,0.51142,0.60561,0.46686,0.44853,0.26188,0.26188,0.596,0.63904,0.23919,0.33123,0.13836,0.13836,0.50729,0.48532,0.00026,0.00031,0.00322,0.00322,0.54983,0.5781,0.00011,0.00099,0.0017,0.0017,0.71233,0.62009,0.00027,0.00038,0.0008,0.0008,0.11421,0.25546,0.65604,0.65503,0.22579,0.22579,0.64612,0.68849,0.57428,0.58261,0.43983,0.43983,0.63658,0.47113,0.5523,0.57261,0.32991,0.32991
climbingdown,0.4903,0.46938,0.55107,0.468,0.52089,0.52089,0.81478,0.48,0.58134,0.39433,1.0,1.0,0.84384,0.79621,0.2512,0.18084,0.4381,0.4381,0.37526,0.3498,0.44374,0.47674,0.31667,0.31667,0.58484,0.36346,0.61603,0.47298,1.0,1.0,0.47109,0.58202,0.46329,0.58741,0.57993,0.57993,0.79526,0.64068,0.60388,0.35046,1.0,1.0,0.43059,0.4531,0.69117,0.55252,0.62291,0.62291,0.91254,0.89564,0.40749,0.34743,0.29254,0.29254,0.46113,0.49867,0.28249,0.28409,0.25569,0.25569,0.39577,0.47806,0.54208,0.52765,0.26188,0.26188,0.70116,0.75526,0.23508,0.32412,0.13836,0.13836,0.55121,0.48637,0.04964,0.00362,0.10957,0.10957,0.54771,0.57213,0.04209,0.00747,0.0679,0.0679,0.65962,0.62009,0.05741,0.00661,0.02881,0.02881,0.34679,0.49319,0.51675,0.37064,0.23922,0.23922,0.56892,0.85652,0.59713,0.42593,0.47933,0.47933,0.60858,0.38739,0.45408,0.54902,0.23379,0.23379
climbingdown,0.44988,0.54608,0.59719,0.49469,0.47123,0.47123,0.90362,0.59345,0.58425,0.29651,1.0,1.0,0.83584,0.77118,0.26447,0.25012,0.53331,0.53331,0.43617,0.34837,0.51544,0.61659,0.37201,0.37201,0.58388,0.40352,0.62473,0.48756,1.0,1.0,0.44282,0.52783,0.566,0.64648,0.71702,0.71702,0.70947,0.57887,0.68336,0.41282,1.0,1.0,0.57409,0.64303,0.60116,0.59803,0.3934,0.3934,0.95009,0.9451,0.47624,0.4101,0.5521,0.5521,0.4546,0.53094,0.38848,0.39412,0.3102,0.3102,0.16441,0.21798,0.71219,0.79176,0.15907,0.15907,0.70089,0.70721,0.19588,0.25531,0.12556,0.12556,0.48968,0.50314,0.43056,0.12738,0.32028,0.32028,0.51816,0.56289,0.29178,0.11883,0.22572,0.22572,0.51845,0.60165,0.33265,0.12054,0.23294,0.23294,0.34746,0.5071,0.59963,0.53771,0.24108,0.24108,0.51222,0.44408,0.67549,0.55458,0.47933,0.47933,0.57379,0.43215,0.54643,0.61013,0.42413,0.42413
