Activity,attr_x_chest_acc_mean,attr_x_chest_acc_median,attr_x_chest_acc_std,attr_x_chest_acc_iqr,attr_x_chest_acc_max,attr_x_chest_acc_min,attr_y_chest_acc_mean,attr_y_chest_acc_median,attr_y_chest_acc_std,attr_y_chest_acc_iqr,attr_y_chest_acc_max,attr_y_chest_acc_min,attr_z_chest_acc_mean,attr_z_chest_acc_median,attr_z_chest_acc_std,attr_z_chest_acc_iqr,attr_z_chest_acc_max,attr_z_chest_acc_min,attr_x_thigh_acc_mean,attr_x_thigh_acc_median,attr_x_thigh_acc_std,attr_x_thigh_acc_iqr,attr_x_thigh_acc_max,attr_x_thigh_acc_min,attr_y_thigh_acc_mean,attr_y_thigh_acc_median,attr_y_thigh_acc_std,attr_y_thigh_acc_iqr,attr_y_thigh_acc_max,attr_y_thigh_acc_min,attr_z_thigh_acc_mean,attr_z_thigh_acc_median,attr_z_thigh_acc_std,attr_z_thigh_acc_iqr,attr_z_thigh_acc_max,attr_z_thigh_acc_min,attr_x_waist_acc_mean,attr_x_waist_acc_median,attr_x_waist_acc_std,attr_x_waist_acc_iqr,attr_x_waist_acc_max,attr_x_waist_acc_min,attr_y_waist_acc_mean,attr_y_waist_acc_median,attr_y_waist_acc_std,attr_y_waist_acc_iqr,attr_y_waist_acc_max,attr_y_waist_acc_min,attr_z_waist_acc_mean,attr_z_waist_acc_median,attr_z_waist_acc_std,attr_z_waist_acc_iqr,attr_z_waist_acc_max,attr_z_waist_acc_min,attr_x_chest_gyr_mean,attr_x_chest_gyr_median,attr_x_chest_gyr_std,attr_x_chest_gyr_iqr,attr_x_chest_gyr_max,attr_x_chest_gyr_min,attr_y_chest_gyr_mean,attr_y_chest_gyr_median,attr_y_chest_gyr_std,attr_y_chest_gyr_iqr,attr_y_chest_gyr_max,attr_y_chest_gyr_min,attr_z_chest_gyr_mean,attr_z_chest_gyr_median,attr_z_chest_gyr_std,attr_z_chest_gyr_iqr,attr_z_chest_gyr_max,attr_z_chest_gyr_min,attr_x_thigh_gyr_mean,attr_x_thigh_gyr_median,attr_x_thigh_gyr_std,attr_x_thigh_gyr_iqr,attr_x_thigh_gyr_max,attr_x_thigh_gyr_min,attr_y_thigh_gyr_mean,attr_y_thigh_gyr_median,attr_y_thigh_gyr_std,attr_y_thigh_gyr_iqr,attr_y_thigh_gyr_max,attr_y_thigh_gyr_min,attr_z_thigh_gyr_mean,attr_z_thigh_gyr_median,attr_z_thigh_gyr_std,attr_z_thigh_gyr_iqr,attr_z_thigh_gyr_max,attr_z_thigh_gyr_min,attr_x_waist_gyr_mean,attr_x_waist_gyr_median,attr_x_waist_gyr_std,attr_x_waist_gyr_iqr,attr_x_waist_gyr_max,attr_x_waist_gyr_min,attr_y_waist_gyr_mean,attr_y_waist_gyr_median,attr_y_waist_gyr_std,attr_y_waist_gyr_iqr,attr_y_waist_gyr_max,attr_y_waist_gyr_min,attr_z_waist_gyr_mean,attr_z_waist_gyr_median,attr_z_waist_gyr_std,attr_z_waist_gyr_iqr,attr_z_waist_gyr_max,attr_z_waist_gyr_min
jumping,0.6457,0.28557,0.28212,0.01523,0.33528,0.33528,0.95298,1.0,0.41077,0.0,1.0,1.0,1.0,0.99247,0.27559,0.0,0.60419,0.60419,0.0895,0.0,0.00358,0.00096,0.00627,0.00627,0.99857,0.998,0.00227,0.00077,0.5084,0.5084,0.3335,0.6203,0.0018,0.00304,0.00341,0.00341,0.18656,0.1598,0.75764,0.61796,1.0,1.0,0.7786,0.47818,0.62902,0.66947,0.64188,0.64188,0.80461,0.60845,0.60888,0.43316,0.76625,0.76625,0.78159,0.39261,0.26924,0.00211,0.34222,0.34222,0.0,0.3443,0.34028,0.0,0.26176,0.26176,0.74945,0.65138,0.15909,0.0,0.30361,0.30361,0.43686,0.55698,0.00684,0.00655,0.00641,0.00641,0.5775,0.23393,0.00354,0.00282,0.00141,0.00141,0.40545,0.75817,0.00124,0.00149,0.00062,0.00062,0.57419,0.81032,0.8722,0.63787,0.46835,0.46835,0.43243,0.59309,0.6348,0.5789,0.36034,0.36034,0.46964,0.51331,0.63885,0.64325,0.4195,0.4195
jumping,0.69288,0.49449,0.5704,0.46356,0.3988,0.3988,0.56408,0.93608,0.73604,0.497,1.0,1.0,0.84492,0.85931,0.52914,0.32246,0.78057,0.78057,0.09003,7e-05,0.00156,0.00043,0.0,0.0,0.99873,0.99803,0.00036,0.00041,0.50314,0.50314,0.32254,0.61315,0.0013,0.00156,0.00281,0.00281,0.18483,0.17926,0.75448,0.6119,1.0,1.0,0.68698,0.49263,0.71429,0.66586,0.65159,0.65159,0.85473,0.46879,0.57305,0.51129,0.7469,0.7469,0.71546,0.4864,0.42651,0.36046,0.51741,0.51741,0.07461,0.23093,0.5512,0.35618,0.65441,0.65441,0.56062,0.61927,0.37918,0.37175,0.30361,0.30361,0.41874,0.55378,0.00456,0.00324,0.00641,0.00641,0.62094,0.24585,0.00092,0.00132,0.0,0.0,0.4305,0.77314,0.00131,0.00226,0.00062,0.00062,0.2816,0.63571,0.7766,0.61069,0.44693,0.44693,0.57604,0.70101,0.69576,0.56178,0.61522,0.61522,0.5325,0.45488,0.56828,0.58912,0.4195,0.4195
jumping,0.60474,0.81751,0.72904,0.64968,0.4569,0.4569,0.36169,0.17196,0.85908,0.96632,1.0,1.0,0.91096,0.8555,0.73279,0.36128,0.96095,0.96095,0.09235,0.00307,0.0,0.0,0.0,0.0,1.0,0.99992,0.0,0.0,0.50314,0.50314,0.31789,0.61293,0.0,0.0,0.0,0.0,0.31543,0.29522,0.78249,0.66921,1.0,1.0,0.76928,0.56881,0.6445,0.66526,0.65159,0.65159,0.74266,0.42422,0.60505,0.58631,0.81597,0.81597,0.67302,0.35258,0.47014,0.39571,0.75,0.75,0.53526,0.3443,0.60195,0.4741,0.65441,0.65441,0.40285,0.55046,0.44701,0.38534,0.40053,0.40053,0.41778,0.5525,0.0,0.0,0.0,0.0,0.6373,0.25521,0.0,0.0,0.0,0.0,0.43071,0.77359,0.0,0.0,0.0,0.0,0.42911,0.48968,0.61897,0.50288,0.44693,0.44693,0.4509,0.58647,0.77742,0.54094,0.61522,0.61522,0.51495,0.51701,0.58009,0.58148,0.39279,0.39279
jumping,0.52365,0.74148,0.69377,0.67761,0.4569,0.4569,0.42576,0.16689,0.85688,0.96589,1.0,1.0,0.75219,0.84911,0.8395,0.33017,0.96095,0.96095,0.07401,0.00397,0.30723,0.00298,0.19127,0.19127,0.96501,1.0,0.41758,0.00713,1.0,1.0,0.52559,0.61762,0.17162,0.01854,0.37134,0.37134,0.18102,0.09709,0.77826,0.65516,1.0,1.0,0.62394,0.39422,0.57376,0.62905,0.45921,0.45921,0.65023,0.56411,0.63303,0.54085,0.81597,0.81597,0.66053,0.38222,0.47053,0.34952,0.75,0.75,0.35551,0.3268,0.67297,0.42528,0.75368,0.75368,0.46131,0.59174,0.37372,0.34678,0.40053,0.40053,0.31571,0.55997,0.41233,0.00609,0.35066,0.35066,0.15036,0.24479,0.20073,0.02862,0.29735,0.29735,0.15254,0.76089,0.55054,0.0092,0.34659,0.34659,0.64197,0.71587,0.62356,0.38855,0.47498,0.47498,0.52016,0.58647,0.78507,0.61482,0.60797,0.60797,0.34113,0.59098,0.59839,0.5689,0.39537,0.39537
jumping,0.84447,0.82164,0.58338,0.59664,0.56569,0.56569,0.23841,0.06441,0.82747,0.87824,1.0,1.0,0.73313,0.85035,0.77844,0.28681,0.5702,0.5702,0.06441,0.02681,0.59798,0.24891,0.28077,0.28077,0.83921,0.92306,0.78837,0.50785,1.0,1.0,0.83765,0.70671,0.35836,0.27902,0.95051,0.95051,0.05748,0.01282,0.77236,0.54989,1.0,1.0,0.63567,0.32082,0.75412,0.53754,0.75737,0.75737,0.55636,0.54229,0.60656,0.55098,0.65509,0.65509,0.60943,0.45616,0.4357,0.30029,0.53728,0.53728,0.46532,0.37859,0.62713,0.35111,0.75368,0.75368,0.55568,0.74885,0.37564,0.33348,0.5769,0.5769,0.37563,0.56317,0.66641,0.4723,0.67922,0.67922,0.3673,0.11047,0.38399,0.28577,0.69016,0.69016,0.07708,0.65018,0.79275,0.52428,0.34659,0.34659,0.54052,0.79524,0.75128,0.52442,0.57644,0.57644,0.62995,0.76777,0.81126,0.67866,0.60797,0.60797,0.38427,0.50148,0.61581,0.59223,0.44055,0.44055
jumping,1.0,0.82866,0.58412,0.48343,0.56569,0.56569,0.15819,0.11015,0.8238,0.75291,1.0,1.0,0.80077,0.8153,0.6892,0.34572,0.5702,0.5702,0.05113,0.15909,0.77338,0.33152,0.28077,0.28077,0.77228,0.36596,0.95007,0.90393,1.0,1.0,1.0,0.9195,0.50072,0.36773,0.96308,0.96308,0.14675,0.1363,0.79952,0.65337,1.0,1.0,0.79976,0.27106,0.88355,0.59175,0.75737,0.75737,0.43676,0.51173,0.64259,0.6407,0.77876,0.77876,0.61058,0.47174,0.47108,0.30708,0.53728,0.53728,0.54764,0.40168,0.62777,0.37337,0.67132,0.67132,0.6252,0.8383,0.37996,0.3852,0.5769,0.5769,0.74907,0.22642,0.72052,0.75692,0.67922,0.67922,0.84834,0.04853,0.45415,0.41992,0.69016,0.69016,0.33553,0.20554,0.81683,0.77473,0.30628,0.30628,0.62024,0.77381,0.87328,0.58252,0.61266,0.61266,0.63299,0.80374,0.89016,0.67859,0.76457,0.76457,0.64986,0.5074,0.67006,0.79491,0.45864,0.45864
jumping,0.75703,0.80223,0.66866,0.55366,0.46962,0.46962,0.29432,0.1385,0.85855,0.96528,1.0,1.0,0.83234,0.8595,0.75365,0.44719,0.84706,0.84706,0.01653,0.13994,0.82031,0.39328,0.24252,0.24252,0.81412,0.39333,0.95552,0.95377,1.0,1.0,0.96045,0.89438,0.46632,0.39856,0.96308,0.96308,0.22741,0.1973,0.78915,0.71013,1.0,1.0,0.76637,0.49263,0.67143,0.68271,0.63822,0.63822,0.54684,0.49597,0.75813,0.66897,0.9307,0.9307,0.49089,0.44119,0.57104,0.48148,0.48107,0.48107,0.46389,0.41568,0.74604,0.47399,0.72978,0.72978,0.28981,0.63647,0.38539,0.40027,0.25824,0.25824,0.81291,0.27273,0.65454,0.72117,0.61236,0.61236,0.52999,0.0,0.43195,0.4156,0.61034,0.61034,0.2004,0.08439,0.76206,0.68009,0.30628,0.30628,0.81334,0.89206,0.88632,0.56374,0.66699,0.66699,0.67429,0.51712,0.95231,0.71955,0.77424,0.77424,0.54341,0.5074,0.83109,0.70092,0.63195,0.63195
jumping,0.51415,0.75288,0.70825,0.62538,0.46962,0.46962,0.40881,0.18114,0.86893,0.96152,1.0,1.0,0.8185,0.89112,0.82427,0.52399,0.84706,0.84706,0.0417,0.16778,0.80375,0.41402,0.23491,0.23491,0.7289,0.33982,0.92514,0.88833,1.0,1.0,0.85999,0.76231,0.39392,0.40138,0.68031,0.68031,0.15725,0.1973,0.75965,0.57931,1.0,1.0,0.74752,0.78176,0.48804,0.71592,0.48109,0.48109,0.58369,0.46086,0.72607,0.60255,0.9307,0.9307,0.64975,0.65139,0.59244,0.51693,0.48107,0.48107,0.79817,0.63121,0.74255,0.42186,0.72978,0.72978,0.43478,0.70069,0.4096,0.34323,0.25824,0.25824,0.28526,0.22236,0.56973,0.68692,0.40275,0.40275,0.50857,0.01554,0.41409,0.3849,0.44021,0.44021,0.07336,0.19102,0.73183,0.59055,0.30998,0.30998,0.41165,0.57698,0.87492,0.68583,0.73126,0.73126,0.64739,0.54791,0.86333,0.66104,0.77424,0.77424,0.34937,0.33654,0.8234,0.66996,0.63195,0.63195
jumping,0.8094,0.87575,0.66355,0.53612,0.36707,0.36707,0.20355,0.10891,0.83804,0.90087,1.0,1.0,0.81251,0.89112,0.75454,0.42469,0.66597,0.66597,0.04749,0.19847,0.80813,0.43584,0.23491,0.23491,0.66239,0.32771,0.92951,0.7859,1.0,1.0,0.83062,0.8025,0.42485,0.35232,0.7488,0.7488,0.19103,0.22173,0.78055,0.57516,1.0,1.0,0.66682,0.52961,0.53444,0.68524,0.48109,0.48109,0.41783,0.40404,0.54027,0.48711,0.63489,0.63489,0.7127,0.63275,0.52966,0.49761,0.49322,0.49322,1.0,0.6536,0.65809,0.36555,0.92426,0.92426,0.59871,0.68922,0.35737,0.45361,0.26112,0.26112,0.08496,0.22236,0.48709,0.50983,0.38941,0.38941,0.96883,0.25777,0.41369,0.37391,0.5628,0.5628,0.58427,0.68466,0.85188,0.81707,0.30998,0.30998,0.40172,0.48254,0.82725,0.70448,0.73126,0.73126,0.66077,0.74302,0.80457,0.52731,0.81996,0.81996,0.33562,0.4068,0.64603,0.63095,0.49545,0.49545
jumping,0.89166,0.89842,0.66067,0.532,0.36183,0.36183,0.14948,0.04548,0.84719,0.88896,1.0,1.0,0.81262,0.90341,0.7044,0.45101,0.57174,0.57174,0.03125,0.17347,0.82989,0.3764,0.22072,0.22072,0.72092,0.33774,0.95477,0.86976,1.0,1.0,0.72778,0.75092,0.43755,0.32343,0.7488,0.7488,0.29461,0.26674,0.78495,0.65339,1.0,1.0,0.68803,0.41896,0.59868,0.73234,0.65699,0.65699,0.52633,0.62081,0.49002,0.49285,0.51548,0.51548,0.60421,0.47235,0.48429,0.45784,0.49322,0.49322,0.46139,0.26942,0.65233,0.39112,0.92426,0.92426,0.53856,0.625,0.36863,0.42479,0.28236,0.28236,0.5022,0.42936,0.40635,0.44371,0.36005,0.36005,0.96708,0.31737,0.46835,0.42869,0.65171,0.65171,0.72003,0.951,0.92108,0.86239,0.30635,0.30635,0.75307,0.6881,0.83132,0.71613,0.77352,0.77352,0.6413,0.66935,0.85743,0.60676,0.81996,0.81996,0.49415,0.4142,0.55913,0.64014,0.39611,0.39611
